TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,44.364,45.001,43.751,44.448,4380200
2014-06-10,44.44,45.596,44.117,45.499,11586400
2014-06-11,45.007,45.749,44.7,45.3,4757700
2014-06-16,45.913,46.37,44.514,45.999,17932600
2014-06-17,46.3,46.467,45.7,46.1,5544500
2014-06-18,45.823,46.677,45.823,46.6,6390200
2014-06-19,46.683,47.049,46.113,46.599,2484400
2014-06-20,46.743,46.763,45.26,46.0,4541800
2014-06-23,46.091,46.982,45.03,45.5,5511100
2014-06-24,45.582,46.45,45.261,46.45,8348800
2014-06-25,46.308,47.332,44.849,45.1,6537800
2014-06-26,45.497,45.497,44.137,45.2,2746400
2014-06-27,45.2,46.2,44.623,46.2,4036800
2014-06-30,46.199,46.338,45.518,45.6,6177400
2014-07-01,45.517,45.517,44.541,45.143,2769400
2014-07-02,45.674,45.9,45.121,45.9,5860100
2014-07-03,45.611,46.448,45.611,46.4,3985100
2014-07-04,46.395,46.897,46.16,46.6,2954300
2014-07-07,46.697,48.196,46.301,48.0,8342600
2014-07-08,48.296,48.729,47.55,47.79,10126900
2014-07-09,47.769,47.948,46.311,47.5,5683400
2014-07-10,47.309,47.935,45.003,46.44,7049700
2014-07-11,46.399,47.1,46.0,47.1,2969200
2014-07-14,47.1,47.474,46.666,46.998,3577000
2014-07-15,46.926,47.4,45.201,45.8,22954500
2014-07-16,43.996,44.0,42.255,42.6,15876800
2014-07-17,42.55,42.55,40.0,40.851,10939300
2014-07-18,39.5,40.65,38.95,39.841,13384400
2014-07-21,39.62,39.65,38.45,38.6,6906100
2014-07-22,39.503,39.8,38.63,39.6,15877200
2014-07-23,39.603,40.737,39.091,39.4,10064400
2014-07-24,39.392,39.462,36.979,37.3,15204100
2014-07-25,37.5,37.5,36.03,37.35,16142300
2014-07-28,36.713,36.989,35.993,36.5,10681300
2014-07-29,35.827,37.297,35.827,37.2,7023800
2014-07-30,36.43,38.496,36.43,38.484,6362500
2014-07-31,37.955,39.429,37.745,39.4,7477600
2014-08-01,38.975,39.429,37.708,38.4,6678500
2014-08-04,38.343,39.001,37.06,38.0,5073200
2014-08-05,38.464,38.464,37.001,38.1,3832000
2014-08-06,37.899,38.486,37.008,37.342,5914700
2014-08-07,37.148,38.753,36.0,38.611,7073100
2014-08-08,38.485,39.696,37.227,39.615,3734100
2014-08-11,39.83,41.23,39.498,40.9,4004500
2014-08-12,40.895,41.999,40.23,41.5,5297000
2014-08-13,41.5,42.293,40.801,41.9,6460400
2014-08-14,42.579,42.647,40.931,42.51,6718900
2014-08-15,42.601,43.53,41.83,43.3,3709100
2014-08-18,43.551,44.449,43.155,43.82,3910400
2014-08-19,43.996,44.63,43.76,43.92,3525700
2014-08-20,44.015,44.089,42.73,42.9,2062200
2014-08-21,42.98,43.79,42.851,42.901,3408200
2014-08-22,42.736,43.457,40.83,41.561,3482900
2014-08-25,40.819,42.889,40.819,42.83,964900
2014-08-26,42.919,43.225,41.111,41.5,2949300
2014-08-27,41.5,42.339,39.575,39.9,4935300
2014-08-28,40.03,40.1,38.0,38.9,8829200
2014-08-29,38.699,39.05,37.012,37.719,6184700
2014-09-01,37.883,37.998,36.23,36.7,8788000
2014-09-02,36.75,37.5,36.061,37.5,2590500
2014-09-03,37.55,37.975,35.685,36.0,16618500
2014-09-04,36.078,36.199,34.83,35.0,11876300
2014-09-05,35.0,35.551,34.376,34.734,7616800
2014-09-08,34.734,35.401,34.688,35.3,4360200
2014-09-09,35.3,35.757,35.04,35.04,8524200
2014-09-10,35.27,35.406,34.43,35.0,8950100
2014-09-11,34.571,35.388,34.571,34.95,4589400
2014-09-12,35.185,35.45,34.795,35.0,4008500
2014-09-15,35.0,35.814,34.611,35.8,11816200
2014-09-16,35.88,36.6,35.601,36.47,8508700
2014-09-17,32.0,32.0,22.611,23.005,114611200
2014-09-18,23.0,23.975,21.701,21.85,38128000
2014-09-19,22.0,26.2,20.29,22.95,82347200
2014-09-22,22.51,23.0,22.0,22.161,10350900
2014-09-23,22.336,23.25,22.0,23.0,23478500
2014-09-24,23.0,24.05,22.31,23.1,36414700
2014-09-25,23.2,23.98,20.75,21.5,34461900
