TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,1230.0,1244.9,1180.2,1228.0,33130
2014-06-10,1225.0,1225.0,1190.0,1196.0,16888
2014-06-11,1198.7,1198.7,1160.0,1165.0,21393
2014-06-16,1153.8,1191.1,1150.0,1189.9,22072
2014-06-17,1190.0,1200.0,1160.0,1175.0,11141
2014-06-18,1182.9,1182.9,1155.0,1166.4,8557
2014-06-19,1165.1,1171.1,1132.5,1156.3,15947
2014-06-20,1152.1,1161.2,1135.6,1135.6,18604
2014-06-23,1140.0,1158.6,1121.0,1155.0,5602
2014-06-24,1158.9,1170.0,1150.0,1166.9,9700
2014-06-25,1155.6,1190.0,1155.6,1175.1,19221
2014-06-26,1182.0,1207.7,1172.2,1194.4,22615
2014-06-27,1185.6,1223.0,1185.6,1215.0,23199
2014-06-30,1217.0,1240.0,1217.0,1235.0,29503
2014-07-01,1235.0,1238.4,1217.0,1226.0,17427
2014-07-02,1224.6,1235.5,1205.0,1217.0,8391
2014-07-03,1217.0,1238.0,1217.0,1228.0,26119
2014-07-04,1231.0,1232.0,1214.0,1215.7,3659
2014-07-07,1215.2,1248.5,1215.2,1247.3,16935
2014-07-08,1241.7,1266.8,1241.7,1254.9,18189
2014-07-09,1240.4,1258.8,1213.1,1257.0,5275
2014-07-10,1254.0,1265.0,1226.0,1228.9,5418
2014-07-11,1238.0,1238.8,1217.7,1223.0,6152
2014-07-14,1237.3,1237.3,1205.0,1214.0,7224
2014-07-15,1227.9,1231.4,1213.0,1213.0,39247
2014-07-16,1220.0,1227.2,1220.0,1221.0,6065
2014-07-17,1209.0,1216.7,1171.1,1177.0,28721
2014-07-18,1160.5,1205.1,1160.5,1189.3,5516
2014-07-21,1183.0,1196.9,1153.9,1158.0,21464
2014-07-22,1170.7,1181.9,1164.5,1172.0,6504
2014-07-23,1178.5,1193.1,1170.9,1191.8,3028
2014-07-24,1182.5,1188.7,1170.0,1175.6,2130
2014-07-25,1177.7,1177.7,1157.7,1159.5,5314
2014-07-28,1161.0,1161.0,1121.5,1127.1,6043
2014-07-29,1129.8,1139.5,1110.0,1110.7,8553
2014-07-30,1111.5,1149.7,1100.0,1141.6,4546
2014-07-31,1145.0,1159.0,1136.0,1137.4,5025
2014-08-01,1139.1,1149.9,1123.5,1149.5,2735
2014-08-04,1150.0,1177.0,1145.7,1151.8,2318
2014-08-05,1167.6,1167.6,1116.6,1123.0,5647
2014-08-06,1137.0,1137.0,1095.0,1095.1,18080
2014-08-07,1095.1,1105.0,1070.0,1088.0,7885
2014-08-08,1090.0,1135.0,1081.0,1132.9,10797
2014-08-11,1140.0,1166.0,1138.1,1153.4,4217
2014-08-12,1155.0,1166.1,1155.0,1158.0,2748
2014-08-13,1170.0,1187.9,1158.0,1187.9,3157
2014-08-14,1188.4,1190.0,1175.0,1187.0,4738
2014-08-15,1189.5,1191.5,1175.5,1180.0,3817
2014-08-18,1179.8,1209.9,1170.7,1187.2,7084
2014-08-19,1198.0,1208.4,1181.8,1193.6,14492
2014-08-20,1206.5,1219.5,1192.1,1215.0,6584
2014-08-21,1197.0,1238.9,1192.4,1225.6,23937
2014-08-22,1232.7,1248.0,1205.1,1241.0,13185
2014-08-25,1225.5,1248.0,1225.4,1235.9,1201
2014-08-26,1240.0,1240.0,1195.7,1199.9,11724
2014-08-27,1200.3,1220.0,1195.0,1200.0,5912
2014-08-28,1160.0,1199.9,1160.0,1167.0,4850
2014-08-29,1171.6,1174.7,1143.7,1144.1,8725
2014-09-01,1144.2,1155.7,1140.0,1148.0,1080
2014-09-02,1149.0,1177.0,1147.5,1170.5,7235
2014-09-03,1165.5,1214.0,1165.0,1203.2,22058
2014-09-04,1210.4,1215.5,1190.4,1192.2,2758
2014-09-05,1199.1,1219.3,1187.5,1217.2,8513
2014-09-08,1215.1,1249.9,1215.1,1220.2,12792
2014-09-09,1219.1,1239.9,1219.1,1231.5,4600
2014-09-10,1219.1,1230.9,1195.2,1206.9,21089
2014-09-11,1205.0,1219.8,1191.0,1193.5,11665
2014-09-12,1193.0,1220.0,1185.0,1191.6,7050
2014-09-15,1199.4,1205.8,1192.0,1205.8,9845
2014-09-16,1206.9,1240.0,1206.9,1234.9,12017
2014-09-17,1234.0,1244.0,1208.2,1210.0,19945
2014-09-18,1233.3,1243.0,1213.0,1230.0,12606
2014-09-19,1215.6,1236.3,1203.3,1230.0,34830
2014-09-22,1229.3,1241.0,1220.0,1232.0,4958
2014-09-23,1234.8,1262.3,1234.8,1250.3,23490
2014-09-24,1258.4,1269.0,1243.0,1259.9,22233
2014-09-25,1260.0,1271.0,1245.5,1267.2,5655
2014-09-26,1263.0,1270.0,1234.4,1234.4,11138
2014-09-29,1242.0,1262.9,1233.4,1234.9,9314
2014-09-30,1240.1,1254.7,1235.0,1250.0,4528
2014-10-01,1242.0,1272.0,1242.0,1266.0,6403
2014-10-02,1261.0,1269.0,1240.0,1251.0,14588
2014-10-03,1243.0,1257.0,1230.0,1251.0,13286
2014-10-06,1249.0,1275.0,1239.0,1269.0,24850
2014-10-07,1272.0,1288.0,1263.0,1266.0,31879
2014-10-08,1266.0,1274.0,1251.0,1267.0,19432
2014-10-09,1269.0,1290.0,1260.0,1266.0,5489
2014-10-10,1251.0,1260.0,1237.0,1245.0,4894
2014-10-13,1236.0,1295.0,1235.0,1294.0,9072
2014-10-14,1271.0,1300.0,1252.0,1289.0,2532
2014-10-15,1292.0,1298.0,1275.0,1285.0,5845
2014-10-16,1284.0,1300.0,1273.0,1284.0,3045
2014-10-17,1289.0,1289.0,1275.0,1275.0,5983
2014-10-20,1285.0,1288.0,1270.0,1285.0,25290
2014-10-21,1273.0,1348.0,1266.0,1291.0,33552
2014-10-22,1250.0,1294.0,1250.0,1285.0,1197
2014-10-23,1278.0,1289.0,1262.0,1279.0,5379
2014-10-24,1277.0,1285.0,1270.0,1282.0,4335
2014-10-27,1279.0,1290.0,1279.0,1289.0,3146
2014-10-28,1306.0,1307.0,1288.0,1302.0,3826
2014-10-29,1302.0,1341.0,1280.0,1325.0,42116
2014-10-30,1329.0,1335.0,1301.0,1329.0,9850
2014-10-31,1328.0,1344.0,1304.0,1344.0,2490
2014-11-03,1325.0,1354.0,1319.0,1350.0,2200
2014-11-05,1344.0,1353.0,1303.0,1343.0,12682
2014-11-06,1342.0,1350.0,1311.0,1339.0,22338
2014-11-07,1338.0,1379.0,1333.0,1379.0,30455
2014-11-10,1380.0,1387.0,1357.0,1385.0,8530
2014-11-11,1384.0,1385.0,1350.0,1370.0,15456
2014-11-12,1325.0,1390.0,1325.0,1369.0,12726
2014-11-13,1370.0,1388.0,1362.0,1375.0,7928
2014-11-14,1375.0,1380.0,1351.0,1366.0,20423
2014-11-17,1365.0,1426.0,1365.0,1419.0,15699
2014-11-18,1414.0,1440.0,1401.0,1416.0,9224
2014-11-19,1429.0,1441.0,1418.0,1441.0,12251
2014-11-20,1448.0,1448.0,1421.0,1438.0,5340
2014-11-21,1424.0,1444.0,1422.0,1435.0,4484
2014-11-24,1421.0,1445.0,1410.0,1434.0,4622
2014-11-25,1437.0,1468.0,1410.0,1420.0,21521
2014-11-26,1406.0,1471.0,1322.0,1436.0,9911
2014-11-27,1441.0,1447.0,1410.0,1440.0,1584
2014-11-28,1439.0,1480.0,1427.0,1480.0,14067
2014-12-01,1402.0,1549.0,1402.0,1548.0,15148
2014-12-02,1551.0,1574.0,1510.0,1574.0,6221
2014-12-03,1570.0,1650.0,1550.0,1629.0,21594
2014-12-04,1632.0,1688.0,1562.0,1688.0,113284
