TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,14.27,14.29,14.15,14.23,68540
2014-06-10,14.35,14.35,14.16,14.27,92530
2014-06-11,14.22,14.25,14.17,14.2,371250
2014-06-16,14.18,14.18,14.0,14.08,203550
2014-06-17,14.15,14.15,14.08,14.13,86750
2014-06-18,14.14,14.18,14.08,14.11,54310
2014-06-19,14.16,14.16,14.09,14.11,45220
2014-06-20,14.14,14.15,14.08,14.09,59290
2014-06-23,14.1,14.14,14.07,14.08,50400
2014-06-24,14.14,14.45,14.1,14.26,444700
2014-06-25,14.25,14.35,14.19,14.29,311560
2014-06-26,14.2,14.29,14.19,14.25,76100
2014-06-27,14.21,14.27,14.14,14.2,27660
2014-06-30,14.2,14.24,14.2,14.23,58320
2014-07-01,14.2,14.22,14.2,14.2,11500
2014-07-02,14.16,14.21,14.16,14.2,14070
2014-07-03,14.18,14.21,14.04,14.14,119690
2014-07-04,14.1,14.14,13.46,13.5,296520
2014-07-07,13.65,13.92,13.59,13.83,151020
2014-07-08,14.19,14.19,13.64,13.7,335830
2014-07-09,13.79,13.99,13.48,13.55,199920
2014-07-10,13.55,13.75,12.91,12.91,427280
2014-07-11,13.0,13.13,12.23,12.61,238320
2014-07-14,12.65,12.8,12.5,12.8,52650
2014-07-15,13.23,13.3,12.71,13.2,84080
2014-07-16,13.25,13.44,13.02,13.1,91890
2014-07-17,13.03,13.03,12.65,12.86,18100
2014-07-18,12.79,12.79,12.25,12.61,130270
2014-07-21,12.66,12.72,12.27,12.32,128940
2014-07-22,12.42,12.6,12.32,12.54,12360
2014-07-23,12.54,12.55,12.31,12.41,68920
2014-07-24,12.43,12.43,12.2,12.33,32970
2014-07-25,12.34,12.48,12.1,12.25,52050
2014-07-28,12.23,12.28,12.0,12.12,34970
2014-07-29,12.11,12.44,12.07,12.21,56740
2014-07-30,12.3,12.48,12.21,12.36,25340
2014-07-31,12.4,12.44,12.24,12.4,11410
2014-08-01,12.31,12.39,12.13,12.3,7650
2014-08-04,12.35,12.35,11.77,12.08,69090
2014-08-05,12.09,12.18,11.81,12.05,33720
2014-08-06,12.11,12.13,11.45,11.88,111990
2014-08-07,11.71,12.2,11.71,11.96,73070
2014-08-08,11.82,12.2,11.5,11.64,192650
2014-08-11,11.76,11.79,11.6,11.72,59430
2014-08-12,11.78,11.8,11.5,11.65,57540
2014-08-13,11.54,11.69,11.45,11.55,40900
2014-08-14,11.6,11.8,11.47,11.61,135830
2014-08-15,11.62,12.0,11.45,11.81,92080
2014-08-18,11.9,12.48,11.71,12.06,66120
2014-08-19,12.11,12.33,12.03,12.22,38140
2014-08-20,12.19,12.19,11.92,12.07,35010
2014-08-21,12.12,13.09,12.01,12.85,428340
2014-08-22,12.9,13.5,12.6,12.76,999140
2014-08-25,12.95,12.95,11.94,12.32,376160
2014-08-26,12.56,12.56,12.19,12.27,159140
2014-08-27,12.36,12.42,12.21,12.26,74950
2014-08-28,12.2,12.43,12.03,12.05,55760
2014-08-29,12.09,12.2,11.63,12.0,64810
2014-09-01,12.1,12.45,11.93,12.4,134240
2014-09-02,12.31,12.4,12.16,12.34,10910
2014-09-03,12.35,12.94,12.22,12.94,175160
2014-09-04,14.13,14.23,14.05,14.1,1110470
2014-09-05,14.09,14.09,13.77,13.8,879310
2014-09-08,13.9,14.1,13.9,14.05,77520
2014-09-09,14.05,14.1,14.05,14.06,29630
2014-09-10,14.05,14.13,14.01,14.1,103480
2014-09-11,14.06,14.13,14.0,14.05,100980
2014-09-12,14.05,14.13,14.03,14.05,12850
2014-09-15,14.12,14.16,14.02,14.1,57780
2014-09-16,14.1,14.1,14.0,14.08,228100
2014-09-17,14.01,14.09,14.01,14.06,239140
2014-09-18,14.01,14.07,13.99,14.02,89570
2014-09-19,14.03,14.09,14.0,14.03,385940
2014-09-22,14.03,14.08,14.03,14.06,79190
2014-09-23,14.03,14.12,14.03,14.07,497280
2014-09-24,14.11,14.13,14.07,14.07,14830
2014-09-25,14.08,14.1,14.08,14.09,52680
2014-09-26,14.04,14.16,13.86,14.13,1056590
2014-09-29,14.13,14.14,14.07,14.13,50940
2014-09-30,14.09,14.15,14.08,14.15,205420
2014-10-01,14.13,14.21,14.05,14.18,586360
2014-10-02,14.1,14.16,14.05,14.1,111490
2014-10-03,14.1,14.14,14.05,14.06,24900
2014-10-06,14.05,14.13,14.05,14.05,8440
2014-10-07,14.07,14.13,14.06,14.08,62790
2014-10-08,14.11,14.14,14.08,14.09,46600
2014-10-09,14.12,14.12,14.08,14.1,30650
2014-10-10,14.05,14.15,13.98,14.05,66730
2014-10-13,14.03,14.38,14.01,14.2,1139800
2014-10-14,14.23,14.29,14.12,14.24,23330
2014-10-15,14.2,14.26,14.12,14.26,109670
2014-10-16,14.23,14.26,14.15,14.23,24740
2014-10-17,14.25,14.26,14.15,14.25,37480
2014-10-20,14.27,14.31,14.2,14.28,108640
2014-10-21,14.27,14.3,14.2,14.3,265440
2014-10-22,14.3,14.31,14.2,14.3,15370
2014-10-23,14.3,14.37,14.2,14.34,145090
2014-10-24,14.32,14.39,14.3,14.33,828030
2014-10-27,14.38,14.38,14.3,14.34,44640
2014-10-28,14.37,14.39,14.35,14.36,22210
2014-10-29,14.4,14.4,14.31,14.37,44350
2014-10-30,14.36,14.37,14.3,14.35,7090
2014-10-31,14.4,14.4,14.3,14.3,18110
2014-11-03,14.33,14.36,14.33,14.33,57500
2014-11-05,14.33,14.4,14.3,14.38,696610
2014-11-06,14.39,20.05,14.12,15.9,1024730
2014-11-07,15.28,15.89,14.26,14.56,415390
2014-11-10,14.5,14.6,14.18,14.44,134250
2014-11-11,14.21,15.33,14.21,14.74,487900
2014-11-12,14.91,14.91,14.15,14.31,183320
2014-11-13,14.11,14.41,14.1,14.27,221750
2014-11-14,14.16,14.27,14.15,14.25,188540
2014-11-17,14.37,14.37,14.16,14.28,35660
2014-11-18,14.39,14.39,14.2,14.3,139540
2014-11-19,14.2,14.33,14.2,14.3,49080
2014-11-20,14.25,14.35,14.25,14.35,108980
2014-11-21,14.25,14.4,14.21,14.4,148080
2014-11-24,14.41,14.41,14.24,14.4,176330
2014-11-25,14.34,16.99,14.34,14.87,444300
2014-11-26,14.61,15.45,14.45,14.68,216320
2014-11-27,14.69,14.93,14.34,14.39,137670
2014-11-28,14.67,14.67,14.0,14.15,83490
2014-12-01,14.1,14.2,13.73,13.96,77620
2014-12-02,14.1,14.56,13.53,14.01,114220
2014-12-03,13.87,14.4,13.83,14.2,51560
2014-12-04,14.19,14.9,14.01,14.04,67520
2014-12-05,16.64,16.64,13.73,14.24,51540
2014-12-08,13.03,14.38,13.03,13.8,48640
2014-12-09,13.86,13.93,13.11,13.8,64120
2014-12-10,15.39,15.39,13.47,13.79,59870
2014-12-11,13.66,13.97,13.23,13.65,73420
2014-12-12,13.39,13.68,13.1,13.66,20350
2014-12-15,13.67,13.9,12.74,13.14,46220
2014-12-16,13.0,13.3,10.0,11.66,287900
2014-12-17,11.79,12.32,11.52,11.95,113870
2014-12-18,12.0,13.59,11.97,12.68,180760
2014-12-19,14.98,14.98,12.94,14.17,254590
2014-12-22,14.21,14.22,13.27,13.62,45600
2014-12-23,13.63,13.87,13.14,13.65,15050
2014-12-24,13.3,13.46,12.9,13.35,24510
2014-12-25,13.39,13.47,13.08,13.35,11090
2014-12-26,13.34,13.46,12.6,12.88,55970
