TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,38.26,38.89,38.26,38.5,12720
2014-06-10,38.33,39.43,38.16,38.79,59220
2014-06-11,38.7,39.79,38.57,39.49,132150
2014-06-16,39.21,40.39,38.79,40.39,86620
2014-06-17,40.02,40.2,40.0,40.0,111570
2014-06-18,39.89,40.09,39.89,40.05,34610
2014-06-19,40.16,40.49,40.16,40.25,20650
2014-06-20,40.11,40.28,40.1,40.11,5360
2014-06-23,40.03,40.21,40.0,40.05,5180
2014-06-24,40.28,40.49,40.21,40.39,3240
2014-06-25,40.14,40.2,39.9,40.1,17160
2014-06-26,39.89,40.1,38.79,39.0,34120
2014-06-27,39.06,39.4,34.0,38.01,47820
2014-06-30,37.99,38.84,37.4,38.59,41660
2014-07-01,38.85,39.5,38.53,39.2,3260
2014-07-02,39.01,39.01,38.42,38.85,18570
2014-07-03,38.54,39.01,37.8,38.9,8870
2014-07-04,38.63,39.9,38.63,39.35,19970
2014-07-07,39.13,39.51,39.1,39.29,2970
2014-07-08,35.98,39.74,35.98,39.23,17040
2014-07-09,39.16,39.2,38.46,38.79,6240
2014-07-10,38.73,38.84,37.42,38.0,13970
2014-07-11,38.0,38.19,37.5,37.95,2820
2014-07-14,38.18,38.2,36.75,37.1,11680
2014-07-15,37.21,37.23,35.63,36.24,40520
2014-07-16,36.17,36.17,35.35,35.49,34490
2014-07-17,35.36,35.5,33.8,35.0,82960
2014-07-18,35.0,35.43,33.11,33.63,79630
2014-07-21,33.57,33.57,32.67,32.91,29200
2014-07-22,32.98,34.4,32.95,34.02,84100
2014-07-23,33.83,36.07,33.27,34.22,61060
2014-07-24,34.04,34.39,33.75,33.9,12770
2014-07-25,33.95,34.46,32.93,34.01,120120
2014-07-28,33.76,33.98,32.81,33.15,6610
2014-07-29,33.21,33.51,32.93,33.4,24230
2014-07-30,33.38,33.94,33.38,33.78,18080
2014-07-31,33.5,34.56,33.41,34.01,74430
2014-08-01,34.19,35.15,33.5,35.0,130250
2014-08-04,34.99,35.58,34.05,34.9,63720
2014-08-05,34.27,34.4,33.86,34.35,23960
2014-08-06,34.05,34.66,33.6,33.9,92840
2014-08-07,33.99,34.0,31.87,32.7,41590
2014-08-08,32.99,33.29,32.5,33.15,42160
2014-08-11,33.2,33.77,33.05,33.44,37840
2014-08-12,33.14,33.7,33.14,33.33,42330
2014-08-13,33.49,33.7,33.14,33.52,46520
2014-08-14,33.08,34.18,33.06,33.81,31630
2014-08-15,33.7,34.26,33.6,33.98,8790
2014-08-18,33.78,34.0,33.19,33.65,16370
2014-08-19,33.51,34.25,33.1,34.16,15940
2014-08-20,34.37,35.53,34.15,35.52,40240
2014-08-21,35.56,36.07,33.99,34.46,106800
2014-08-22,34.25,34.98,33.34,34.93,17600
2014-08-25,34.56,35.05,34.5,35.0,10780
2014-08-26,34.96,34.96,34.66,34.66,22030
2014-08-27,34.79,34.88,33.67,34.21,16200
2014-08-28,34.17,34.6,33.67,33.81,8320
2014-08-29,33.78,33.9,33.15,33.59,28670
2014-09-01,33.59,33.68,32.86,32.99,23490
2014-09-02,33.09,33.21,32.91,33.21,17590
2014-09-03,33.39,34.29,33.02,34.0,17200
2014-09-04,33.79,35.3,33.6,34.4,34410
2014-09-05,34.22,34.66,33.65,34.01,43320
2014-09-08,34.0,34.39,33.96,34.0,79960
2014-09-09,34.64,34.68,33.9,34.17,141710
2014-09-10,33.96,34.04,33.35,33.52,29830
2014-09-11,33.96,33.97,32.7,32.71,70910
2014-09-12,32.72,32.72,32.25,32.56,59070
2014-09-15,32.72,32.95,31.05,31.15,83150
2014-09-16,31.5,31.98,31.26,31.65,116370
2014-09-17,31.73,32.2,30.87,31.45,39120
2014-09-18,31.48,31.7,30.81,31.39,34570
2014-09-19,31.03,31.25,30.74,31.12,32350
2014-09-22,30.97,31.72,30.23,30.23,105350
2014-09-23,30.75,31.05,30.5,30.8,35810
2014-09-24,30.91,32.47,30.91,32.19,77220
2014-09-25,32.21,33.67,31.56,33.34,105900
2014-09-26,33.11,33.44,32.9,33.1,17330
2014-09-29,33.01,33.01,31.01,31.4,63960
2014-09-30,31.4,31.63,31.1,31.5,82200
2014-10-01,31.5,31.6,31.05,31.35,11720
2014-10-02,31.15,31.15,30.3,30.6,41240
2014-10-03,30.85,30.95,30.35,30.55,22330
2014-10-06,30.65,31.0,30.25,30.65,205050
2014-10-07,30.5,30.85,30.5,30.85,16330
2014-10-08,30.75,30.75,30.2,30.6,59940
2014-10-09,30.8,31.25,30.55,30.85,22810
2014-10-10,30.65,30.85,30.3,30.45,59700
2014-10-13,30.8,31.0,30.6,30.95,44840
2014-10-14,30.8,31.15,30.75,31.05,17120
2014-10-15,31.0,31.5,30.75,30.9,30640
2014-10-16,31.15,31.15,30.75,30.85,41340
2014-10-17,30.8,31.85,30.8,31.05,53350
2014-10-20,31.15,31.15,30.6,31.0,29750
2014-10-21,30.75,31.25,30.7,31.25,32380
2014-10-22,31.1,31.45,30.8,31.0,14030
2014-10-23,31.0,31.5,30.75,31.1,32940
2014-10-24,30.85,31.1,30.8,31.1,7600
2014-10-27,31.2,31.55,31.0,31.3,19520
2014-10-28,31.35,31.95,31.3,31.9,38650
2014-10-29,31.95,32.1,31.5,31.55,18130
2014-10-30,31.9,32.3,31.9,32.2,23260
