TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,297.0,305.0,295.0,296.5,1814130
2014-06-10,297.5,297.5,291.1,293.4,963070
2014-06-11,293.2,296.7,290.0,292.5,816920
2014-06-16,290.1,290.9,282.7,285.4,2377230
2014-06-17,285.4,291.2,284.6,286.5,1404850
2014-06-18,288.3,293.9,286.1,291.9,1498790
2014-06-19,295.0,298.0,291.3,294.0,1929690
2014-06-20,290.0,290.3,285.3,286.2,1563870
2014-06-23,287.0,290.0,284.1,285.1,835640
2014-06-24,285.4,293.3,285.4,291.8,1505130
2014-06-25,289.8,292.8,284.3,284.5,1271190
2014-06-26,285.9,286.2,278.3,280.1,1590760
2014-06-27,280.1,283.0,276.8,280.6,1078620
2014-06-30,281.2,282.9,276.2,279.0,852750
2014-07-01,279.7,279.7,277.1,278.7,951730
2014-07-02,279.0,287.3,279.0,285.7,1723250
2014-07-03,286.4,289.3,285.2,288.7,1438480
2014-07-04,289.0,290.9,282.7,283.4,1222690
2014-07-07,283.4,290.7,282.9,289.5,1047450
2014-07-08,290.0,295.5,289.6,293.0,2052550
2014-07-09,293.0,297.5,289.1,291.4,1979230
2014-07-10,293.0,294.1,285.2,287.8,2038120
2014-07-11,288.8,292.1,286.0,290.9,1896240
2014-07-14,291.2,294.6,289.4,293.5,1101820
2014-07-15,294.6,302.0,291.5,298.2,2268850
2014-07-16,298.5,305.0,297.6,304.5,1947310
2014-07-17,302.1,304.5,296.5,303.9,2094060
2014-07-18,299.0,303.2,296.5,302.0,2427550
2014-07-21,304.0,309.0,303.0,303.9,3236280
2014-07-22,305.8,313.4,305.1,311.7,3155140
2014-07-23,311.7,317.0,307.1,310.0,2555900
2014-07-24,308.8,312.3,306.2,310.5,1208490
2014-07-25,310.0,312.7,307.2,310.1,1218340
2014-07-28,307.6,309.5,304.6,307.9,1007900
2014-07-29,308.0,321.5,308.0,320.0,2571130
2014-07-30,317.0,333.8,316.1,331.3,3445340
2014-07-31,330.3,346.2,330.3,343.0,3895730
2014-08-01,343.1,347.9,337.4,344.9,2403520
2014-08-04,348.9,349.6,339.1,343.1,1383010
2014-08-05,343.6,344.8,331.3,333.1,2083260
2014-08-06,331.7,335.0,326.3,328.3,2250870
2014-08-07,326.4,333.8,325.5,330.7,2181600
2014-08-08,330.8,337.0,327.2,334.1,2238850
2014-08-11,342.0,343.9,333.0,337.5,2293590
2014-08-12,337.5,338.8,332.6,334.1,1177810
2014-08-13,334.1,341.7,333.3,338.5,1743830
2014-08-14,340.0,345.0,336.6,338.7,1593630
2014-08-15,340.0,344.8,337.5,340.0,1119910
2014-08-18,341.2,344.4,338.5,343.1,819530
2014-08-19,343.5,354.1,342.0,353.9,2129060
2014-08-20,354.2,362.6,350.2,362.6,1752000
2014-08-21,363.8,370.2,360.5,363.1,1994400
2014-08-22,363.1,364.8,355.4,360.5,1408360
2014-08-25,359.3,363.0,357.5,359.5,605310
2014-08-26,360.4,365.5,358.1,363.8,1151560
2014-08-27,365.5,367.2,358.7,359.4,1235990
2014-08-28,359.3,359.9,351.2,355.6,1942360
2014-08-29,356.6,359.5,352.2,359.5,1022820
2014-09-01,362.2,364.5,354.6,358.0,1349900
2014-09-02,358.0,360.0,355.3,357.1,698830
2014-09-03,357.2,371.8,357.2,371.7,1772540
2014-09-04,371.8,374.2,368.3,370.0,1003610
2014-09-05,366.8,373.8,364.8,369.0,1213890
2014-09-08,366.3,370.9,365.6,366.0,853640
2014-09-09,367.2,370.4,365.0,366.1,788840
2014-09-10,364.5,365.9,360.6,362.3,1149430
2014-09-11,365.3,367.6,361.6,362.2,1108140
2014-09-12,362.3,367.9,360.1,366.7,805330
2014-09-15,366.0,371.7,363.4,370.7,1331780
2014-09-16,358.4,380.6,358.4,378.3,1156870
2014-09-17,375.3,384.2,373.1,377.5,1237860
2014-09-18,377.5,384.8,376.0,382.0,1087970
2014-09-19,380.1,386.0,376.3,383.7,1300980
2014-09-22,380.1,385.6,378.0,378.0,966320
2014-09-23,379.2,382.5,376.4,380.7,921400
2014-09-24,380.9,384.8,379.6,379.6,831700
2014-09-25,380.1,383.5,379.5,379.9,590660
2014-09-26,379.6,390.7,377.3,390.7,2064040
2014-09-29,390.9,396.7,387.9,394.3,1755700
2014-09-30,397.0,397.0,388.4,393.5,1629070
2014-10-01,391.05,398.95,391.05,393.0,888720
2014-10-02,391.1,394.9,389.2,389.55,1191200
2014-10-03,392.75,394.0,380.65,380.65,1270660
2014-10-06,382.7,389.55,381.1,386.5,1151090
2014-10-07,388.8,389.4,382.5,384.95,1033900
2014-10-08,383.0,384.75,378.5,380.4,1249660
2014-10-09,394.2,394.2,381.0,382.5,689330
2014-10-10,382.5,400.0,382.45,400.0,4717910
2014-10-13,400.1,414.3,400.1,411.9,2856730
2014-10-14,412.05,416.55,409.0,409.0,1212240
2014-10-15,408.75,409.6,406.1,406.1,1118770
2014-10-16,406.1,412.95,404.3,408.55,1633660
2014-10-17,410.8,412.45,408.05,410.15,921210
2014-10-20,408.1,417.6,408.1,414.3,2717090
2014-10-21,414.75,430.3,413.3,428.9,2553180
2014-10-22,430.9,433.9,421.0,421.0,1683390
2014-10-23,420.5,424.55,418.0,422.0,1515210
2014-10-24,419.9,424.0,419.9,424.0,554850
2014-10-27,426.0,431.9,425.3,429.25,1269700
2014-10-28,429.25,435.0,427.45,434.85,1409600
2014-10-29,436.0,444.45,433.2,443.0,1494720
2014-10-30,441.05,449.45,441.0,445.3,2110660
2014-10-31,452.0,457.1,445.0,457.1,1933090
2014-11-03,455.9,502.6,455.1,473.8,1961190
2014-11-05,469.55,489.0,465.0,488.7,2052750
2014-11-06,488.6,506.45,488.6,502.5,2414210
2014-11-07,507.25,514.6,504.45,508.05,3159290
2014-11-10,510.0,514.0,496.15,506.8,2859250
2014-11-11,507.0,509.4,493.0,494.95,3525320
2014-11-12,496.85,499.0,481.6,487.2,2672150
2014-11-13,487.2,494.85,486.2,490.1,1514680
2014-11-14,490.85,503.15,489.35,496.0,1891710
2014-11-17,495.35,502.5,491.25,493.3,1363000
2014-11-18,495.15,500.5,492.25,499.2,1986300
2014-11-19,500.0,504.0,497.05,498.0,2317230
2014-11-20,498.0,503.65,498.0,501.0,1747550
2014-11-21,503.45,525.0,499.4,525.0,2689960
2014-11-24,480.0,482.0,447.2,450.4,3711690
2014-11-25,446.95,450.45,444.0,446.15,1469230
2014-11-26,443.95,447.35,441.2,446.8,1278470
2014-11-27,446.3,446.3,440.0,441.0,1332550
2014-11-28,440.0,454.8,431.6,454.75,2312120
2014-12-01,452.0,491.2,451.15,484.15,3469180
2014-12-02,484.0,489.8,476.8,486.6,1834470
2014-12-03,486.5,500.0,486.5,497.1,1797860
2014-12-04,497.25,502.45,478.8,488.1,2668450
2014-12-05,489.95,493.75,470.7,471.5,1213540
2014-12-08,471.75,485.0,456.95,467.05,1765680
2014-12-09,467.95,490.95,460.55,489.0,1563490
2014-12-10,490.7,504.5,488.1,504.5,1929560
2014-12-11,501.0,509.5,493.95,498.9,1560850
2014-12-12,498.0,524.45,489.15,511.0,2726260
2014-12-15,512.7,526.85,512.1,525.85,3011740
2014-12-16,518.0,568.0,485.8,530.5,3603790
2014-12-17,540.0,550.0,511.0,511.0,2305920
2014-12-18,512.0,543.5,491.9,505.15,3068890
2014-12-19,505.4,510.0,485.0,490.2,1019160
2014-12-22,494.35,502.25,485.15,491.3,1069360
2014-12-23,489.55,494.95,467.0,468.8,876990
2014-12-24,455.25,489.25,455.25,484.0,708310
2014-12-25,490.0,492.9,463.05,472.15,459780
2014-12-26,466.15,484.95,466.15,483.45,337780
2014-12-29,483.25,509.0,480.0,503.0,885460
2014-12-30,502.75,507.2,486.25,501.9,615670
2015-01-05,500.15,522.0,499.3,522.0,489850
2015-01-06,521.9,556.9,521.75,556.9,1138900
2015-01-08,557.0,565.95,542.7,542.7,1173090
2015-01-09,542.9,553.95,538.8,548.55,782550
2015-01-12,551.55,559.7,547.3,558.45,716080
2015-01-13,556.55,589.5,556.55,583.0,1435290
2015-01-14,585.05,598.8,577.75,595.0,1285620
2015-01-15,595.0,597.85,575.0,577.0,1316660
2015-01-16,578.05,589.0,571.2,587.9,692750
2015-01-19,588.35,604.6,578.15,589.0,1163090
2015-01-20,590.0,597.25,580.0,586.9,841460
2015-01-21,586.7,595.95,586.3,592.0,580840
2015-01-22,591.55,601.35,590.1,599.5,1114280
2015-01-23,600.0,611.0,578.3,587.0,1259680
2015-01-26,587.1,618.4,580.0,616.15,1409650
2015-01-27,615.0,642.95,612.1,632.5,2119350
2015-01-28,639.5,647.05,625.15,630.85,1055380
2015-01-29,630.9,656.4,628.0,634.2,1072220
2015-01-30,639.0,652.0,633.75,642.35,1104810
2015-02-02,640.0,650.9,630.6,645.9,880520
2015-02-03,646.0,649.95,626.05,632.0,1094750
2015-02-04,633.0,656.0,626.95,656.0,1303910
2015-02-05,656.45,669.3,652.0,663.4,1391630
2015-02-06,663.4,705.0,657.45,701.2,1675470
2015-02-09,704.6,709.45,691.7,696.0,1529970
2015-02-10,693.3,695.3,684.0,688.0,876060
2015-02-11,692.65,701.55,688.65,695.0,753290
2015-02-12,700.15,714.85,687.2,713.0,1170910
2015-02-13,715.05,721.0,701.05,711.5,1116260
2015-02-16,710.75,712.0,681.2,685.0,758050
2015-02-17,685.05,712.6,674.0,698.6,1327430
2015-02-18,705.0,715.0,689.15,702.0,1307910
2015-02-19,702.0,710.5,687.3,706.0,875670
2015-02-20,714.45,714.45,692.9,704.9,502150
2015-02-24,700.0,707.3,689.0,698.1,577150
2015-02-25,704.65,704.65,682.2,689.0,728780
2015-02-26,690.0,690.15,675.7,684.0,708980
2015-02-27,681.25,695.7,675.2,682.0,922800
2015-03-02,692.6,707.6,685.05,707.6,603430
2015-03-03,707.5,744.0,704.0,738.45,1819360
2015-03-04,744.75,749.5,725.1,730.0,1286120
2015-03-05,738.65,742.0,717.1,730.05,1117980
2015-03-06,730.8,735.0,721.0,721.0,748250
2015-03-10,718.0,725.5,707.4,710.35,1312150
2015-03-11,710.05,738.95,707.2,734.5,1506610
2015-03-12,736.8,738.0,705.85,710.0,842590
2015-03-13,715.15,717.5,701.1,708.1,837830
2015-03-16,708.1,714.3,699.1,708.6,695340
2015-03-17,711.0,714.25,692.8,692.8,704240
2015-03-18,695.0,701.65,685.0,690.0,941690
2015-03-19,689.5,693.5,677.0,680.75,803910
2015-03-20,681.0,698.25,676.45,683.0,966210
2015-03-23,690.0,695.0,670.5,674.5,786640
2015-03-24,670.05,674.0,655.6,661.7,871990
2015-03-25,661.8,668.0,650.0,658.15,666490
2015-03-26,660.0,660.0,635.0,636.9,988430
2015-03-27,631.8,649.55,630.65,642.8,603720
2015-03-30,646.95,664.5,643.85,657.0,769810
