TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,0.05945,0.06115,0.05945,0.05968,3624980000
2014-06-10,0.05967,0.06014,0.05951,0.05965,3298900000
2014-06-11,0.0596,0.0611,0.05933,0.06015,5055990000
2014-06-16,0.05998,0.06002,0.05891,0.0592,4395110000
2014-06-17,0.0594,0.05985,0.05807,0.05808,3746530000
2014-06-18,0.0585,0.0593,0.05814,0.05875,5270550000
2014-06-19,0.05922,0.0597,0.05889,0.059,4480050000
2014-06-20,0.05952,0.05952,0.05725,0.05725,5107330000
2014-06-23,0.058,0.0584,0.05755,0.0583,3247370000
2014-06-24,0.05869,0.05988,0.0584,0.05982,4284700000
2014-06-25,0.059,0.0596,0.05865,0.05919,3029350000
2014-06-26,0.05921,0.06006,0.05897,0.0598,4491260000
2014-06-27,0.0599,0.05995,0.0587,0.059,2025570000
2014-06-30,0.05912,0.05947,0.0581,0.05886,1848470000
2014-07-01,0.05934,0.05934,0.05809,0.05895,1726200000
2014-07-02,0.05978,0.05978,0.05866,0.05954,2972800000
2014-07-03,0.05961,0.06149,0.05952,0.06097,6462680000
2014-07-04,0.06104,0.06165,0.05921,0.05929,3779560000
2014-07-07,0.05928,0.06029,0.05861,0.06024,2078820000
2014-07-08,0.06025,0.06067,0.05879,0.05913,3279760000
2014-07-09,0.05898,0.05963,0.05815,0.05882,2790660000
2014-07-10,0.059,0.0596,0.0575,0.05766,3720100000
2014-07-11,0.05786,0.05844,0.05753,0.05837,2048850000
2014-07-14,0.05834,0.05889,0.05752,0.05797,2328320000
2014-07-15,0.05799,0.05819,0.05702,0.05724,2352710000
2014-07-16,0.05726,0.05799,0.05706,0.05706,2133670000
2014-07-17,0.05689,0.05689,0.0551,0.05608,3296710000
2014-07-18,0.05502,0.05538,0.0538,0.05451,3742570000
2014-07-21,0.05432,0.05532,0.05372,0.05413,3864640000
2014-07-22,0.0546,0.05521,0.05433,0.05481,2301010000
2014-07-23,0.05494,0.0555,0.05303,0.05428,4908350000
2014-07-24,0.054,0.0542,0.053,0.0536,1595250000
2014-07-25,0.05312,0.05454,0.05312,0.0534,2983580000
2014-07-28,0.053,0.05337,0.05116,0.05143,3563310000
2014-07-29,0.05195,0.0526,0.0508,0.0518,4343400000
2014-07-30,0.05155,0.05317,0.051,0.05284,2609030000
2014-07-31,0.05289,0.0535,0.05225,0.05259,1814720000
2014-08-01,0.05229,0.05397,0.05213,0.05379,2622770000
2014-08-04,0.05379,0.05546,0.05376,0.055,3866230000
2014-08-05,0.05511,0.05554,0.05344,0.05437,2424860000
2014-08-06,0.05401,0.05438,0.05275,0.05302,2156440000
2014-08-07,0.05427,0.05427,0.05081,0.05221,3562510000
2014-08-08,0.05226,0.05383,0.05187,0.05333,3372530000
2014-08-11,0.05448,0.0549,0.05377,0.05411,1376840000
2014-08-12,0.05469,0.05469,0.05341,0.05381,1557820000
2014-08-13,0.0538,0.05489,0.05364,0.05416,2458500000
2014-08-14,0.05468,0.05468,0.05366,0.05426,2148270000
2014-08-15,0.05425,0.05532,0.05414,0.05466,2319770000
2014-08-18,0.05459,0.0551,0.054,0.05417,1706870000
2014-08-19,0.05419,0.05596,0.05419,0.05589,3146340000
2014-08-20,0.05599,0.05687,0.05534,0.05568,2752810000
2014-08-21,0.05566,0.05624,0.0551,0.05527,2306750000
2014-08-22,0.0555,0.05591,0.05408,0.05498,2051000000
2014-08-25,0.05511,0.05622,0.05511,0.05608,2296130000
2014-08-26,0.05609,0.05666,0.05466,0.05471,2340620000
2014-08-27,0.0553,0.0557,0.05475,0.05511,1821860000
2014-08-28,0.05478,0.05544,0.05356,0.0549,3545460000
2014-08-29,0.05449,0.05528,0.054,0.054,2126950000
2014-09-01,0.05408,0.05489,0.0534,0.05383,3125390000
2014-09-02,0.05425,0.05439,0.05351,0.05431,1968950000
2014-09-03,0.05423,0.05624,0.05413,0.0562,4500930000
2014-09-04,0.056,0.0562,0.05391,0.05522,4827220000
2014-09-05,0.0551,0.05552,0.05446,0.05505,3744120000
2014-09-08,0.0548,0.05532,0.05439,0.0547,1550990000
2014-09-09,0.05391,0.05654,0.05391,0.05575,4684290000
2014-09-10,0.05547,0.05644,0.0553,0.05569,3078880000
2014-09-11,0.05615,0.05668,0.05523,0.05568,3046410000
2014-09-12,0.05595,0.05639,0.0556,0.05622,1556380000
2014-09-15,0.05611,0.057,0.0557,0.0558,2974490000
2014-09-16,0.0558,0.05632,0.05531,0.05618,2259900000
2014-09-17,0.05619,0.05625,0.055,0.05538,2001570000
2014-09-18,0.05525,0.05637,0.05523,0.05593,1332210000
2014-09-19,0.0564,0.057,0.05564,0.0567,3150130000
2014-09-22,0.057,0.05815,0.05654,0.05761,4582120000
2014-09-23,0.058,0.05859,0.05658,0.05721,2201860000
2014-09-24,0.05761,0.05781,0.05665,0.05683,1264170000
2014-09-25,0.0568,0.05777,0.05616,0.0569,1833160000
2014-09-26,0.0565,0.05711,0.056,0.057,2197140000
2014-09-29,0.05671,0.05842,0.05671,0.0574,2508260000
2014-09-30,0.0574,0.05789,0.05632,0.05645,1891920000
2014-10-01,0.05614,0.05698,0.055,0.05545,1404730000
2014-10-02,0.05502,0.05544,0.0537,0.0541,1818760000
2014-10-03,0.0542,0.05508,0.05407,0.05469,1092020000
2014-10-06,0.05488,0.05632,0.05488,0.05601,1343800000
2014-10-07,0.05563,0.05626,0.05549,0.05597,604460000
2014-10-08,0.05564,0.05568,0.0545,0.0547,1210950000
2014-10-09,0.0551,0.0558,0.0545,0.0552,1313800000
2014-10-10,0.05478,0.05513,0.05385,0.05471,2387750000
2014-10-13,0.05465,0.0556,0.05439,0.05523,1305990000
2014-10-14,0.05528,0.0563,0.05513,0.0563,1650840000
2014-10-15,0.05563,0.05578,0.055,0.05508,872330000
2014-10-16,0.05512,0.0556,0.05456,0.05555,1574910000
2014-10-17,0.05564,0.0562,0.05545,0.05571,1138770000
2014-10-20,0.05522,0.05597,0.05522,0.05565,883820000
2014-10-21,0.0559,0.05592,0.055,0.0558,1304890000
2014-10-22,0.05709,0.05709,0.05453,0.05461,1388500000
2014-10-23,0.05442,0.0545,0.0531,0.0538,2323750000
2014-10-24,0.05372,0.05409,0.05344,0.0538,734090000
2014-10-27,0.0542,0.05478,0.0535,0.05381,1904100000
2014-10-28,0.054,0.05436,0.05382,0.0539,987130000
2014-10-29,0.05412,0.05441,0.0535,0.05402,2508930000
2014-10-30,0.05341,0.05425,0.05317,0.05422,1161640000
2014-10-31,0.0545,0.05455,0.05355,0.05361,1627820000
2014-11-03,0.05366,0.0551,0.05359,0.05488,1872570000
2014-11-05,0.0545,0.05492,0.05415,0.05452,1621320000
2014-11-06,0.05454,0.05535,0.05394,0.05408,2067550000
2014-11-07,0.05395,0.05438,0.05361,0.05407,1849900000
2014-11-10,0.05416,0.05459,0.0541,0.05458,1465940000
2014-11-11,0.0546,0.05531,0.05447,0.05509,2390340000
2014-11-12,0.05513,0.05527,0.05461,0.05475,1011060000
2014-11-13,0.05475,0.05478,0.05372,0.05397,1058870000
2014-11-14,0.05394,0.05408,0.05346,0.05373,993960000
2014-11-17,0.05374,0.05399,0.05351,0.05364,724680000
2014-11-18,0.0538,0.05443,0.0536,0.05406,1201310000
2014-11-19,0.05855,0.05855,0.05357,0.05378,870070000
2014-11-20,0.05378,0.05417,0.05311,0.0538,1423710000
2014-11-21,0.05381,0.0544,0.0535,0.05386,1331520000
2014-11-24,0.05393,0.05415,0.05362,0.05372,906590000
2014-11-25,0.05232,0.05424,0.05232,0.0542,1340560000
2014-11-26,0.05379,0.05448,0.0536,0.05411,1977940000
