TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,3.44,3.487,3.301,3.345,14100
2014-06-10,3.351,3.4,3.34,3.4,9200
2014-06-11,3.431,3.431,3.31,3.395,20200
2014-06-16,3.457,3.467,3.203,3.467,147700
2014-06-17,3.579,3.58,3.34,3.427,25300
2014-06-18,3.421,3.543,3.376,3.453,145200
2014-06-19,3.423,3.436,3.361,3.361,87700
2014-06-20,3.367,3.485,3.367,3.37,41800
2014-06-23,3.373,3.489,3.371,3.437,2900
2014-06-24,3.485,3.486,3.402,3.469,8200
2014-06-25,3.456,3.46,3.401,3.45,35000
2014-06-26,3.449,3.52,3.331,3.418,102200
2014-06-27,3.432,3.432,3.363,3.409,201700
2014-06-30,3.355,3.361,3.352,3.352,12900
2014-07-01,3.48,3.48,3.324,3.333,46500
2014-07-02,3.437,3.437,3.26,3.396,37100
2014-07-03,3.35,3.392,3.301,3.301,19900
2014-07-04,3.449,3.449,3.299,3.3,53700
2014-07-07,3.414,3.415,3.306,3.372,178000
2014-07-08,3.33,3.393,3.27,3.305,87800
2014-07-09,3.34,3.343,3.282,3.3,48000
2014-07-10,3.299,3.299,3.2,3.26,74900
2014-07-11,3.211,3.224,3.027,3.165,148000
2014-07-14,3.128,3.199,3.127,3.192,6800
2014-07-15,3.152,3.193,3.108,3.147,6300
2014-07-16,3.099,3.11,3.05,3.094,175000
2014-07-17,3.093,3.093,3.0,3.019,121500
2014-07-18,3.0,3.01,2.851,3.004,102900
2014-07-21,2.91,3.01,2.886,2.926,203500
2014-07-22,2.947,3.09,2.92,3.09,665200
2014-07-23,3.012,3.175,3.01,3.17,426900
2014-07-24,3.123,3.205,3.112,3.18,180500
2014-07-25,3.152,3.152,3.1,3.133,39700
2014-07-28,3.079,3.079,3.02,3.04,42100
2014-07-29,3.069,3.15,3.0,3.119,217700
2014-07-30,3.068,3.166,3.068,3.121,607100
2014-07-31,3.12,3.2,3.12,3.181,259800
2014-08-01,3.181,3.19,3.18,3.18,53300
2014-08-04,3.151,3.19,3.151,3.185,74300
2014-08-05,3.129,3.196,3.129,3.19,191700
2014-08-06,3.19,3.196,3.105,3.17,196000
2014-08-07,3.1,3.16,3.059,3.147,320700
2014-08-08,3.16,3.17,3.12,3.16,65200
2014-08-11,3.17,3.179,3.132,3.165,26900
2014-08-12,3.164,3.19,3.1,3.15,161500
2014-08-13,3.147,3.147,3.144,3.145,12200
2014-08-14,3.099,3.15,3.099,3.15,20800
2014-08-15,3.103,3.148,3.1,3.148,23500
2014-08-18,3.16,3.172,3.156,3.172,3300
2014-08-19,3.159,3.255,3.159,3.246,61600
2014-08-20,3.25,3.25,3.0,3.192,199600
2014-08-21,3.238,3.238,3.123,3.169,20600
2014-08-22,3.173,3.179,3.1,3.163,35300
2014-08-25,3.172,3.173,3.109,3.15,40000
2014-08-26,3.147,3.147,3.147,3.147,100
2014-08-27,3.126,3.16,3.0,3.15,764800
2014-08-28,3.103,3.155,3.05,3.155,766100
2014-08-29,3.085,3.138,3.01,3.05,162800
2014-09-01,3.087,3.15,2.97,2.999,253300
2014-09-02,3.0,3.048,3.0,3.039,76900
2014-09-03,3.045,3.12,3.0,3.111,325100
2014-09-04,3.062,3.115,3.062,3.1,253800
2014-09-05,3.089,3.12,3.06,3.12,109500
2014-09-08,3.099,3.1,3.09,3.09,28400
2014-09-09,3.071,3.11,2.995,3.017,2589100
2014-09-10,2.991,3.043,2.991,3.037,2051500
2014-09-11,3.029,3.069,3.029,3.059,2453000
2014-09-12,3.057,3.125,3.057,3.09,2304800
2014-09-15,3.088,3.09,3.0,3.014,382300
2014-09-16,3.003,3.058,3.003,3.058,62100
2014-09-17,3.048,3.049,2.991,3.032,23800
2014-09-18,3.032,3.096,3.022,3.058,267600
2014-09-19,3.02,3.02,2.95,3.019,1304400
2014-09-22,3.0,3.0,2.952,2.99,2800
2014-09-23,3.022,3.022,3.005,3.01,7500
2014-09-24,3.019,3.019,2.963,3.0,19600
2014-09-25,3.0,3.1,2.951,2.994,309200
