TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-04-04,0.57,0.5959,0.56,0.56,37000
2013-04-05,0.5565,0.5565,0.55,0.55,952000
2013-04-08,0.5574,0.5574,0.54,0.54,203000
2013-04-09,0.5348,0.5348,0.532,0.532,21000
2013-04-10,0.54,0.5416,0.53,0.5416,407000
2013-04-11,0.535,0.535,0.515,0.515,213000
2013-04-12,0.51,0.51,0.485,0.5,34000
2013-04-15,0.4859,0.495,0.4601,0.495,351000
2013-04-16,0.5,0.5238,0.4555,0.495,302000
2013-04-17,0.51,0.51,0.4705,0.4705,64000
2013-04-18,0.4602,0.4727,0.4602,0.4727,37000
2013-04-19,0.4684,0.4684,0.45,0.45,223000
2013-04-22,0.455,0.4901,0.4175,0.4901,495000
2013-04-23,0.46,0.4911,0.46,0.4911,142000
2013-04-24,0.5001,0.5399,0.5,0.5321,253000
2013-04-25,0.535,0.56,0.52,0.52,97000
2013-04-26,0.51,0.5201,0.495,0.51,1318000
2013-04-29,0.5251,0.5251,0.52,0.52,33000
2013-04-30,0.5451,0.55,0.543,0.55,639000
2013-05-02,0.565,0.6116,0.565,0.58,289000
2013-05-03,0.5851,0.5851,0.5851,0.5851,607000
2013-05-06,0.571,0.577,0.571,0.5752,590000
2013-05-13,0.5313,0.532,0.5313,0.532,53000
2013-05-14,0.538,0.55,0.538,0.548,110000
2013-05-15,0.548,0.5883,0.543,0.548,172000
2013-05-16,0.548,0.548,0.515,0.515,12000
2013-05-17,0.51,0.533,0.505,0.533,136000
2013-05-20,0.5225,0.56,0.5204,0.5365,110000
2013-05-21,0.518,0.548,0.5179,0.547,629000
2013-05-22,0.54,0.5557,0.5317,0.5557,7000
2013-05-24,0.525,0.528,0.5201,0.5201,42000
2013-05-27,0.525,0.525,0.52,0.523,86000
2013-05-28,0.5355,0.5355,0.5355,0.5355,77000
2013-05-29,0.525,0.525,0.515,0.515,9000
2013-05-30,0.51,0.51,0.5,0.5,28000
2013-05-31,0.5,0.5,0.47,0.47,42000
2013-06-03,0.465,0.4725,0.46,0.4625,179000
