TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,37.99,38.0,37.24,37.24,16400
2014-06-10,37.29,37.37,36.97,37.06,11500
2014-06-11,37.39,37.64,37.0,37.0,12600
2014-06-16,37.4,37.4,36.19,36.2,42700
2014-06-17,37.0,37.0,36.1,36.4,14200
2014-06-18,37.37,37.37,36.33,36.52,11600
2014-06-19,36.64,37.21,36.52,37.05,16300
2014-06-20,36.94,37.2,36.94,37.09,10000
2014-06-23,36.93,36.95,36.76,36.91,6200
2014-06-24,36.63,37.69,36.53,37.58,23300
2014-06-25,37.75,38.57,37.02,37.03,16600
2014-06-26,37.08,37.76,36.9,37.71,8600
2014-06-27,37.89,38.34,37.21,37.26,7400
2014-06-30,38.24,38.25,37.34,37.48,4300
2014-07-01,37.5,37.59,37.32,37.48,8000
2014-07-02,37.78,37.8,37.5,37.7,6800
2014-07-03,37.73,37.74,37.07,37.6,12400
2014-07-04,37.67,37.94,37.1,37.11,16600
2014-07-07,37.13,37.13,35.92,36.92,22200
2014-07-08,36.77,37.65,36.73,36.85,13700
2014-07-09,37.0,37.0,36.52,36.52,4300
2014-07-10,36.52,36.97,36.5,36.79,290900
2014-07-11,36.66,36.97,36.01,36.06,23400
2014-07-14,36.08,36.1,35.62,35.7,15900
2014-07-15,35.95,36.56,35.31,35.44,16400
2014-07-16,35.29,35.9,34.7,35.45,28600
2014-07-17,35.22,35.23,33.67,34.02,78500
2014-07-18,33.7,33.98,33.54,33.95,18700
2014-07-21,33.92,33.92,33.33,33.45,136100
2014-07-22,33.5,33.91,33.2,33.64,43200
2014-07-23,33.86,34.14,33.52,33.64,12700
2014-07-24,34.0,34.14,33.33,33.67,21400
2014-07-25,33.69,33.7,33.18,33.27,5700
2014-07-28,33.22,33.84,33.0,33.2,20300
2014-07-29,33.35,33.49,33.0,33.19,281800
2014-07-30,33.11,33.11,32.01,33.0,24700
2014-07-31,33.2,33.28,32.7,32.84,21400
2014-08-01,33.02,33.3,32.45,32.93,16500
2014-08-04,32.93,33.29,32.54,32.84,19400
2014-08-05,32.76,33.0,32.72,33.0,35600
2014-08-06,32.97,33.16,32.48,32.6,30800
2014-08-07,32.24,32.89,32.05,32.5,29900
2014-08-08,32.39,32.76,32.02,32.75,24500
2014-08-11,32.81,33.77,32.81,33.63,22300
2014-08-12,33.5,33.6,33.03,33.03,28200
2014-08-13,33.29,33.49,32.61,32.99,53200
2014-08-14,32.84,33.8,32.84,33.0,41600
2014-08-15,33.01,33.01,32.05,32.05,127200
2014-08-18,32.04,32.34,31.9,32.14,55900
2014-08-19,32.18,35.9,32.12,34.21,668500
2014-08-20,35.08,38.79,34.46,37.95,1448200
2014-08-21,39.75,40.0,35.22,35.71,908200
2014-08-22,35.99,36.61,34.21,35.01,313300
2014-08-25,35.35,36.06,34.5,35.1,86300
2014-08-26,34.69,35.29,34.55,34.79,42200
2014-08-27,35.0,35.0,33.54,33.71,153200
2014-08-28,33.61,35.49,32.81,34.99,273900
2014-08-29,35.06,36.19,34.23,34.52,200100
2014-09-01,34.8,34.8,34.3,34.32,7200
2014-09-02,34.44,35.0,33.83,34.67,26900
2014-09-03,34.5,35.2,34.5,34.52,73800
2014-09-04,34.57,34.85,33.9,34.3,70200
2014-09-05,34.68,35.0,33.99,34.5,49000
2014-09-08,34.67,35.77,34.11,34.17,50200
2014-09-09,35.85,35.85,34.39,34.42,56500
2014-09-10,34.48,34.59,34.11,34.21,19400
2014-09-11,34.2,34.67,33.5,33.87,57100
2014-09-12,34.05,36.0,34.01,34.7,111600
2014-09-15,34.78,35.0,34.1,34.2,25300
2014-09-16,34.14,34.69,34.0,34.61,15300
2014-09-17,34.58,34.59,33.74,33.9,45900
2014-09-18,33.77,34.06,33.16,33.38,36400
2014-09-19,33.75,33.75,32.99,33.39,41800
2014-09-22,33.03,33.42,33.0,33.15,7400
2014-09-23,33.05,33.46,33.0,33.05,19100
2014-09-24,33.24,33.66,33.04,33.35,51000
2014-09-25,33.03,33.72,33.03,33.37,15600
2014-09-26,33.03,33.48,32.0,32.63,73000
2014-09-29,32.51,32.57,31.91,31.91,54200
2014-09-30,31.78,32.21,31.5,32.0,54600
2014-10-01,32.0,32.15,31.0,31.5,39300
2014-10-02,31.15,31.5,31.0,31.35,24800
2014-10-03,31.45,33.5,31.05,33.0,249100
2014-10-06,32.55,34.0,32.55,32.7,44700
2014-10-07,32.75,33.55,32.35,32.95,175000
2014-10-08,32.85,32.85,31.3,31.6,110800
2014-10-09,31.85,32.1,31.05,31.25,41900
2014-10-10,31.15,31.25,30.65,30.85,32400
2014-10-13,30.9,30.9,30.0,30.5,44300
