TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-07-15,579.6,579.6,579.6,579.6,5
2013-07-16,585.5,592.7,585.5,592.7,50
2013-07-17,606.2,824.4,606.2,824.4,14
2013-07-19,609.1,609.1,609.1,609.1,43
2013-07-22,611.6,622.8,611.6,622.8,3
2013-08-29,700.0,700.0,700.0,700.0,1
2013-09-02,567.5,581.3,560.2,572.5,3854
2013-09-03,573.9,582.3,562.2,565.0,5064
2013-09-04,565.0,572.6,555.0,565.0,3528
2013-09-05,566.5,581.3,564.1,580.3,15458
2013-09-06,575.8,589.0,575.8,580.0,22353
2013-09-09,580.0,599.0,580.0,582.0,10032
2013-09-10,590.4,598.3,571.1,571.7,7962
2013-09-11,578.9,580.5,571.3,572.0,7564
2013-09-12,580.0,580.0,565.3,565.6,23338
2013-09-13,568.9,570.9,542.5,543.0,16197
2013-09-16,549.7,619.3,549.7,573.0,63693
2013-09-17,573.0,573.0,565.0,567.0,2525
2013-09-18,566.1,570.1,557.0,559.0,6881
2013-09-19,566.8,588.7,566.8,587.0,13554
2013-09-20,587.4,594.0,566.0,568.8,8397
2013-09-23,558.2,572.9,558.2,560.1,3182
2013-09-24,565.1,565.5,558.0,563.0,15726
2013-09-25,565.0,565.5,555.5,558.1,3020
2013-09-26,563.5,569.5,559.0,569.5,9412
2013-09-27,570.0,570.0,556.2,568.9,4788
2013-09-30,567.0,569.5,561.0,564.0,10750
2013-10-01,563.2,571.9,563.2,568.0,1782
2013-10-02,565.8,568.0,551.4,558.1,3395
2013-10-03,558.3,568.7,545.8,551.3,19848
2013-10-04,552.8,558.0,545.9,553.3,5078
2013-10-07,552.4,552.4,544.7,548.1,3562
2013-10-08,552.0,556.8,547.7,553.0,3405
2013-10-09,555.6,564.3,551.7,564.3,5264
2013-10-10,565.0,570.1,555.0,569.7,12203
2013-10-11,575.0,575.4,556.5,567.9,12197
2013-10-14,565.0,577.3,555.5,577.2,8297
2013-10-15,577.7,599.3,577.7,599.3,13019
2013-10-16,596.0,619.3,587.9,615.0,13675
2013-10-17,615.7,624.3,595.3,606.0,6613
2013-10-18,601.1,629.2,600.0,625.0,16089
2013-10-21,621.0,621.0,598.1,601.0,26699
2013-10-22,599.3,609.5,597.7,603.0,3171
2013-10-23,599.3,602.1,594.3,595.8,3539
2013-10-24,595.0,596.1,585.0,592.6,4646
2013-10-25,592.0,597.7,586.1,592.0,6311
2013-10-28,594.8,604.3,592.1,601.7,12605
2013-10-29,600.3,609.0,595.3,600.9,9675
2013-10-30,603.7,609.8,596.0,602.8,8622
2013-10-31,597.9,602.7,585.3,585.3,2450
2013-11-01,589.2,594.0,580.0,581.6,7978
2013-11-05,580.0,585.8,577.4,582.8,2722
2013-11-06,586.3,586.3,578.0,580.0,5439
2013-11-07,582.9,594.3,578.0,585.3,4348
2013-11-08,583.4,583.4,549.7,550.0,60784
2013-11-11,551.1,555.5,544.9,546.5,13009
2013-11-12,550.2,562.3,544.2,560.1,18176
2013-11-13,558.3,564.0,550.5,550.5,8054
2013-11-14,562.6,572.0,556.0,570.2,9881
2013-11-15,570.3,570.9,551.4,560.0,10706
2013-11-18,563.8,567.9,556.0,557.9,3310
2013-11-19,561.0,565.5,556.3,560.0,3468
