TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-04-04,47.95,48.65,47.7,48.13,210880
2013-04-05,48.15,48.76,47.47,47.69,345780
2013-04-08,48.07,48.08,47.51,47.54,227840
2013-04-09,47.61,47.8,47.42,47.48,425000
2013-04-10,47.37,47.44,46.96,46.96,140100
2013-04-11,47.0,47.13,45.73,45.73,482700
2013-04-12,45.79,45.88,45.39,45.63,749350
2013-04-15,45.73,46.21,45.53,45.59,307500
2013-04-16,45.39,45.43,42.65,43.43,380600
2013-04-17,43.54,43.76,43.22,43.43,254050
2013-04-18,43.28,43.54,42.62,42.63,200200
2013-04-19,43.27,43.47,43.03,43.46,92620
2013-04-22,43.82,43.85,43.53,43.65,106750
2013-04-23,43.66,43.97,43.66,43.95,85000
2013-04-24,44.09,44.53,44.09,44.52,102610
2013-04-25,44.57,44.64,44.13,44.22,512500
2013-04-26,44.37,44.92,44.32,44.68,2676010
2013-04-29,44.69,44.76,44.44,44.61,132770
2013-04-30,44.6,49.04,44.0,44.91,3503820
2013-05-02,44.5,44.59,44.29,44.42,1180540
2013-05-03,44.36,44.8,44.26,44.55,910300
2013-05-06,45.0,46.8,45.0,46.1,1484670
2013-05-07,46.2,47.2,46.2,47.2,838770
2013-05-08,47.6,48.7,47.2,48.7,354300
2013-05-10,47.8,49.13,47.8,48.6,444110
2013-05-13,48.84,49.1,48.74,48.74,168070
2013-05-14,48.76,49.25,48.76,48.87,349280
2013-05-15,50.08,50.26,49.53,50.26,325170
2013-05-16,49.97,50.27,49.95,50.27,192490
2013-05-17,50.12,50.12,49.3,49.3,63000
2013-05-20,49.2,49.21,48.47,48.72,111000
2013-05-21,50.74,51.53,50.26,51.4,1516310
2013-05-22,51.44,54.2,51.44,53.75,364310
2013-05-23,53.6,53.94,53.55,53.85,883050
2013-05-24,53.93,53.94,53.25,53.32,192550
2013-05-27,53.44,53.44,52.97,53.29,50000
2013-05-28,53.31,53.99,53.31,53.93,72860
2013-05-29,52.9,53.88,52.9,53.68,6553290
2013-05-30,53.39,53.52,53.05,53.46,247660
2013-05-31,53.71,53.77,53.64,53.73,69260
2013-06-03,53.51,53.61,52.85,52.85,759330
2013-06-04,52.81,53.16,52.31,52.33,153520
2013-06-05,52.73,52.73,52.44,52.58,309170
2013-06-06,52.63,54.67,52.57,53.19,1084850
2013-06-07,53.09,53.73,53.0,53.56,175000
2013-06-10,53.6,53.64,53.46,53.6,325530
2013-06-11,53.04,53.61,52.49,52.59,420000
2013-06-13,51.96,52.15,51.96,52.11,365070
2013-06-14,52.0,52.03,51.14,51.14,422500
2013-06-17,51.68,54.12,51.43,52.56,285160
2013-06-18,52.81,52.86,52.7,52.79,472080
2013-06-19,52.88,53.05,51.93,51.98,272560
2013-06-20,52.1,52.13,51.06,51.31,374980
2013-06-21,50.92,51.16,49.86,50.22,347500
2013-06-24,50.33,51.76,49.98,50.71,802020
2013-06-25,51.39,52.3,51.36,51.65,1121000
2013-06-26,51.89,52.64,51.68,52.17,868430
2013-06-27,52.57,53.11,52.22,52.61,1399010
2013-06-28,52.98,54.03,52.98,52.98,1433510
2013-07-01,53.42,55.0,53.39,53.8,396710
2013-07-02,53.72,53.93,53.56,53.82,447670
2013-07-03,53.88,53.89,53.41,53.41,396160
2013-07-04,53.8,53.89,53.54,53.58,351070
2013-07-05,53.78,53.87,53.6,53.6,568920
2013-07-08,53.76,53.94,53.59,53.77,452670
2013-07-09,53.97,53.97,53.19,53.7,402510
2013-07-10,53.47,53.49,53.04,53.04,380750
2013-07-11,53.72,54.04,53.56,53.9,600180
2013-07-12,53.92,54.2,53.88,53.91,459490
2013-07-15,53.97,54.01,53.94,53.98,363210
2013-07-16,53.95,54.01,53.92,53.98,435000
2013-07-17,53.94,53.99,53.92,53.94,280000
2013-07-18,54.02,54.12,53.9,53.9,392550
2013-07-19,54.16,54.68,53.75,53.78,412840
2013-07-22,54.0,54.04,53.75,53.79,269870
2013-07-23,53.98,54.48,53.9,54.19,394110
2013-07-24,54.06,54.24,53.95,54.24,373270
2013-07-25,54.15,54.25,53.97,54.25,725210
2013-07-26,54.1,54.24,54.05,54.19,608540
2013-07-29,54.28,55.08,54.28,55.06,233050
2013-07-30,55.42,56.17,55.42,56.04,427580
2013-07-31,56.1,56.29,56.01,56.23,164170
2013-08-01,56.23,59.25,56.23,59.25,306910
2013-08-02,60.83,61.89,58.34,59.09,289350
2013-08-05,59.05,59.96,58.83,59.07,445930
2013-08-06,59.45,59.79,55.48,55.99,554900
2013-08-07,56.09,56.32,55.0,56.05,427320
2013-08-08,55.94,56.0,55.79,55.93,333110
2013-08-09,55.94,56.17,55.91,56.1,398410
2013-08-12,56.13,56.24,55.9,56.07,563340
2013-08-13,56.01,57.08,56.01,56.78,491490
2013-08-14,56.84,57.27,56.8,57.18,408270
2013-08-15,57.05,57.18,56.11,56.11,424570
2013-08-16,56.28,56.4,55.4,56.19,482340
2013-08-19,56.21,56.31,55.97,56.31,365860
2013-08-20,56.3,56.32,55.99,56.07,361810
2013-08-21,56.09,56.23,55.98,56.21,411580
2013-08-22,56.27,57.09,56.2,56.98,446310
2013-08-23,56.83,57.67,56.8,57.01,453610
2013-08-26,57.13,57.29,56.99,57.28,621940
