TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-09-02,0.3444,0.3444,0.3281,0.33,8034000
2013-09-03,0.3297,0.3349,0.3273,0.3296,3556000
2013-09-04,0.3202,0.331,0.3202,0.325,3318000
2013-09-05,0.3247,0.3251,0.3231,0.324,6001000
2013-09-06,0.324,0.324,0.32,0.3201,3689000
2013-09-09,0.3129,0.3216,0.3129,0.316,7914000
2013-09-10,0.3155,0.318,0.313,0.314,10274000
2013-09-11,0.3174,0.3267,0.3099,0.31,23220000
2013-09-12,0.2947,0.3128,0.2947,0.3058,5554000
2013-09-13,0.31,0.31,0.2999,0.3,5354000
2013-09-16,0.3046,0.3078,0.2968,0.3,7378000
2013-09-17,0.2955,0.2996,0.2822,0.2875,14268000
2013-09-18,0.2826,0.2896,0.2727,0.2789,15335000
2013-09-19,0.2799,0.284,0.2674,0.2697,28839000
2013-09-20,0.2699,0.275,0.2658,0.2735,20654000
2013-09-23,0.27,0.2799,0.268,0.2689,4491000
2013-09-24,0.2683,0.272,0.2683,0.2701,8086000
2013-09-25,0.2722,0.2725,0.2689,0.272,4488000
2013-09-26,0.2722,0.2745,0.2678,0.2706,5100000
2013-09-27,0.2706,0.2738,0.267,0.2694,26216000
2013-09-30,0.2693,0.2693,0.2502,0.26,7016000
2013-10-01,0.2565,0.261,0.251,0.259,4009000
2013-10-02,0.2592,0.2641,0.258,0.258,3349000
2013-10-03,0.2629,0.2629,0.255,0.2551,3114000
2013-10-04,0.2528,0.2616,0.2402,0.245,13620000
2013-10-07,0.2405,0.245,0.2345,0.236,8178000
2013-10-08,0.27,0.27,0.2275,0.23,18793000
2013-10-09,0.2262,0.2311,0.2203,0.2235,19661000
2013-10-10,0.2352,0.2352,0.2211,0.2279,17194000
2013-10-11,0.2298,0.239,0.2271,0.2345,29563000
2013-10-14,0.2367,0.2469,0.2338,0.2437,32332000
2013-10-15,0.2449,0.2484,0.2381,0.24,5414000
2013-10-16,0.239,0.2429,0.2352,0.241,3698000
2013-10-17,0.24,0.2449,0.24,0.2439,2781000
2013-10-18,0.2431,0.247,0.2392,0.2459,4597000
2013-10-21,0.247,0.2498,0.2411,0.2465,23299000
2013-10-22,0.2477,0.2544,0.2439,0.2439,13360000
2013-10-23,0.2434,0.2466,0.2395,0.2435,4925000
2013-10-24,0.2411,0.2434,0.237,0.2395,3557000
2013-10-25,0.2371,0.2435,0.23,0.2402,39331000
2013-10-28,0.2419,0.2439,0.2328,0.2329,3400000
2013-10-29,0.2342,0.235,0.2248,0.231,8242000
2013-10-30,0.2297,0.2374,0.2285,0.2374,7633000
2013-10-31,0.2297,0.2339,0.2297,0.2339,23888000
2013-11-01,0.233,0.2367,0.233,0.2367,5001000
2013-11-05,0.2367,0.243,0.2334,0.2397,12371000
2013-11-06,0.2387,0.2421,0.236,0.2404,19343000
2013-11-07,0.24,0.2415,0.239,0.2402,2983000
2013-11-08,0.239,0.2396,0.2328,0.235,3506000
2013-11-11,0.2355,0.2369,0.231,0.231,972000
2013-11-12,0.2327,0.2338,0.2226,0.2245,6062000
2013-11-13,0.2233,0.2235,0.2019,0.2021,11583000
2013-11-14,0.2083,0.2083,0.2,0.206,7531000
2013-11-15,0.21,0.2129,0.203,0.2104,9265000
2013-11-18,0.2128,0.2139,0.206,0.2079,11497000
2013-11-19,0.2056,0.207,0.2025,0.205,4946000
2013-11-20,0.2066,0.2066,0.2022,0.2056,2517000
2013-11-21,0.2058,0.2058,0.2013,0.203,36379000
2013-11-22,0.2059,0.2114,0.203,0.2061,21890000
2013-11-25,0.2095,0.2095,0.205,0.2065,15583000
2013-11-26,0.2077,0.2124,0.2045,0.2098,6317000
2013-11-27,0.2007,0.214,0.2007,0.21,21739000
2013-11-28,0.212,0.213,0.204,0.2129,21562000
2013-11-29,0.214,0.214,0.2049,0.2116,16640000
2013-12-02,0.1803,0.2126,0.1803,0.2105,15622000
2013-12-03,0.2099,0.21,0.203,0.2064,3753000
2013-12-04,0.2104,0.213,0.2014,0.2122,6119000
2013-12-05,0.2111,0.2206,0.2092,0.2141,26385000
