TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-09-02,0.118,0.11888,0.11513,0.11774,6830000
2013-09-03,0.1165,0.1165,0.11518,0.11525,3370000
2013-09-04,0.11476,0.1159,0.11402,0.11402,1380000
2013-09-05,0.1145,0.1155,0.11439,0.1155,12040000
2013-09-06,0.1154,0.11548,0.11416,0.115,1500000
2013-09-09,0.11595,0.11596,0.115,0.115,230000
2013-09-10,0.11596,0.11597,0.115,0.115,4950000
2013-09-11,0.11594,0.11597,0.1137,0.11489,27420000
2013-09-12,0.11403,0.11483,0.11112,0.11232,6880000
2013-09-13,0.1125,0.11253,0.11113,0.11221,2560000
2013-09-16,0.1114,0.1114,0.106,0.10851,21550000
2013-09-17,0.10623,0.1087,0.103,0.105,41740000
2013-09-18,0.1059,0.10594,0.1006,0.10196,24020000
2013-09-19,0.10297,0.10406,0.09812,0.101,30660000
2013-09-20,0.09406,0.10199,0.09406,0.097,28580000
2013-09-23,0.09107,0.09791,0.09107,0.09449,19750000
2013-09-24,0.09489,0.09497,0.091,0.092,23680000
2013-09-25,0.09151,0.0998,0.08802,0.0885,180200000
2013-09-26,0.08126,0.087,0.08126,0.086,119340000
2013-09-27,0.08156,0.08689,0.08156,0.0865,98370000
2013-09-30,0.0855,0.0877,0.08301,0.08404,12530000
2013-10-01,0.08352,0.08449,0.08112,0.08445,19050000
2013-10-02,0.0845,0.08799,0.0836,0.08501,3180000
2013-10-03,0.08492,0.08598,0.0849,0.085,1420000
2013-10-04,0.0845,0.08496,0.08249,0.08479,6620000
2013-10-07,0.08339,0.0846,0.08298,0.083,5190000
2013-10-08,0.08206,0.08316,0.0793,0.07957,62010000
2013-10-09,0.07879,0.08463,0.07402,0.0744,52840000
2013-10-10,0.07539,0.07597,0.07272,0.0749,42100000
2013-10-11,0.07441,0.07789,0.0742,0.07525,41400000
2013-10-14,0.07501,0.07693,0.07471,0.0758,25360000
2013-10-15,0.07597,0.07678,0.075,0.07548,15340000
2013-10-16,0.07475,0.07549,0.07451,0.07499,8590000
2013-10-17,0.07545,0.078,0.075,0.0769,15380000
2013-10-18,0.0779,0.0793,0.0742,0.07563,48490000
2013-10-21,0.07662,0.0777,0.0754,0.076,33560000
2013-10-22,0.07637,0.07852,0.07571,0.07791,75260000
2013-10-23,0.077,0.07887,0.07697,0.07697,6850000
2013-10-24,0.07771,0.07801,0.074,0.07423,41410000
2013-10-25,0.07495,0.0775,0.074,0.07476,40380000
2013-10-28,0.07482,0.07482,0.06999,0.0702,51650000
2013-10-29,0.07088,0.07088,0.0686,0.0705,33360000
2013-10-30,0.07,0.07228,0.07,0.07125,11290000
2013-10-31,0.07004,0.0725,0.0696,0.07,28490000
2013-11-01,0.07094,0.07094,0.06851,0.06981,17090000
2013-11-05,0.06973,0.07032,0.06905,0.0695,4730000
2013-11-06,0.0699,0.07026,0.06911,0.06911,5420000
2013-11-07,0.06968,0.06971,0.0692,0.0695,4300000
2013-11-08,0.069,0.0696,0.06871,0.0689,20800000
2013-11-11,0.06967,0.06982,0.06869,0.069,66960000
2013-11-12,0.069,0.06946,0.0685,0.06873,5700000
2013-11-13,0.06833,0.06885,0.06414,0.06547,19930000
2013-11-14,0.06455,0.06567,0.064,0.06511,13540000
2013-11-15,0.06423,0.06688,0.062,0.0628,40760000
2013-11-18,0.0637,0.065,0.06195,0.06219,65420000
2013-11-19,0.062,0.06229,0.0605,0.06089,34310000
2013-11-20,0.06162,0.06162,0.05722,0.05877,41440000
