TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,0.06909,0.075,0.06909,0.075,9240000
2014-06-10,0.07032,0.07199,0.045,0.068,24360000
2014-06-11,0.06799,0.0685,0.06799,0.068,10350000
2014-06-16,0.06105,0.07,0.06105,0.068,5720000
2014-06-17,0.06405,0.06944,0.06402,0.0685,2110000
2014-06-18,0.0686,0.0686,0.0686,0.0686,530000
2014-06-19,0.0687,0.0687,0.0687,0.0687,160000
2014-06-20,0.06881,0.06881,0.0688,0.0688,370000
2014-06-23,0.0691,0.07097,0.069,0.07097,460000
2014-06-24,0.0689,0.07497,0.0689,0.074,10150000
2014-06-25,0.074,0.07479,0.07305,0.07479,440000
2014-06-26,0.074,0.07604,0.074,0.0755,4310000
2014-06-27,0.07615,0.07615,0.076,0.076,4220000
2014-06-30,0.07687,0.0777,0.07687,0.077,650000
2014-07-01,0.07769,0.078,0.07769,0.07777,1880000
2014-07-03,0.0789,0.085,0.0789,0.08499,3210000
2014-07-04,0.08401,0.08401,0.08152,0.08152,110000
2014-07-07,0.07,0.087,0.06552,0.087,240000
2014-07-08,0.08489,0.08699,0.08489,0.08699,230000
2014-07-09,0.08501,0.086,0.08,0.082,51500000
2014-07-10,0.08401,0.08401,0.08401,0.08401,20000
2014-07-11,0.08508,0.08508,0.08508,0.08508,100000
2014-07-14,0.0855,0.086,0.0855,0.086,1810000
2014-07-15,0.07607,0.08601,0.07602,0.08601,130000
2014-07-16,0.08698,0.0883,0.0865,0.0883,2240000
2014-07-17,0.086,0.08799,0.086,0.08799,800000
2014-07-18,0.08691,0.08888,0.0765,0.0875,23260000
2014-07-21,0.0885,0.0885,0.0885,0.0885,100000
2014-07-22,0.0885,0.09449,0.0885,0.094,2790000
2014-07-23,0.0885,0.09004,0.08501,0.09004,200000
2014-07-24,0.09199,0.09199,0.09199,0.09199,330000
2014-07-25,0.08757,0.09199,0.08757,0.0889,3560000
2014-07-28,0.09001,0.09001,0.08856,0.08856,3130000
2014-07-29,0.0896,0.0896,0.0895,0.0895,1120000
2014-07-30,0.091,0.09198,0.091,0.09198,200000
2014-07-31,0.08008,0.09196,0.07431,0.089,2210000
2014-08-01,0.08001,0.0885,0.08001,0.0885,320000
2014-08-06,0.0885,0.09156,0.0885,0.09156,390000
2014-08-08,0.08561,0.088,0.079,0.08777,6390000
2014-08-11,0.08701,0.08701,0.08701,0.08701,20000
2014-08-12,0.08241,0.08998,0.08241,0.08998,160000
2014-08-14,0.08501,0.09,0.085,0.09,140000
2014-08-15,0.08111,0.08498,0.08002,0.08113,8510000
2014-08-18,0.0867,0.0867,0.08009,0.08599,3050000
2014-08-19,0.086,0.09059,0.086,0.09059,3110000
2014-08-20,0.09196,0.092,0.09196,0.092,50000
2014-08-21,0.09,0.09,0.09,0.09,10000
2014-08-22,0.088,0.088,0.088,0.088,20000
2014-08-25,0.08804,0.08804,0.08802,0.08802,100000
2014-08-26,0.08976,0.08976,0.0888,0.0888,20000
2014-08-27,0.08997,0.09,0.08803,0.08803,220000
2014-08-29,0.08799,0.088,0.08799,0.088,460000
2014-09-01,0.08752,0.08752,0.0875,0.08751,110000
2014-09-02,0.08851,0.08851,0.08851,0.08851,60000
2014-09-03,0.08848,0.08851,0.08848,0.08851,120000
2014-09-04,0.08901,0.08901,0.08901,0.08901,10000
2014-09-05,0.087,0.08801,0.087,0.088,2420000
2014-09-08,0.08602,0.08851,0.08513,0.0885,470000
2014-09-09,0.086,0.08851,0.086,0.0885,90000
2014-09-10,0.08899,0.09365,0.08899,0.08901,1460000
2014-09-11,0.08996,0.09001,0.08996,0.09,50000
2014-09-12,0.08999,0.09001,0.08999,0.09,2630000
2014-09-16,0.088,0.09087,0.0765,0.08801,280000
2014-09-17,0.08801,0.08801,0.08801,0.08801,20000
2014-09-18,0.088,0.088,0.088,0.088,10000
2014-09-19,0.08801,0.08801,0.088,0.088,350000
2014-09-22,0.08901,0.08901,0.08901,0.08901,20000
2014-09-23,0.08886,0.093,0.08886,0.093,330000
2014-09-25,0.087,0.0891,0.08101,0.089,1500000
2014-09-26,0.09,0.09,0.08861,0.08861,20000
2014-09-29,0.08901,0.08901,0.08901,0.08901,10000
2014-10-03,0.0881,0.0881,0.0881,0.0881,10000
2014-10-06,0.09,0.09,0.0899,0.09,60000
2014-10-08,0.0927,0.099,0.0927,0.094,300000
2014-10-09,0.0966,0.0966,0.0966,0.0966,10000
2014-10-10,0.09,0.09,0.0899,0.0899,420000
2014-10-13,0.0895,0.0896,0.0895,0.0895,360000
2014-10-16,0.086,0.089,0.0821,0.089,280000
2014-10-22,0.089,0.089,0.089,0.089,710000
2014-10-31,0.09,0.09,0.09,0.09,4220000
2014-11-03,0.0881,0.0881,0.0881,0.0881,10000
2014-11-06,0.0871,0.0871,0.0871,0.0871,30000
2014-11-07,0.0889,0.094,0.0889,0.094,6230000
2014-11-10,0.0891,0.0928,0.089,0.0928,120000
2014-11-13,0.0891,0.095,0.089,0.095,40000
2014-11-14,0.0949,0.0949,0.0949,0.0949,10000
2014-11-17,0.0901,0.0901,0.0901,0.0901,10000
2014-11-19,0.089,0.09,0.088,0.09,280000
2014-11-21,0.09,0.09,0.09,0.09,20000
2014-11-28,0.0901,0.0901,0.0825,0.09,1040000
2014-12-01,0.0854,0.0862,0.0854,0.0856,330000
2014-12-02,0.0859,0.09,0.0844,0.089,3960000
2014-12-03,0.0899,0.09,0.0899,0.09,170000
2014-12-08,0.0897,0.09,0.0897,0.09,1220000
2014-12-10,0.0842,0.088,0.0767,0.088,100000
2014-12-11,0.0845,0.09,0.0845,0.0899,1020000
2014-12-15,0.0871,0.0871,0.0871,0.0871,10000
2014-12-16,0.0801,0.0885,0.0801,0.088,1130000
2014-12-17,0.0806,0.0907,0.08,0.0907,11260000
2014-12-18,0.0881,0.0881,0.0881,0.0881,340000
2014-12-19,0.0821,0.088,0.0821,0.088,1230000
2014-12-22,0.107,0.107,0.0816,0.0842,1250000
2014-12-23,0.0769,0.0886,0.0769,0.0885,110000
