TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,0.05652,0.05806,0.05652,0.058,540000
2014-06-10,0.05801,0.0584,0.0565,0.057,5910000
2014-06-11,0.0565,0.05701,0.0565,0.05701,320000
2014-06-16,0.05671,0.05701,0.05651,0.05685,11670000
2014-06-17,0.05651,0.05655,0.05502,0.056,1660000
2014-06-19,0.05895,0.05925,0.058,0.058,3150000
2014-06-20,0.058,0.058,0.0566,0.05788,200000
2014-06-23,0.05702,0.05703,0.0565,0.0565,820000
2014-06-24,0.05619,0.0585,0.04903,0.0566,4220000
2014-06-25,0.0578,0.0578,0.05598,0.057,240000
2014-06-27,0.05762,0.06009,0.05752,0.0594,3320000
2014-06-30,0.05561,0.05633,0.05561,0.05633,180000
2014-07-01,0.05797,0.05797,0.05636,0.05698,2870000
2014-07-02,0.05586,0.05685,0.05554,0.05685,1630000
2014-07-03,0.05665,0.0567,0.05555,0.0567,1670000
2014-07-04,0.05749,0.06079,0.0567,0.05702,5410000
2014-07-07,0.05996,0.05996,0.05731,0.05886,240000
2014-07-08,0.05945,0.05945,0.05945,0.05945,30000
2014-07-09,0.05895,0.06104,0.05849,0.0606,14290000
2014-07-10,0.05907,0.05907,0.05717,0.05819,750000
2014-07-11,0.05849,0.059,0.0575,0.05803,5610000
2014-07-14,0.05719,0.05925,0.057,0.057,2800000
2014-07-15,0.0589,0.05927,0.0571,0.05853,133980000
2014-07-16,0.05874,0.06098,0.05874,0.05962,4020000
2014-07-17,0.05723,0.059,0.05723,0.059,3670000
2014-07-18,0.05874,0.05905,0.05646,0.05905,133450000
2014-07-21,0.05832,0.05832,0.05832,0.05832,70000
2014-07-22,0.05648,0.05774,0.05648,0.05774,20000
2014-07-23,0.05885,0.05885,0.05885,0.05885,30000
2014-07-24,0.05705,0.06027,0.05702,0.06027,340000
2014-07-25,0.05786,0.05946,0.05636,0.05946,180000
2014-07-28,0.05819,0.05898,0.0534,0.0565,2650000
2014-07-29,0.05701,0.058,0.05558,0.058,4200000
2014-07-30,0.05254,0.0589,0.05254,0.0589,980000
2014-07-31,0.05794,0.05844,0.05794,0.05844,2750000
2014-08-01,0.058,0.058,0.05665,0.057,2830000
2014-08-04,0.05714,0.05714,0.05714,0.05714,10000
2014-08-05,0.05709,0.05907,0.05445,0.05651,4080000
2014-08-06,0.0565,0.05689,0.0565,0.05657,1450000
2014-08-07,0.05693,0.05734,0.05656,0.05708,950000
2014-08-08,0.05727,0.05889,0.0563,0.05889,230000
2014-08-11,0.05683,0.06039,0.05671,0.06036,2420000
2014-08-12,0.05999,0.06089,0.05999,0.06001,6170000
2014-08-13,0.06,0.06399,0.06,0.06107,1340000
2014-08-14,0.06174,0.064,0.06139,0.062,7350000
2014-08-15,0.06117,0.06117,0.06117,0.06117,10000
2014-08-18,0.067,0.067,0.06093,0.06093,130000
2014-08-19,0.05982,0.05999,0.0596,0.05998,210000
2014-08-20,0.05999,0.05999,0.05799,0.058,2600000
2014-08-21,0.0605,0.0605,0.057,0.0585,21400000
2014-08-22,0.05481,0.0599,0.05481,0.0599,40000
2014-08-25,0.05872,0.05997,0.0584,0.05997,660000
2014-08-27,0.061,0.061,0.061,0.061,50000
2014-08-28,0.05901,0.05901,0.059,0.059,20000
2014-08-29,0.06,0.06,0.05859,0.05859,40000
2014-09-01,0.05855,0.06041,0.05855,0.05952,870000
2014-09-02,0.06051,0.062,0.057,0.062,5180000
2014-09-03,0.05987,0.06264,0.05987,0.06264,310000
2014-09-04,0.0633,0.0641,0.0607,0.06072,1160000
2014-09-05,0.06369,0.0637,0.06369,0.0637,50000
2014-09-08,0.06299,0.0637,0.05721,0.059,2890000
2014-09-09,0.0597,0.0605,0.0597,0.0605,430000
2014-09-10,0.06104,0.06367,0.059,0.06158,3650000
2014-09-11,0.06206,0.0675,0.06206,0.06275,5410000
2014-09-12,0.06302,0.06302,0.06207,0.06207,1570000
2014-09-15,0.0624,0.063,0.06101,0.06101,11940000
2014-09-16,0.06025,0.06156,0.05882,0.06154,620000
2014-09-17,0.05939,0.06056,0.05857,0.05992,1080000
2014-09-18,0.05992,0.06069,0.05943,0.06069,1470000
2014-09-19,0.06473,0.06473,0.05999,0.06047,190000
2014-09-22,0.06046,0.06094,0.05903,0.05903,460000
2014-09-23,0.06046,0.06046,0.05891,0.0595,210000
2014-09-24,0.05671,0.06097,0.05671,0.06097,130000
2014-09-25,0.06205,0.06219,0.05979,0.06219,110000
2014-09-26,0.0596,0.06007,0.05732,0.05839,1770000
2014-09-29,0.05926,0.06036,0.05719,0.05848,6150000
2014-09-30,0.06282,0.06282,0.05602,0.05801,2420000
2014-10-01,0.0623,0.0623,0.056,0.0568,2160000
2014-10-02,0.0561,0.0565,0.0554,0.0565,1720000
2014-10-03,0.0567,0.0579,0.0567,0.0579,160000
2014-10-06,0.0584,0.0586,0.0578,0.0578,80000
2014-10-08,0.0574,0.0574,0.0573,0.0573,90000
2014-10-09,0.0573,0.0573,0.0563,0.0563,40000
2014-10-10,0.0563,0.0569,0.0563,0.0569,20000
2014-10-13,0.0575,0.0586,0.0575,0.058,100000
2014-10-14,0.057,0.0576,0.0565,0.057,4080000
2014-10-15,0.0566,0.0566,0.0551,0.0564,3110000
