TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,0.0198,0.0201,0.01935,0.01958,16670000
2014-06-10,0.01935,0.01975,0.01935,0.01961,11460000
2014-06-11,0.01959,0.0202,0.01959,0.01964,57440000
2014-06-16,0.01976,0.01995,0.0195,0.01969,40840000
2014-06-17,0.01979,0.01998,0.01899,0.01932,47660000
2014-06-18,0.01929,0.01982,0.0188,0.019,59790000
2014-06-19,0.01909,0.0191,0.01886,0.01893,4000000
2014-06-20,0.01883,0.01909,0.0185,0.0186,18630000
2014-06-23,0.0186,0.01878,0.01823,0.01829,23260000
2014-06-24,0.01829,0.0186,0.01827,0.01845,21800000
2014-06-25,0.01831,0.01891,0.0182,0.0183,15550000
2014-06-26,0.01839,0.01848,0.01819,0.0182,19300000
2014-06-27,0.01816,0.01891,0.01814,0.01857,20790000
2014-06-30,0.0185,0.01879,0.0185,0.01866,13680000
2014-07-01,0.01851,0.01869,0.0182,0.01849,27110000
2014-07-02,0.0186,0.0191,0.0184,0.0189,35470000
2014-07-03,0.01893,0.02021,0.01881,0.01991,54550000
2014-07-04,0.01986,0.0228,0.01986,0.022,261080000
2014-07-07,0.023,0.023,0.0215,0.02215,55510000
2014-07-08,0.02208,0.02277,0.022,0.02221,68030000
2014-07-09,0.02201,0.02238,0.02182,0.02209,26540000
2014-07-10,0.02186,0.02229,0.0212,0.02195,29270000
2014-07-11,0.02173,0.0221,0.021,0.02187,42030000
2014-07-14,0.02152,0.022,0.02132,0.02177,28450000
2014-07-15,0.02162,0.022,0.02135,0.02187,84010000
2014-07-16,0.0219,0.02243,0.0217,0.02201,40440000
2014-07-17,0.02215,0.02243,0.02105,0.02198,39200000
2014-07-18,0.02167,0.022,0.0212,0.02199,84570000
2014-07-21,0.0221,0.0224,0.0215,0.02155,7790000
2014-07-22,0.0217,0.0219,0.0213,0.0216,32170000
2014-07-23,0.0215,0.0217,0.0212,0.02144,30890000
2014-07-24,0.02121,0.0215,0.02082,0.02122,28470000
2014-07-25,0.02113,0.02113,0.02056,0.0207,24980000
2014-07-28,0.0206,0.0207,0.02031,0.0205,38720000
2014-07-29,0.0205,0.0208,0.02024,0.02079,23690000
2014-07-30,0.02072,0.021,0.02069,0.02099,64800000
2014-07-31,0.0208,0.0219,0.0208,0.02111,55030000
2014-08-01,0.0211,0.02397,0.0211,0.0225,106130000
2014-08-04,0.0226,0.02327,0.02233,0.0229,15730000
2014-08-05,0.02286,0.02289,0.022,0.02269,7210000
2014-08-06,0.02242,0.0227,0.0222,0.02269,76920000
2014-08-07,0.0224,0.0225,0.0221,0.0225,19140000
2014-08-08,0.02249,0.02295,0.02106,0.02269,59480000
2014-08-11,0.0227,0.024,0.0227,0.02339,23760000
2014-08-12,0.02335,0.0238,0.02281,0.0231,8280000
2014-08-13,0.02317,0.0247,0.02299,0.02421,31120000
2014-08-14,0.02369,0.024,0.0234,0.0236,13550000
2014-08-15,0.02344,0.0241,0.02344,0.0241,6890000
2014-08-18,0.0239,0.024,0.0235,0.024,10280000
2014-08-19,0.02389,0.0245,0.0237,0.02408,12540000
2014-08-20,0.0241,0.02448,0.023,0.02399,8390000
2014-08-21,0.02399,0.0251,0.02399,0.025,78320000
2014-08-22,0.02481,0.0256,0.02401,0.02519,44480000
2014-08-25,0.0254,0.0265,0.0254,0.0259,44990000
2014-08-26,0.02615,0.02615,0.0256,0.02596,30430000
2014-08-27,0.0258,0.026,0.0253,0.0253,43590000
2014-08-28,0.02549,0.02549,0.02436,0.02449,38770000
2014-08-29,0.02459,0.0247,0.02388,0.0247,66310000
2014-09-01,0.02467,0.0248,0.0238,0.0244,9070000
2014-09-02,0.0244,0.0251,0.0244,0.025,17580000
2014-09-03,0.025,0.02574,0.0245,0.02518,27860000
2014-09-04,0.0249,0.0263,0.0246,0.0263,101520000
2014-09-05,0.0261,0.0276,0.02575,0.02604,108050000
2014-09-08,0.02571,0.0261,0.025,0.0257,42840000
2014-09-09,0.0258,0.0258,0.0253,0.02568,4500000
2014-09-10,0.0253,0.02546,0.025,0.02528,13300000
2014-09-11,0.025,0.02674,0.025,0.02527,14140000
2014-09-12,0.02713,0.02713,0.025,0.02597,61770000
2014-09-15,0.02597,0.0267,0.0258,0.0267,19750000
2014-09-16,0.0267,0.02687,0.02616,0.0267,100090000
2014-09-17,0.02659,0.0266,0.0253,0.02584,16330000
