TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,0.02852,0.03059,0.02851,0.02957,1010000
2014-06-10,0.03097,0.03239,0.02884,0.02948,4110000
2014-06-11,0.0295,0.03076,0.0295,0.02951,320000
2014-06-16,0.02931,0.02931,0.02855,0.02862,570000
2014-06-17,0.02901,0.02941,0.028,0.028,18890000
2014-06-18,0.0284,0.02897,0.0278,0.02798,8610000
2014-06-19,0.0284,0.0285,0.028,0.02806,18060000
2014-06-20,0.0285,0.0286,0.02816,0.02827,750000
2014-06-23,0.02933,0.02933,0.02629,0.0275,2240000
2014-06-24,0.02777,0.02828,0.02739,0.02742,380000
2014-06-25,0.0327,0.0327,0.0271,0.02725,14640000
2014-06-26,0.02702,0.02789,0.0267,0.02722,3570000
2014-06-27,0.02787,0.029,0.02706,0.02789,2140000
2014-06-30,0.02735,0.028,0.02733,0.028,3610000
2014-07-01,0.02773,0.0285,0.02712,0.02729,7390000
2014-07-02,0.02701,0.0275,0.0268,0.02749,2960000
2014-07-03,0.0275,0.028,0.0275,0.02797,5620000
2014-07-04,0.02809,0.02899,0.028,0.028,3840000
2014-07-07,0.02896,0.03157,0.02764,0.02826,13080000
2014-07-08,0.0279,0.0294,0.0278,0.02853,10270000
2014-07-09,0.02902,0.03075,0.0286,0.0289,2600000
2014-07-10,0.02899,0.03048,0.02899,0.03,17100000
2014-07-11,0.02898,0.03048,0.02862,0.02862,1030000
2014-07-14,0.02997,0.0305,0.02837,0.02983,2160000
2014-07-15,0.03078,0.0308,0.02962,0.03033,3140000
2014-07-16,0.03,0.0322,0.02977,0.03052,12530000
2014-07-17,0.03069,0.0317,0.03013,0.0306,480000
2014-07-18,0.02943,0.0309,0.02941,0.0309,4590000
2014-07-21,0.03099,0.03218,0.03004,0.03004,880000
2014-07-22,0.03189,0.03189,0.028,0.0287,14920000
2014-07-23,0.02872,0.03,0.0285,0.03,10930000
2014-07-24,0.02893,0.03069,0.02893,0.02999,340000
2014-07-25,0.03002,0.03074,0.03002,0.03074,250000
2014-07-28,0.03069,0.032,0.02851,0.02851,6450000
2014-07-29,0.02939,0.03048,0.02939,0.03046,1090000
2014-07-30,0.03031,0.0322,0.03,0.0322,18390000
