TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-08-01,1.001,1.001,1.001,1.001,1000
2013-08-19,1.0005,1.0005,1.0005,1.0005,1000
2013-08-20,1.1148,1.1148,0.7811,1.1097,192000
2013-08-21,1.4441,1.4441,1.0119,1.4441,3000
2013-08-26,1.135,1.135,1.135,1.135,1000
2013-08-28,1.15,1.15,1.15,1.15,1000
2013-08-30,1.0918,1.0918,1.0918,1.0918,1000
2013-09-02,1.0909,1.1185,1.0808,1.0808,5526000
2013-09-03,1.09,1.0994,1.0646,1.0936,10279000
2013-09-04,1.0863,1.0986,1.0825,1.0844,6430000
2013-09-05,1.093,1.0931,1.075,1.088,14547000
2013-09-06,1.089,1.09,1.064,1.0704,15407000
2013-09-09,1.083,1.0984,1.0773,1.0935,13983000
2013-09-10,1.1035,1.12,1.0851,1.1147,21052000
2013-09-11,1.1199,1.1349,1.1035,1.1203,29596000
2013-09-12,1.121,1.126,1.0835,1.084,17495000
2013-09-13,1.0806,1.093,1.08,1.0849,17868000
2013-09-16,1.0956,1.0977,1.0722,1.0967,11224000
2013-09-17,1.0953,1.0955,1.0802,1.0831,10021000
2013-09-18,1.082,1.092,1.0752,1.0849,14147000
2013-09-19,1.0951,1.0987,1.085,1.0897,14116000
2013-09-20,1.0892,1.096,1.0832,1.0918,5453000
2013-09-23,1.0883,1.0939,1.0708,1.0739,15652000
2013-09-24,1.0705,1.0759,1.068,1.0708,10988000
2013-09-25,1.0577,1.088,1.0577,1.0731,47828000
2013-09-26,1.0791,1.083,1.0705,1.077,11954000
2013-09-27,1.1069,1.1069,1.06,1.064,24730000
2013-09-30,1.0635,1.064,1.037,1.0378,13691000
2013-10-01,1.052,1.052,1.0215,1.0349,26575000
2013-10-02,1.0355,1.0408,1.0257,1.0257,10303000
2013-10-03,1.0295,1.0386,1.0224,1.025,7321000
2013-10-04,1.0171,1.0267,1.0171,1.024,7905000
2013-10-07,1.02,1.0376,1.02,1.0376,10098000
2013-10-08,1.0335,1.0456,1.02,1.0284,16168000
2013-10-09,1.0282,1.0321,1.0169,1.02,18232000
2013-10-10,1.0239,1.0256,0.9859,1.0159,35540000
2013-10-11,1.025,1.025,1.01,1.0145,4457000
2013-10-14,1.0145,1.0145,0.9975,0.9999,18660000
2013-10-15,1.005,1.0118,0.9905,0.996,17673000
2013-10-16,0.9954,0.9956,0.9661,0.9701,39152000
2013-10-17,0.971,0.9976,0.9688,0.9879,35504000
2013-10-18,0.9927,0.9927,0.968,0.9738,29779000
2013-10-21,0.9933,0.9933,0.9702,0.9789,37307000
2013-10-22,0.9695,0.9836,0.9513,0.9544,35191000
2013-10-23,0.9496,0.9501,0.9203,0.928,41515000
2013-10-24,0.9286,0.9374,0.9231,0.9243,14528000
2013-10-25,0.9094,0.9239,0.9052,0.9135,26560000
2013-10-28,0.9181,0.9208,0.916,0.919,11776000
2013-10-29,0.9246,0.9246,0.9128,0.9169,6496000
2013-10-30,0.9189,0.9335,0.916,0.926,23637000
2013-10-31,0.9241,0.9277,0.9134,0.918,13679000
2013-11-01,0.9239,0.9287,0.9208,0.9251,4928000
2013-11-05,0.9014,0.9357,0.9014,0.9294,8816000
2013-11-06,0.933,0.9346,0.917,0.9185,4818000
2013-11-07,0.917,0.9249,0.9005,0.9077,14384000
2013-11-08,0.905,0.9096,0.895,0.9005,18869000
2013-11-11,0.9048,0.9088,0.8958,0.8983,6854000
2013-11-12,0.9004,0.9004,0.864,0.8824,15838000
2013-11-13,0.8716,0.8808,0.839,0.844,16281000
