TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-08-28,1.15,1.15,1.15,1.15,22000
2013-09-02,1.1398,1.1398,1.08,1.1042,3651000
2013-09-03,1.11,1.1139,1.0813,1.0937,909000
2013-09-04,1.095,1.107,1.0802,1.0964,479000
2013-09-05,1.099,1.1291,1.0932,1.129,1681000
2013-09-06,1.1191,1.1529,1.1152,1.1152,477000
2013-09-09,1.1249,1.1599,1.1041,1.143,1372000
2013-09-10,1.1429,1.199,1.0791,1.175,2430000
2013-09-11,1.1751,1.1771,1.1502,1.1708,349000
2013-09-12,1.1601,1.1709,1.123,1.1508,1944000
2013-09-13,1.1597,1.1619,1.15,1.155,1798000
2013-09-16,1.161,1.24,1.1584,1.24,8561000
2013-09-17,1.23,1.2302,1.2005,1.2005,717000
2013-09-18,1.2,1.2098,1.1583,1.1698,1705000
2013-09-19,1.171,1.2187,1.1603,1.1929,2634000
2013-09-20,1.1999,1.2009,1.15,1.191,33906000
2013-09-23,1.1885,1.195,1.16,1.1781,609000
2013-09-24,1.1838,1.199,1.178,1.199,5152000
2013-09-25,1.192,1.208,1.184,1.2,616000
2013-09-26,1.2229,1.234,1.1789,1.1979,1445000
2013-09-27,1.1901,1.1917,1.1523,1.1809,1151000
2013-09-30,1.1856,1.189,1.1718,1.1771,16276000
2013-10-01,1.1899,1.2099,1.1645,1.1954,467000
2013-10-02,1.1991,1.23,1.1701,1.1807,2467000
2013-10-03,1.1899,1.218,1.1741,1.1791,1145000
2013-10-04,1.1807,1.1903,1.166,1.1903,1698000
2013-10-07,1.185,1.1999,1.1782,1.1782,677000
2013-10-08,1.1874,1.1985,1.1808,1.1898,891000
2013-10-09,1.1988,1.2009,1.182,1.191,768000
2013-10-10,1.1939,1.2011,1.1701,1.2001,1586000
2013-10-11,1.1812,1.2007,1.18,1.2007,1830000
2013-10-14,1.2009,1.2049,1.1852,1.1995,1381000
2013-10-15,1.2059,1.2191,1.1879,1.2015,1217000
2013-10-16,1.1914,1.2795,1.1891,1.277,3092000
2013-10-17,1.264,1.277,1.244,1.277,1434000
2013-10-18,1.244,1.2983,1.244,1.2881,4476000
2013-10-21,1.2813,1.2878,1.26,1.2604,2237000
2013-10-22,1.2706,1.2849,1.2606,1.2731,2328000
2013-10-23,1.2316,1.2732,1.2316,1.2555,1218000
2013-10-24,1.2541,1.28,1.2531,1.265,1472000
2013-10-25,1.2602,1.275,1.257,1.271,461000
2013-10-28,1.2758,1.3098,1.275,1.275,599000
2013-10-29,1.2742,1.2742,1.265,1.265,400000
2013-10-30,1.2689,1.2759,1.256,1.2689,1961000
2013-10-31,1.424,1.424,1.2503,1.2648,10572000
2013-11-01,1.2748,1.2798,1.262,1.262,203000
2013-11-05,1.2622,1.2622,1.2291,1.2291,434000
2013-11-06,1.239,1.2479,1.2034,1.2048,2207000
2013-11-07,1.2149,1.2348,1.2,1.2202,895000
2013-11-08,1.2202,1.2202,1.1861,1.202,743000
2013-11-11,1.194,1.25,1.1933,1.2402,1118000
2013-11-12,1.2495,1.2495,1.21,1.219,816000
2013-11-13,1.21,1.22,1.1046,1.1279,4110000
2013-11-14,1.1291,1.2216,1.1291,1.2,7872000
2013-11-15,1.2217,1.23,1.2,1.23,1838000
2013-11-18,1.238,1.2675,1.2203,1.242,917000
2013-11-19,1.2675,1.2698,1.22,1.2514,655000
2013-11-20,1.2104,1.2569,1.202,1.2569,584000
2013-11-21,1.2751,1.2751,1.201,1.2148,1059000
2013-11-22,1.1054,1.25,1.1054,1.2402,9988000
2013-11-25,1.2839,1.2839,1.15,1.231,1262189000
2013-11-26,1.4054,1.4054,1.1742,1.182,9382000
2013-11-27,1.1992,1.248,1.1604,1.1901,17254000
2013-11-28,1.215,1.24,1.1999,1.2,3177000
2013-11-29,1.1952,1.2182,1.1669,1.1987,4377000
2013-12-02,1.2168,1.2267,1.1652,1.1661,983000
2013-12-03,1.1916,1.1916,1.151,1.152,4388000
2013-12-04,1.1,1.187,1.1,1.1554,2585000
2013-12-05,1.1686,1.1795,1.16,1.165,4949000
2013-12-06,1.159,1.2258,1.11,1.2035,1027546000
2013-12-09,1.1897,1.27,1.18,1.2511,24821000
2013-12-10,1.2022,1.2695,1.162,1.25,2153809000
2013-12-11,1.25,1.2697,1.2355,1.26,8768000
2013-12-12,1.4553,1.4553,1.2169,1.27,10796000
2013-12-13,1.2649,1.275,1.2513,1.27,2499000
2013-12-16,1.27,1.29,1.24,1.28,7543000
2013-12-17,1.2948,1.3,1.2801,1.2903,6676000
2013-12-18,1.3385,1.3485,1.279,1.335,16404000
2013-12-19,1.3497,1.3849,1.304,1.365,4952000
2013-12-20,1.3331,1.376,1.333,1.3533,5624000
2013-12-23,1.3946,1.3946,1.337,1.3676,4087000
2013-12-24,1.3679,1.37,1.3371,1.3699,2184000
2013-12-25,1.36,1.39,1.329,1.35,3251000
2013-12-26,1.3356,1.395,1.3356,1.3938,20992000
2013-12-27,1.38,1.4296,1.3521,1.425,10656000
2013-12-30,1.4248,1.48,1.3608,1.3893,80169000
2014-01-06,1.3521,1.4196,1.313,1.393,10273000
2014-01-08,1.4088,1.4216,1.3521,1.3999,4362000
2014-01-09,1.42,1.46,1.3704,1.394,2921000
2014-01-10,1.394,1.455,1.3765,1.38,2779641000
2014-01-13,1.3557,1.372,1.342,1.3539,2783000
2014-01-14,1.3423,1.3505,1.2931,1.298,3548000
2014-01-15,1.312,1.3196,1.2968,1.3022,2320000
2014-01-16,1.318,1.321,1.0166,1.2497,12754000
2014-01-17,1.2351,1.28,1.2062,1.28,9551000
2014-01-20,1.281,1.301,1.2803,1.29,320000
2014-01-21,1.3,1.328,1.2902,1.32,7333000
2014-01-22,1.3089,1.324,1.303,1.322,2614000
2014-01-23,1.3246,1.338,1.3193,1.33,15503000
2014-01-24,1.319,1.3301,1.2942,1.3,11651000
2014-01-27,1.3047,1.3247,1.3047,1.3228,436000
2014-01-28,1.312,1.33,1.3022,1.32,1294000
2014-01-29,1.3071,1.3845,1.3051,1.3051,3288000
2014-01-30,1.3228,1.3515,1.3112,1.3222,999000
2014-01-31,1.317,1.367,1.29,1.313,2952000
2014-02-03,1.3183,1.329,1.3002,1.305,1146000
2014-02-04,1.3041,1.3051,1.2785,1.3051,400000
2014-02-05,1.285,1.3289,1.2809,1.3289,813000
2014-02-06,1.3138,1.3192,1.298,1.3189,591000
2014-02-07,1.3226,1.3229,1.3,1.3177,1801000
2014-02-10,1.3071,1.3169,1.3014,1.3155,1069000
2014-02-11,1.3041,1.318,1.302,1.318,176000
2014-02-12,1.3198,1.346,1.31,1.345,3679000
2014-02-13,1.326,1.3471,1.324,1.324,1335000
2014-02-14,1.3338,1.35,1.3262,1.34,2512000
2014-02-17,1.3509,1.3598,1.328,1.33,1340000
2014-02-18,1.335,1.351,1.3259,1.333,2033000
2014-02-19,1.3436,1.3709,1.33,1.33,455000
2014-02-20,1.3489,1.3489,1.316,1.32,1771000
2014-02-21,1.3295,1.3295,1.32,1.3259,115000
2014-02-24,1.3277,1.3285,1.3183,1.3279,8000
2014-02-25,1.3298,1.3378,1.321,1.33,4574000
2014-02-26,1.335,1.3385,1.33,1.3301,879000
2014-02-27,1.3216,1.3395,1.32,1.3253,658000
2014-02-28,1.325,1.3341,1.324,1.33,1817000
2014-03-03,1.3434,1.3434,0.951,1.08,5795000
2014-03-04,1.09,1.1399,1.0302,1.07,5557000
2014-03-05,1.0785,1.085,1.0329,1.075,7346000
2014-03-06,1.0996,1.0996,0.9911,1.03,4551000
2014-03-07,1.0496,1.0501,1.0213,1.0395,954000
2014-03-11,1.0499,1.0501,0.9911,1.008,2720000
2014-03-12,0.9911,1.03,0.9721,1.0098,2852000
2014-03-13,1.0001,1.0289,0.972,0.9821,675000
2014-03-14,0.9102,0.989,0.81,0.95,2165000
2014-03-17,0.99,1.0295,0.9501,0.9715,612000
2014-03-18,0.9962,1.0181,0.9819,1.0003,836000
2014-03-19,0.9878,1.0339,0.9831,0.9949,1280000
2014-03-20,0.9927,0.9983,0.9762,0.9862,1220000
2014-03-21,0.9726,0.992,0.931,0.9649,548000
2014-03-24,0.9551,1.0,0.93,0.9988,1733000
2014-03-25,1.003,1.003,0.992,0.9921,338000
2014-03-26,1.0,1.0055,0.99,1.0004,945000
2014-03-27,0.9818,1.009,0.9818,1.0009,291000
2014-03-28,1.003,1.063,1.003,1.0241,857000
2014-03-31,1.0456,1.06,1.0293,1.0314,125000
2014-04-01,1.0295,1.0536,1.029,1.0321,2326000
2014-04-02,1.0331,1.05,1.027,1.0479,1236000
2014-04-03,1.05,1.0728,1.0498,1.0613,3863000
2014-04-04,1.054,1.0898,1.054,1.0785,2141000
2014-04-07,1.061,1.09,1.0242,1.0625,3638000
2014-04-08,1.0511,1.0684,1.05,1.052,92000
2014-04-09,1.0487,1.08,1.0487,1.0799,1206000
2014-04-10,1.071,1.1999,1.0645,1.1999,19769000
2014-04-11,1.175,1.1778,1.14,1.153,4593000
2014-04-14,1.1599,1.1599,1.1348,1.1449,511000
2014-04-15,1.1514,1.1539,1.12,1.12,347000
2014-04-16,1.1201,1.1283,1.1,1.1208,146000
2014-04-17,1.1364,1.2,1.1364,1.1791,2525000
2014-04-18,1.1949,1.195,1.1302,1.1689,70000
2014-04-21,1.1798,1.18,1.151,1.151,1300000
2014-04-22,1.1623,1.1623,1.1424,1.1424,27000
2014-04-23,1.1315,1.1405,1.1241,1.1325,32000
2014-04-24,1.1409,1.1409,1.1,1.107,310000
2014-04-25,1.1107,1.1164,1.09,1.1111,458000
2014-04-28,1.0959,1.1085,1.0959,1.1083,246000
2014-04-29,1.1289,1.15,1.1,1.15,1078000
2014-04-30,1.154,1.154,1.1299,1.13,302000
2014-05-05,1.13,1.158,1.1299,1.1503,447000
2014-05-06,1.1468,1.1499,1.1401,1.1401,171000
2014-05-07,1.159,1.1863,1.1555,1.165,95000
2014-05-08,1.1556,1.1698,1.1003,1.1698,404000
2014-05-12,1.1406,1.1642,1.1303,1.15,327000
2014-05-13,1.1589,1.299,1.1457,1.255,2808000
2014-05-14,1.2648,1.2648,1.2101,1.2282,662000
2014-05-15,1.2315,1.2315,1.1913,1.1999,130000
2014-05-16,1.2148,1.2148,1.16,1.175,1443000
2014-05-19,1.189,1.1996,1.1772,1.1996,233000
2014-05-20,1.1988,1.2248,1.1988,1.2165,405000
2014-05-21,1.216,1.24,1.2111,1.24,129000
2014-05-22,1.2167,1.2498,1.2041,1.2251,274000
2014-05-23,1.2208,1.2208,1.164,1.1878,2285000
2014-05-26,1.1907,1.4,1.1006,1.19,4793000
2014-05-27,1.27,1.27,1.18,1.18,348000
2014-05-28,1.1898,1.19,1.1809,1.19,67000
2014-05-29,1.206,1.2849,1.2004,1.2797,1840000
2014-05-30,1.2858,1.3,1.23,1.235,1273000
2014-06-02,1.2391,1.2679,1.2067,1.2499,341000
2014-06-03,1.2052,1.3044,1.1902,1.2499,1274000
2014-06-04,1.2498,1.2498,1.2,1.2155,1672000
2014-06-05,1.2402,1.2402,1.2007,1.203,286000
2014-06-06,1.2085,1.2274,1.1947,1.2258,404000
2014-06-09,1.2046,1.2196,1.195,1.2057,2004000
2014-06-10,1.1953,1.225,1.1903,1.195,657000
2014-06-11,1.1855,1.2001,1.185,1.2,492000
2014-06-16,1.209,1.264,1.1805,1.25,4281000
2014-06-17,1.266,1.2697,1.2328,1.2328,225000
2014-06-18,1.2347,1.2454,1.2321,1.2413,94000
2014-06-19,1.2436,1.2492,1.2056,1.2298,826000
2014-06-20,1.2202,1.2381,1.2014,1.204,1042000
2014-06-23,1.2104,1.2116,1.2,1.2,384000
2014-06-24,1.2108,1.23,1.2108,1.23,771000
2014-06-25,1.2484,1.28,1.219,1.254,1830000
2014-06-26,1.2599,1.26,1.2372,1.2548,605000
2014-06-27,1.2466,1.2567,1.23,1.2304,2320000
2014-06-30,1.23,1.275,1.1902,1.2521,3857000
2014-07-01,1.2497,1.265,1.2497,1.2601,680000
2014-07-02,1.2536,1.2601,1.2501,1.2502,452000
2014-07-03,1.2634,1.2634,1.2463,1.2535,66000
2014-07-04,1.2555,1.2615,1.25,1.256,512000
2014-07-07,1.2577,1.2577,1.2252,1.2522,52000
2014-07-08,1.2402,1.2526,1.2025,1.2025,2031000
2014-07-09,1.2022,1.2224,1.2,1.2198,859000
2014-07-10,1.177,1.2,1.162,1.175,1313000
2014-07-11,1.1986,1.2033,1.1816,1.1889,387000
2014-07-14,1.2001,1.2001,1.1601,1.1771,362000
2014-07-15,1.1747,1.1778,1.155,1.155,425000
2014-07-16,1.1715,1.1715,1.0743,1.0806,6299000
2014-07-17,1.0758,1.0872,1.02,1.035,2964000
2014-07-18,1.01,1.0439,1.0057,1.0311,979000
2014-07-21,1.0479,1.09,1.0412,1.051,1215000
2014-07-22,1.0527,1.082,1.0527,1.0618,717000
2014-07-23,1.0139,1.0723,1.0126,1.06,845000
2014-07-24,1.06,1.0734,1.0332,1.0332,965000
2014-07-25,1.0397,1.0397,1.0233,1.0233,198000
2014-07-28,1.0726,1.0726,0.9996,1.0045,2334000
2014-07-29,1.0047,1.065,1.0007,1.0084,535000
2014-07-30,1.0307,1.0402,1.0137,1.0201,381000
2014-07-31,1.0495,1.0495,1.02,1.02,668000
2014-08-01,1.015,1.031,1.0101,1.0249,1107000
2014-08-04,1.0331,1.0497,1.013,1.0272,1065000
2014-08-05,1.0429,1.0429,1.013,1.0249,64000
2014-08-06,1.0412,1.07,1.0101,1.0101,582000
2014-08-07,1.0185,1.02,1.0125,1.0199,384000
2014-08-08,1.0213,1.022,1.0125,1.0125,40000
2014-08-11,1.035,1.035,1.02,1.0248,450000
2014-08-12,1.0298,1.0301,1.0166,1.02,577000
2014-08-13,1.0622,1.0684,1.015,1.024,9761000
2014-08-14,1.0155,1.035,1.0135,1.033,283000
2014-08-15,1.0201,1.0328,1.0112,1.0328,945000
2014-08-18,1.0247,1.029,1.0102,1.0111,2932000
2014-08-19,1.0175,1.02,1.0125,1.0154,396000
2014-08-20,0.9402,1.02,0.9402,1.0199,666000
2014-08-21,1.02,1.02,1.0009,1.0131,762000
2014-08-22,1.005,1.0488,1.003,1.027,1395000
2014-08-25,1.05,1.05,1.0028,1.0121,2520000
2014-08-26,1.0179,1.0197,0.9896,1.0001,652000
2014-08-27,1.0099,1.0281,1.0099,1.024,5937000
2014-08-28,1.0296,1.037,1.01,1.019,4292000
2014-08-29,1.021,1.021,1.011,1.011,128000
2014-09-01,1.0015,1.02,1.0015,1.0103,266000
2014-09-02,1.0061,1.0251,1.005,1.0194,5609000
2014-09-03,1.025,1.0286,1.011,1.026,6856000
2014-09-04,1.024,1.024,1.0163,1.0201,38000
2014-09-05,1.0175,1.026,1.01,1.0129,704000
2014-09-08,1.0673,1.0673,1.0055,1.0085,153000
2014-09-09,0.972,1.0197,0.972,1.0108,72000
2014-09-10,1.01,1.0545,0.9999,1.0101,2177000
2014-09-11,1.0344,1.038,1.0005,1.004,1387000
2014-09-12,1.0018,1.0101,0.9902,1.0004,286000
2014-09-15,1.0097,1.0103,0.9849,0.9849,2926000
2014-09-16,0.9933,1.0337,0.9932,1.0097,2527000
2014-09-17,1.0289,1.0292,0.9987,1.0008,3557000
2014-09-18,1.0026,1.0257,1.0025,1.0026,2880000
2014-09-19,1.0082,1.0083,1.0,1.0082,330000
2014-09-22,1.0198,1.02,1.001,1.0025,118000
2014-09-23,1.0172,1.0172,1.0005,1.0009,118000
2014-09-24,1.0127,1.0127,0.99,1.0,2981000
2014-09-25,1.0169,1.028,0.9999,0.9999,2135000
2014-09-26,1.0,1.0072,1.0,1.0,1085000
2014-09-29,1.0006,1.015,1.0,1.0045,7212000
2014-09-30,1.0043,1.014,0.9749,0.975,5849000
2014-10-01,0.965,0.99,0.95,0.95,1887000
2014-10-02,0.98,0.98,0.935,0.945,3039000
2014-10-03,0.965,0.965,0.92,0.93,340000
2014-10-06,0.945,0.945,0.925,0.93,305000
2014-10-07,0.93,0.93,0.92,0.93,1013000
2014-10-08,0.93,0.94,0.92,0.93,702000
2014-10-09,0.94,0.94,0.92,0.925,5900000
2014-10-10,0.94,0.94,0.92,0.925,19692000
2014-10-13,0.93,0.935,0.9,0.905,14420000
2014-10-14,0.91,0.91,0.84,0.905,6779000
2014-10-15,0.885,0.91,0.885,0.9,1797000
2014-10-16,0.89,0.905,0.885,0.905,488000
2014-10-17,0.905,0.935,0.9,0.93,646000
2014-10-20,0.93,0.935,0.93,0.935,639000
2014-10-21,0.93,0.955,0.93,0.95,711000
2014-10-22,0.955,0.955,0.94,0.95,108000
2014-10-23,0.95,0.96,0.94,0.955,1833000
2014-10-24,0.94,0.96,0.935,0.955,3535000
2014-10-27,0.96,0.985,0.96,0.985,473000
2014-10-28,0.985,1.01,0.98,1.0,1551000
2014-10-29,1.0,1.005,0.99,1.005,3618000
2014-10-30,1.0,1.0,0.975,1.0,737000
2014-10-31,1.0,1.005,1.0,1.0,214000
2014-11-03,1.0,1.01,1.0,1.005,17000
2014-11-05,0.995,1.01,0.99,1.005,5619000
2014-11-06,1.015,1.015,1.0,1.005,527000
2014-11-07,1.015,1.015,0.98,0.995,4341000
2014-11-10,1.01,1.01,0.995,0.995,283000
2014-11-11,1.005,1.005,0.995,1.0,901000
2014-11-12,1.005,1.005,1.0,1.0,1810000
2014-11-13,1.01,1.015,0.995,1.0,629000
2014-11-14,0.995,1.015,0.995,0.995,1563000
2014-11-17,1.0,1.015,0.995,0.995,10806000
2014-11-18,1.0,1.015,0.965,0.98,6705000
2014-11-19,0.99,0.995,0.98,0.98,2029000
2014-11-20,0.975,0.99,0.965,0.985,1053000
2014-11-21,0.98,0.99,0.955,0.975,1241000
2014-11-24,0.97,0.98,0.95,0.98,829000
2014-11-25,0.97,0.985,0.955,0.975,138000
2014-11-26,0.98,1.01,0.975,1.0,522000
2014-11-27,1.005,1.055,0.97,1.025,5163000
2014-11-28,1.005,1.01,0.985,0.985,6450000
2014-12-01,0.985,1.0,0.96,0.985,2180000
2014-12-02,0.995,1.005,0.985,1.0,1002000
2014-12-03,1.0,1.02,1.0,1.02,227000
2014-12-04,1.01,1.06,1.01,1.05,1154000
2014-12-05,1.04,1.065,1.04,1.065,1212000
2014-12-08,1.05,1.08,1.05,1.08,1480000
2014-12-09,1.085,1.12,1.085,1.1,2107000
2014-12-10,1.13,1.165,1.12,1.13,5129000
2014-12-11,1.14,1.14,1.05,1.12,27763000
2014-12-12,1.11,1.16,1.11,1.155,38776000
2014-12-15,1.145,1.25,1.13,1.225,8339000
