TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-07-08,96.3,96.7,96.3,96.7,3000
2013-07-11,95.1,95.1,95.1,95.1,1236
2013-07-16,96.3,96.5,96.3,96.5,900
2013-07-17,96.6,97.5,94.0,97.5,321
2013-07-19,97.8,97.8,97.6,97.6,5136
2013-07-23,120.0,122.7,91.0,91.0,296
2013-08-05,98.0,98.0,98.0,98.0,777
2013-08-07,94.0,94.5,94.0,94.5,3777
2013-08-09,95.1,97.2,95.1,97.2,810
2013-08-12,101.7,101.7,100.3,100.3,4600
2013-08-13,105.0,105.0,105.0,105.0,3001
2013-08-14,103.1,103.1,95.0,95.0,51
2013-08-16,102.9,103.9,101.1,101.1,302
2013-08-19,102.9,128.6,99.3,101.8,9400
2013-08-20,98.0,98.5,98.0,98.5,270
2013-08-21,100.7,100.7,97.1,97.7,1749
2013-08-22,97.7,101.7,97.0,101.7,1050
2013-08-23,100.3,102.8,100.3,100.3,135
2013-08-26,100.3,106.8,100.1,105.0,593
2013-08-27,102.1,102.2,100.4,101.7,10261
2013-08-28,100.3,103.7,95.2,100.9,2888
2013-08-29,100.0,103.6,99.2,99.2,1223
2013-08-30,97.7,106.0,92.5,96.1,44571
2013-09-02,97.7,98.8,96.6,97.5,204064
2013-09-03,97.6,99.3,96.5,98.4,408841
2013-09-04,98.1,98.5,97.0,97.6,235615
2013-09-05,98.1,99.2,96.4,99.0,841675
2013-09-06,100.2,102.1,99.5,100.0,1634383
2013-09-09,105.0,107.5,101.8,106.0,3510584
2013-09-10,108.9,113.2,108.4,113.1,2700378
2013-09-11,113.4,113.8,110.6,111.5,1391403
2013-09-12,114.5,117.0,113.4,114.8,2220416
2013-09-13,111.9,113.9,108.4,109.9,1967331
2013-09-16,111.4,114.0,111.3,112.4,1659385
2013-09-17,111.0,111.2,110.0,110.7,726953
2013-09-18,111.2,113.4,110.2,110.9,1110529
2013-09-19,114.5,116.0,112.8,113.5,1847473
2013-09-20,111.1,112.0,110.3,110.9,1382887
2013-09-23,110.2,112.3,106.0,106.7,1445500
2013-09-24,105.1,107.3,104.3,105.5,988687
2013-09-25,106.0,107.7,105.0,107.1,812175
2013-09-26,107.1,109.3,105.8,107.0,1219514
2013-09-27,106.5,107.6,104.2,105.0,568657
2013-09-30,103.3,105.6,100.3,102.8,1706630
2013-10-01,103.8,104.4,102.2,102.9,691192
2013-10-02,103.0,103.0,100.3,100.9,608286
2013-10-03,102.0,102.9,100.5,100.9,758418
2013-10-04,101.0,103.4,100.2,103.3,733226
2013-10-07,102.3,102.8,101.6,102.7,534481
2013-10-08,103.5,104.4,103.1,104.0,1272632
2013-10-09,103.0,103.8,102.1,102.4,847544
2013-10-10,102.8,104.8,102.6,104.3,896951
2013-10-11,105.0,105.1,103.6,103.9,447620
2013-10-14,104.5,104.9,103.0,104.7,402604
2013-10-15,105.5,107.6,104.9,107.4,1300238
2013-10-16,106.9,107.9,105.3,107.5,657388
2013-10-17,107.9,107.9,104.3,105.3,1147249
2013-10-18,106.5,107.8,106.0,106.3,512908
2013-10-21,106.5,106.8,105.1,105.7,286297
2013-10-22,105.6,105.7,102.9,104.3,1100988
2013-10-23,103.4,103.9,102.0,103.4,686013
2013-10-24,104.0,105.0,103.0,103.9,618669
2013-10-25,105.4,105.5,104.0,104.2,755703
2013-10-28,104.2,104.9,103.6,104.2,466263
2013-10-29,104.9,104.9,103.4,103.9,246865
2013-10-30,103.6,105.4,103.6,104.5,386597
2013-10-31,103.9,104.2,102.4,104.2,685100
2013-11-01,102.6,104.9,102.4,103.0,799388
2013-11-05,104.4,105.5,104.2,104.3,734034
2013-11-06,105.0,105.2,103.4,103.6,379757
2013-11-07,103.2,103.9,102.5,103.4,527786
2013-11-08,102.2,102.2,100.2,100.6,740795
2013-11-11,101.5,101.5,99.1,99.6,404862
2013-11-12,98.9,99.7,94.6,96.0,1951324
2013-11-13,94.6,94.9,50.7,56.3,24557740
2013-11-14,64.0,66.5,56.3,63.1,39495163
2013-11-15,65.1,72.0,63.6,70.5,22611710
2013-11-18,72.0,76.0,71.5,74.9,11818453
2013-11-19,74.9,74.9,70.1,71.0,8725404
2013-11-20,70.8,72.6,68.4,71.5,5355253
2013-11-21,70.6,72.9,69.3,71.8,4973471
2013-11-22,72.5,72.8,68.5,69.3,4580521
2013-11-25,69.9,70.2,56.2,67.1,9275032
2013-11-26,67.1,69.0,65.1,65.6,3226204
2013-11-27,65.6,65.9,60.6,62.5,5516923
2013-11-28,63.0,63.9,58.5,60.4,5370724
2013-11-29,60.4,60.4,57.6,59.3,3610054
2013-12-02,59.0,59.7,57.5,58.0,3207671
2013-12-03,57.0,60.9,55.2,59.3,7170827
2013-12-04,61.0,62.7,59.3,61.1,7049766
2013-12-05,60.1,61.2,58.7,59.5,3227749
2013-12-06,59.6,60.7,59.0,60.3,1562475
2013-12-09,60.8,61.7,59.7,61.0,1915710
2013-12-10,61.5,61.5,60.6,61.0,863180
2013-12-11,60.9,62.0,60.4,61.5,1090843
2013-12-12,60.5,60.9,59.9,60.3,848832
2013-12-13,59.9,60.5,59.3,60.0,644145
2013-12-16,60.9,62.5,60.6,61.9,1355333
2013-12-17,62.5,64.7,62.4,64.1,2558891
2013-12-18,63.5,64.6,63.0,64.5,1130762
2013-12-19,65.0,66.4,64.7,66.0,1885842
2013-12-20,66.4,66.9,65.3,66.9,1682356
2013-12-23,67.5,68.5,66.8,68.2,1647885
2013-12-24,69.3,69.4,67.9,69.1,1365885
2013-12-25,69.4,69.4,67.5,67.9,958770
2013-12-26,67.8,68.0,64.3,65.5,2427372
2013-12-27,65.2,65.5,63.8,64.9,979151
2013-12-30,65.0,66.7,64.7,66.5,1349079
2014-01-06,65.9,65.9,64.6,64.7,414127
2014-01-08,65.5,66.1,64.8,65.2,314461
2014-01-09,65.0,65.9,64.2,65.8,488626
2014-01-10,65.4,66.4,64.9,66.0,589340
2014-01-13,65.8,66.3,64.8,65.2,1037359
2014-01-14,64.6,65.0,63.6,64.8,891084
2014-01-15,65.0,65.7,64.7,65.7,620288
