TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-07-08,265.13,265.13,265.13,265.13,100
2013-07-10,262.5,262.5,261.5,261.5,650
2013-07-12,269.0,270.0,269.0,270.0,450
2013-07-15,273.6,273.6,271.0,271.0,400
2013-07-17,267.0,275.0,267.0,273.6,450
2013-07-19,270.32,271.53,270.03,270.03,450
2013-07-22,268.04,274.99,268.04,274.44,700
2013-07-25,282.0,283.0,282.0,283.0,5500
2013-07-29,283.0,283.0,277.01,277.01,510
2013-07-30,278.0,279.79,278.0,278.6,16120
2013-07-31,276.0,279.0,272.1,275.0,5930
2013-08-01,279.99,282.0,279.99,282.0,1360
2013-08-02,281.9,286.49,281.7,286.49,4010
2013-08-06,282.12,282.12,282.12,282.12,10
2013-08-08,285.0,285.2,285.0,285.2,40
2013-08-09,290.4,290.4,290.4,290.4,4000
2013-08-14,294.0,295.49,294.0,295.49,400
2013-08-16,284.27,285.7,284.26,285.7,880
2013-08-19,282.6,322.0,282.6,289.5,1340
2013-08-21,297.0,298.4,297.0,298.4,540
2013-08-22,303.3,338.0,295.65,303.27,2570
2013-08-23,297.75,297.75,296.01,296.01,200
2013-08-26,303.32,303.33,298.0,300.0,300
2013-08-27,299.0,299.57,293.51,293.51,2940
2013-08-28,288.12,290.3,285.0,289.99,1070
2013-08-29,287.0,294.98,285.02,286.01,3610
2013-08-30,289.9,289.9,288.0,288.0,110
2013-09-02,290.4,293.89,282.7,283.01,858920
2013-09-03,284.02,288.35,283.2,286.0,1262180
2013-09-04,285.0,289.0,282.81,282.96,1144650
2013-09-05,283.38,296.51,282.61,295.0,2610880
2013-09-06,295.03,300.89,293.97,297.1,1961150
2013-09-09,297.55,300.78,297.01,300.55,1211130
2013-09-10,301.0,301.39,297.77,299.04,2209760
2013-09-11,299.75,301.0,296.31,298.53,1033210
2013-09-12,297.71,300.31,295.0,298.4,1167800
2013-09-13,298.52,303.35,295.11,299.98,1263890
2013-09-16,297.11,311.81,297.11,308.2,3527720
2013-09-17,308.54,308.54,305.55,307.95,1078420
2013-09-18,305.95,309.77,305.71,308.36,1689590
2013-09-19,310.47,314.88,310.14,313.5,3059660
2013-09-20,313.11,313.32,310.1,311.8,1413830
2013-09-23,311.3,311.55,306.0,307.13,1652000
2013-09-24,305.6,311.0,305.14,311.0,1541980
2013-09-25,310.85,316.46,308.9,316.32,1983000
2013-09-26,317.9,321.3,314.62,319.5,2053420
2013-09-27,319.94,321.99,317.01,321.05,1417270
2013-09-30,319.45,323.49,319.0,323.0,1174590
2013-10-01,324.62,328.48,322.0,327.96,1629450
2013-10-02,328.0,329.21,323.51,324.0,2074890
2013-10-03,325.5,325.69,321.01,324.24,1246790
2013-10-04,324.04,328.75,323.34,327.92,1028910
2013-10-07,327.91,330.91,326.6,330.06,1288290
2013-10-08,330.03,332.5,328.0,329.97,1572640
2013-10-09,328.84,330.5,327.5,328.9,1719110
2013-10-10,328.74,334.44,328.74,333.73,1168470
2013-10-11,333.77,336.51,331.0,336.21,953520
2013-10-14,336.21,338.0,334.06,336.8,1419020
2013-10-15,337.5,346.0,337.5,344.8,2094080
2013-10-16,345.0,353.77,341.51,351.5,1607710
2013-10-17,353.47,353.5,339.0,343.0,1641740
2013-10-18,344.08,349.51,337.59,348.5,1759270
2013-10-21,349.04,349.8,340.35,341.0,1213640
2013-10-22,339.01,348.88,338.6,345.39,1440030
2013-10-23,345.0,345.0,338.1,338.5,1146630
2013-10-24,338.5,342.88,336.0,339.21,1719590
