TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,259.5,262.7,245.11,254.45,63820
2014-06-10,255.99,260.0,251.51,256.0,72120
2014-06-11,258.42,258.83,253.0,258.64,80100
2014-06-16,259.99,272.12,253.0,265.0,295000
2014-06-17,265.99,270.0,260.0,263.2,57790
2014-06-18,260.77,285.0,260.61,270.0,193370
2014-06-19,274.89,278.0,269.5,274.6,69640
2014-06-20,276.41,278.0,272.17,273.8,146170
2014-06-23,275.09,275.3,269.3,270.4,22690
2014-06-24,263.64,278.89,263.64,269.99,70180
2014-06-25,271.81,272.96,265.01,268.0,49350
2014-06-26,268.62,270.9,268.19,269.13,46950
2014-06-27,270.74,270.74,266.0,266.84,70250
2014-06-30,266.84,272.46,261.71,269.92,87810
2014-07-01,265.01,268.8,263.03,267.0,128320
2014-07-02,264.02,273.45,264.02,268.98,134900
2014-07-03,253.69,256.36,252.0,255.5,221270
2014-07-04,255.33,257.49,254.65,254.65,51400
2014-07-07,255.08,257.02,253.6,256.74,88030
2014-07-08,255.71,257.0,255.19,256.1,63930
2014-07-09,256.0,256.99,255.0,255.99,41580
2014-07-10,256.8,256.8,248.53,249.21,160810
2014-07-11,250.85,251.39,245.95,245.95,61370
2014-07-14,247.5,253.5,246.01,252.83,44150
2014-07-15,252.61,257.2,248.68,250.54,77050
2014-07-16,248.74,254.2,237.55,252.3,31180
2014-07-17,250.0,253.2,236.5,239.64,155810
2014-07-18,238.36,238.71,232.0,235.15,178860
2014-07-21,239.11,239.11,230.25,232.0,144310
2014-07-22,232.2,235.5,230.71,232.5,54020
2014-07-23,230.33,234.99,230.33,232.22,23630
2014-07-24,232.58,233.8,230.0,232.8,23190
2014-07-25,232.0,232.96,228.77,230.25,31920
2014-07-28,232.99,232.99,224.99,227.18,21620
2014-07-29,228.33,228.79,223.04,227.0,26860
2014-07-30,228.52,234.89,226.24,227.99,60760
2014-07-31,227.0,232.84,227.0,227.72,17140
2014-08-01,227.99,231.56,220.0,221.31,93640
2014-08-04,222.67,225.0,220.0,221.08,78700
2014-08-05,222.47,223.04,220.11,221.25,59270
2014-08-06,221.0,221.75,213.09,215.5,50860
2014-08-07,216.59,217.85,197.0,210.01,342310
2014-08-08,213.35,215.87,202.23,209.5,84330
2014-08-11,216.74,216.74,210.0,211.5,49910
2014-08-12,211.88,216.37,211.32,214.76,24970
2014-08-13,214.07,217.47,209.29,215.48,178260
2014-08-14,212.61,216.99,212.61,214.06,60370
2014-08-15,214.04,215.68,211.03,212.0,129110
2014-08-18,217.0,217.0,210.23,210.62,88150
2014-08-19,211.61,213.67,210.03,210.32,44870
2014-08-20,211.6,214.91,210.34,211.65,108120
2014-08-21,213.63,213.98,210.7,211.0,138500
2014-08-22,210.53,211.7,204.1,205.88,130630
2014-08-25,205.0,210.69,201.8,201.8,152960
2014-08-26,203.0,206.99,199.78,201.0,132930
2014-08-27,202.14,203.0,188.5,188.5,1081680
2014-08-28,179.59,191.47,179.59,190.0,435290
2014-08-29,190.0,194.0,187.08,190.3,221360
2014-09-01,190.99,193.94,188.85,188.99,49840
2014-09-02,191.83,191.97,182.02,183.5,183980
2014-09-03,184.63,199.5,184.1,198.71,456710
2014-09-04,199.94,201.7,195.05,195.97,233950
2014-09-05,195.43,201.0,195.07,199.23,209740
2014-09-08,198.97,199.99,196.75,196.75,34780
2014-09-09,196.83,199.98,196.71,197.26,154150
2014-09-10,196.7,198.38,187.0,190.0,411110
2014-09-11,191.45,192.0,188.46,190.75,75260
2014-09-12,191.33,191.38,188.24,188.55,70320
2014-09-15,189.9,193.24,187.5,193.24,108360
2014-09-16,193.12,194.8,189.98,192.29,258050
2014-09-17,191.7,193.48,188.34,192.5,114980
2014-09-18,192.98,193.98,191.03,192.99,94690
2014-09-19,192.9,195.55,192.0,194.99,834220
2014-09-22,196.48,198.0,193.9,195.74,46540
2014-09-23,196.73,202.0,195.39,202.0,144520
2014-09-24,202.0,208.9,200.27,208.08,187740
2014-09-25,208.9,212.0,206.1,208.0,205950
2014-09-26,206.35,207.0,198.1,201.0,328840
2014-09-29,203.99,206.73,197.55,197.81,623730
2014-09-30,198.35,201.99,197.5,201.0,323750
2014-10-01,200.0,205.6,200.0,201.4,49350
2014-10-02,203.0,203.0,197.5,199.9,64890
2014-10-03,199.5,204.9,198.6,199.2,44730
2014-10-06,201.9,201.9,195.6,198.8,159960
2014-10-07,199.7,202.1,197.3,198.3,143760
2014-10-08,201.4,201.4,195.7,197.1,89170
