TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,0.2338,0.2388,0.2338,0.2386,75472000
2014-06-10,0.2377,0.2385,0.2347,0.2374,34246000
2014-06-11,0.2359,0.2379,0.2334,0.2354,49539000
2014-06-16,0.2346,0.2346,0.2292,0.2306,65088000
2014-06-17,0.2254,0.2326,0.2254,0.2282,66496000
2014-06-18,0.227,0.2329,0.2268,0.232,31338000
2014-06-19,0.2335,0.2345,0.23,0.23,49543000
2014-06-20,0.2309,0.2321,0.2285,0.23,26500000
2014-06-23,0.2297,0.2313,0.2271,0.228,27643000
2014-06-24,0.2295,0.2317,0.228,0.231,41740000
2014-06-25,0.2292,0.2301,0.2243,0.2264,29493000
2014-06-26,0.2265,0.2269,0.2244,0.2252,34508000
2014-06-27,0.225,0.2265,0.2228,0.226,22687000
2014-06-30,0.2261,0.2266,0.2217,0.2222,24670000
2014-07-01,0.2223,0.2243,0.2211,0.2229,39984000
2014-07-02,0.2233,0.2243,0.2215,0.2243,11336000
2014-07-03,0.2228,0.2253,0.2228,0.224,37682000
2014-07-04,0.2239,0.2249,0.2214,0.223,55245000
2014-07-07,0.2215,0.228,0.2213,0.2277,22463000
2014-07-08,0.2275,0.229,0.2221,0.2232,65352000
2014-07-09,0.2227,0.2237,0.2192,0.2199,56308000
2014-07-10,0.2201,0.2219,0.2163,0.2184,64165000
2014-07-11,0.2173,0.2185,0.2151,0.2153,28373000
2014-07-14,0.216,0.216,0.2121,0.213,30534000
2014-07-15,0.213,0.2179,0.2111,0.2142,154916000
2014-07-16,0.2159,0.2169,0.2116,0.2125,85894000
2014-07-17,0.2115,0.2115,0.2059,0.2059,86905000
2014-07-18,0.204,0.2063,0.2006,0.2062,38979000
2014-07-21,0.2059,0.2059,0.2006,0.2006,65433000
2014-07-22,0.203,0.2053,0.2013,0.2039,47012000
2014-07-23,0.2051,0.2057,0.1988,0.2018,115618000
2014-07-24,0.2003,0.2017,0.1975,0.2,39260000
2014-07-25,0.2,0.2006,0.1983,0.1996,14729000
2014-07-28,0.1984,0.1989,0.1944,0.1959,86126000
2014-07-29,0.1958,0.1993,0.1938,0.198,33340000
2014-07-30,0.1955,0.1985,0.1948,0.196,108613000
2014-07-31,0.1924,0.1972,0.1924,0.1945,117287000
2014-08-01,0.1944,0.1949,0.1891,0.1927,88772000
2014-08-04,0.1928,0.1967,0.1927,0.1942,74400000
2014-08-05,0.1947,0.1954,0.1885,0.19,285224000
2014-08-06,0.1897,0.1897,0.1861,0.188,42776000
2014-08-07,0.1871,0.1875,0.1838,0.1846,76583000
2014-08-08,0.1846,0.1876,0.1826,0.1876,93235000
2014-08-11,0.1904,0.192,0.1882,0.1905,53230000
2014-08-12,0.19,0.1928,0.1883,0.19,66908000
2014-08-13,0.1886,0.1914,0.1886,0.1899,86928000
2014-08-14,0.1905,0.1951,0.1888,0.1888,133386000
2014-08-15,0.1906,0.1926,0.1894,0.1901,72386000
2014-08-18,0.19,0.1918,0.1894,0.1908,67252000
2014-08-19,0.1914,0.2009,0.191,0.1944,259645000
2014-08-20,0.1933,0.1989,0.1933,0.1972,164000000
2014-08-21,0.1975,0.2004,0.1961,0.1987,120959000
2014-08-22,0.1985,0.2012,0.1951,0.197,72442000
2014-08-25,0.1973,0.2007,0.1973,0.2005,34936000
2014-08-26,0.2,0.2024,0.198,0.1983,34234000
2014-08-27,0.1996,0.2005,0.1971,0.1999,19429000
2014-08-28,0.1992,0.2004,0.1935,0.1964,39288000
2014-08-29,0.1965,0.1989,0.1912,0.1984,73042000
2014-09-01,0.198,0.1992,0.1947,0.1962,57992000
2014-09-02,0.197,0.197,0.1933,0.1946,52493000
2014-09-03,0.194,0.2003,0.1937,0.199,176280000
2014-09-04,0.2,0.2,0.1956,0.1968,106846000
2014-09-05,0.1956,0.1999,0.1954,0.1975,89144000
2014-09-08,0.1972,0.1986,0.193,0.1956,96399000
2014-09-09,0.1959,0.1987,0.1958,0.1974,49587000
2014-09-10,0.1966,0.1979,0.194,0.1942,80427000
2014-09-11,0.1951,0.1968,0.1942,0.1951,81489000
2014-09-12,0.195,0.196,0.194,0.1951,21415000
2014-09-15,0.195,0.196,0.194,0.1951,17533000
2014-09-16,0.1952,0.1967,0.195,0.1961,52205000
2014-09-17,0.1955,0.1963,0.1913,0.1926,106932000
2014-09-18,0.1926,0.1935,0.1912,0.1924,24736000
2014-09-19,0.1908,0.193,0.1906,0.1925,29447000
2014-09-22,0.1925,0.1941,0.191,0.1921,24278000
2014-09-23,0.1923,0.193,0.1911,0.1917,41617000
2014-09-24,0.1927,0.193,0.1901,0.1924,34526000
2014-09-25,0.1925,0.1928,0.1905,0.191,24325000
2014-09-26,0.1904,0.1906,0.1873,0.1885,40800000
2014-09-29,0.1886,0.1896,0.1855,0.1867,37230000
2014-09-30,0.1874,0.1879,0.1833,0.185,70374000
2014-10-01,0.1849,0.186,0.1834,0.1845,48371000
2014-10-02,0.183,0.1869,0.1823,0.185,54023000
2014-10-03,0.1863,0.189,0.1847,0.1856,48346000
2014-10-06,0.1861,0.188,0.1846,0.188,20731000
2014-10-07,0.1882,0.1892,0.1856,0.1862,33455000
2014-10-08,0.1852,0.1861,0.183,0.1851,27729000
2014-10-09,0.1859,0.1862,0.1825,0.183,63383000
2014-10-10,0.1824,0.1824,0.171,0.1715,130971000
2014-10-13,0.1717,0.1806,0.1717,0.1796,146132000
2014-10-14,0.1795,0.181,0.1771,0.1785,137558000
2014-10-15,0.1784,0.1797,0.1766,0.1797,23512000
2014-10-16,0.1798,0.18,0.1741,0.1755,68083000
2014-10-17,0.177,0.1785,0.1752,0.1784,53970000
2014-10-20,0.18,0.1817,0.1769,0.1777,15160000
2014-10-21,0.1726,0.1774,0.1726,0.1764,13763000
2014-10-22,0.1766,0.1778,0.1746,0.1754,15906000
2014-10-23,0.1748,0.1758,0.1717,0.174,60751000
2014-10-24,0.173,0.1754,0.1723,0.1754,22558000
2014-10-27,0.1762,0.1777,0.1745,0.176,52912000
2014-10-28,0.1771,0.1781,0.176,0.1766,33392000
2014-10-29,0.1765,0.1783,0.1763,0.177,23002000
2014-10-30,0.1774,0.181,0.1772,0.18,86353000
2014-10-31,0.1803,0.1815,0.174,0.1792,98166000
2014-11-03,0.1791,0.1945,0.179,0.1881,88630000
