TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,514.7,514.9,510.1,511.6,7686
2014-06-10,513.3,513.9,504.0,507.0,11410
2014-06-11,508.0,525.0,507.0,512.8,24528
2014-06-16,477.6,525.0,477.6,517.0,13178
2014-06-17,549.0,549.0,512.0,513.1,7502
2014-06-18,513.1,513.3,507.4,511.2,13739
2014-06-19,511.5,515.0,502.5,502.5,37300
2014-06-20,505.0,513.0,501.0,504.6,40861
2014-06-23,505.0,508.9,501.0,502.0,12107
2014-06-24,509.0,509.0,493.0,499.7,26728
2014-06-25,502.0,502.0,481.1,484.8,43112
2014-06-26,484.8,489.9,473.3,478.9,44231
2014-06-27,479.8,488.0,477.8,483.0,13604
2014-06-30,487.1,487.1,477.1,482.0,5049
2014-07-01,478.8,487.4,478.8,485.2,18706
2014-07-02,493.1,493.1,480.0,482.0,10889
2014-07-03,483.2,484.8,478.0,479.7,10749
2014-07-04,478.1,481.7,475.0,478.0,8652
2014-07-07,480.7,481.4,475.3,481.3,7128
2014-07-08,482.8,484.0,479.3,480.1,10475
2014-07-09,480.6,481.6,476.2,481.2,4176
2014-07-10,480.4,481.9,476.4,477.2,11920
2014-07-11,478.5,479.6,476.6,477.2,3126
2014-07-14,527.3,527.3,472.0,473.0,9688
2014-07-15,472.1,474.5,454.0,465.9,34082
2014-07-16,462.8,506.5,462.2,506.0,85087
2014-07-17,500.1,524.0,481.1,524.0,62470
2014-07-18,521.8,541.5,513.0,519.9,47762
2014-07-21,516.4,528.8,495.0,496.0,22948
2014-07-22,505.1,505.1,490.0,504.7,9839
2014-07-23,507.6,515.0,504.5,515.0,15225
2014-07-24,511.7,515.0,490.1,500.8,12757
2014-07-25,503.8,504.8,497.5,500.5,3343
2014-07-28,493.3,508.4,489.4,490.4,10875
2014-07-29,493.6,493.6,480.0,489.7,8208
2014-07-30,489.9,491.6,480.2,481.2,4902
2014-07-31,481.6,487.9,478.0,482.1,6359
2014-08-01,480.0,483.7,478.4,481.5,8050
2014-08-04,480.2,487.8,480.0,485.5,4330
2014-08-05,490.0,490.0,482.5,488.0,2959
2014-08-06,485.6,498.0,480.0,496.5,6395
2014-08-07,496.2,498.8,480.0,485.6,12848
2014-08-08,487.9,492.0,485.0,489.1,4971
2014-08-11,489.6,504.9,489.6,495.4,6491
2014-08-12,496.0,496.0,490.0,490.0,2663
2014-08-13,489.1,497.5,489.1,497.5,4522
2014-08-14,496.5,496.5,491.3,496.0,3580
2014-08-15,495.9,496.0,490.1,492.9,8129
2014-08-18,494.8,495.9,488.1,489.0,2278
2014-08-19,489.1,492.5,487.0,488.7,3761
2014-08-20,500.3,500.3,490.0,494.5,4121
2014-08-21,479.9,496.6,479.9,493.0,5076
2014-08-22,491.4,503.0,490.2,496.0,6028
2014-08-25,497.8,499.8,486.0,494.5,7437
2014-08-26,493.5,495.9,488.2,493.3,4641
2014-08-27,494.6,498.5,491.1,498.5,5362
2014-08-28,505.0,511.4,494.1,500.0,15165
2014-08-29,501.0,502.0,494.3,498.0,5808
2014-09-01,498.0,508.8,498.0,502.0,4517
2014-09-02,504.9,505.5,496.1,499.5,3404
2014-09-03,500.9,501.9,496.1,500.5,5091
2014-09-04,514.0,514.0,494.0,499.3,7285
2014-09-05,500.0,502.0,498.0,499.2,5393
2014-09-08,494.7,515.0,494.7,500.0,5713
2014-09-09,501.9,503.6,498.1,499.4,2908
2014-09-10,499.2,502.0,498.3,498.9,2743
2014-09-11,502.0,502.0,496.9,498.8,3276
2014-09-12,497.5,500.8,495.0,498.9,5608
2014-09-15,496.8,500.0,495.0,495.6,2420
2014-09-16,496.1,497.7,491.0,496.5,4713
2014-09-17,495.0,495.0,485.5,490.1,9673
2014-09-18,495.0,495.0,483.0,487.5,5357
2014-09-19,485.1,509.0,484.5,509.0,12501
2014-09-22,501.3,502.9,490.2,493.9,10505
2014-09-23,494.0,504.0,491.0,496.1,15230
2014-09-24,497.0,502.9,495.2,502.0,8405
2014-09-25,503.0,503.0,496.8,499.1,3960
2014-09-26,499.0,502.1,491.7,497.0,4261
2014-09-29,495.2,498.9,494.7,496.8,3334
2014-09-30,498.7,498.7,491.0,493.9,3605
2014-10-01,494.0,497.0,491.0,492.5,3441
2014-10-02,491.0,494.0,490.0,491.5,4008
2014-10-03,491.5,495.0,489.0,494.0,1862
2014-10-06,493.5,495.0,491.0,494.0,2987
2014-10-07,496.0,496.0,489.0,490.0,2532
2014-10-08,489.5,500.0,483.5,487.5,7099
2014-10-09,493.0,493.0,489.5,490.0,1590
2014-10-10,490.5,492.0,475.5,483.5,5128
2014-10-13,483.0,485.0,479.0,484.0,4871
2014-10-14,483.0,486.0,479.5,479.5,3661
2014-10-15,479.0,481.5,472.5,475.0,4983
2014-10-16,478.0,479.5,460.0,471.0,5521
2014-10-17,471.0,474.0,469.0,471.0,2734
2014-10-20,472.0,476.5,466.5,469.5,19140
2014-10-21,468.5,472.0,466.0,470.0,3597
2014-10-22,483.0,483.0,463.0,467.0,3570
2014-10-23,464.5,468.0,460.0,461.5,5560
2014-10-24,462.0,464.5,459.0,461.0,1738
2014-10-27,461.0,465.0,456.0,459.0,3897
2014-10-28,459.0,463.0,457.5,461.0,7672
2014-10-29,465.5,473.0,460.5,468.0,9049
2014-10-30,468.0,470.0,464.5,469.0,9595
2014-10-31,472.0,480.0,468.5,478.0,9199
2014-11-03,481.0,481.0,470.5,476.0,564
2014-11-05,475.0,478.0,470.5,475.0,9319
2014-11-06,475.5,489.5,465.0,477.5,29811
2014-11-07,474.0,482.0,473.0,477.5,6106
2014-11-10,478.0,486.0,474.0,483.0,9702
2014-11-11,483.0,487.0,475.5,478.0,5729
2014-11-12,478.0,479.5,470.5,472.5,8560
2014-11-13,471.5,478.0,469.0,471.5,7183
2014-11-14,471.0,473.5,461.5,473.5,9976
2014-11-17,474.5,475.0,468.0,470.0,3660
2014-11-18,467.5,484.0,467.5,482.0,17314
2014-11-19,482.0,539.0,482.0,529.0,100288
2014-11-20,530.0,544.0,515.0,523.5,46554
2014-11-21,530.5,532.5,520.0,529.5,25161
2014-11-24,529.5,580.0,529.5,580.0,68694
2014-11-25,580.0,662.0,570.5,656.5,167846
2014-11-26,662.0,784.0,657.0,759.0,390869
