TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,21.35,21.75,20.91,20.98,1838580
2014-06-10,20.99,21.2,20.71,20.93,834270
2014-06-11,20.94,21.17,20.61,20.83,1105020
2014-06-16,20.1,20.7,20.04,20.41,1518880
2014-06-17,20.32,20.85,20.1,20.15,1653990
2014-06-18,20.22,20.61,20.18,20.45,837000
2014-06-19,20.66,21.29,20.28,20.3,2637120
2014-06-20,20.4,20.56,20.02,20.1,1370390
2014-06-23,20.11,20.37,19.7,19.93,2015530
2014-06-24,20.0,20.38,19.97,20.16,2412110
2014-06-25,20.02,20.2,19.5,19.7,1571540
2014-06-26,19.8,20.0,19.63,19.65,1325680
2014-06-27,19.7,19.97,19.6,19.7,1185980
2014-06-30,19.79,19.85,19.6,19.62,768510
2014-07-01,19.7,19.72,19.26,19.4,1617900
2014-07-02,19.5,19.52,18.89,19.0,4338200
2014-07-03,19.42,19.42,19.0,19.02,1566260
2014-07-04,19.13,20.58,19.05,19.8,6675640
2014-07-07,19.8,20.42,19.71,20.13,2420580
2014-07-08,20.0,20.33,19.74,19.78,2005690
2014-07-09,19.58,19.95,19.41,19.45,1374580
2014-07-10,19.5,19.62,18.77,19.1,2499310
2014-07-11,19.59,19.59,18.75,18.93,1650750
2014-07-14,19.8,19.8,18.92,19.03,1230590
2014-07-15,19.05,19.6,18.92,19.3,1734590
2014-07-16,19.35,19.56,19.11,19.2,1309710
2014-07-17,19.08,19.08,18.66,18.92,1433880
2014-07-18,18.71,20.15,18.1,19.91,4068410
2014-07-21,20.97,20.97,18.4,18.63,3864630
2014-07-22,18.73,19.03,18.53,18.74,2356960
2014-07-23,18.76,18.86,18.15,18.35,2780430
2014-07-24,18.13,19.17,17.85,18.96,3610790
2014-07-25,18.8,19.07,18.36,18.44,1525920
2014-07-28,18.17,18.26,17.57,17.87,2264620
2014-07-29,17.87,18.17,17.68,18.03,1235180
2014-07-30,18.02,18.47,17.78,18.24,1074880
2014-07-31,18.2,18.45,17.97,18.04,1068320
2014-08-01,18.02,18.02,17.52,17.88,1576780
2014-08-04,17.84,18.2,17.8,17.93,1073910
2014-08-05,18.0,18.13,17.58,17.65,766570
2014-08-06,17.51,17.58,17.1,17.22,1757800
2014-08-07,17.68,17.68,16.59,16.98,1718520
2014-08-08,16.84,17.78,16.77,17.73,2470580
2014-08-11,17.8,18.25,17.8,18.2,1086000
2014-08-12,16.55,19.68,16.55,18.2,6923260
2014-08-13,18.21,18.75,17.99,18.52,1855540
2014-08-14,18.51,18.71,18.31,18.52,787820
2014-08-15,18.55,18.8,18.26,18.6,1615600
2014-08-18,17.26,18.95,17.26,18.43,933960
2014-08-19,18.56,18.84,18.44,18.65,881390
2014-08-20,18.72,19.3,18.58,19.06,2414630
2014-08-21,19.07,19.57,19.01,19.02,3168890
2014-08-22,19.04,19.15,18.65,18.84,1527610
2014-08-25,18.89,19.49,18.8,19.18,1284700
2014-08-26,19.27,19.3,18.72,18.9,1889890
2014-08-27,19.44,19.44,18.81,18.83,415230
2014-08-28,18.64,18.85,18.28,18.45,1245830
2014-08-29,18.48,18.7,18.24,18.32,737370
2014-09-01,18.57,18.58,18.0,18.15,965190
2014-09-02,18.19,18.39,17.74,18.3,1400620
2014-09-03,18.25,18.94,18.25,18.93,1496670
2014-09-04,18.94,19.12,18.55,18.85,1085490
2014-09-05,18.41,19.22,18.41,19.0,1331780
2014-09-08,18.99,19.07,18.75,18.85,888710
2014-09-09,18.82,19.25,18.79,19.01,924100
2014-09-10,18.99,19.15,18.79,18.89,553050
2014-09-11,18.94,19.07,18.34,18.34,1740580
2014-09-12,18.34,18.63,18.08,18.52,1026020
2014-09-15,18.65,18.73,18.24,18.36,562330
2014-09-16,18.4,18.68,18.32,18.56,908260
2014-09-17,18.66,18.66,17.62,18.1,2969090
2014-09-18,18.1,18.63,18.1,18.24,1027760
2014-09-19,18.3,18.31,17.9,18.25,1129780
2014-09-22,18.2,18.28,18.07,18.12,423450
2014-09-23,18.15,18.3,17.72,17.9,915080
2014-09-24,18.05,18.13,17.05,17.33,4183510
2014-09-25,17.36,17.91,17.06,17.4,2079450
2014-09-26,17.3,17.6,17.14,17.32,741870
2014-09-29,17.39,17.41,16.95,17.01,1287000
2014-09-30,17.12,18.0,16.96,17.41,3065720
2014-10-01,17.4,17.49,17.09,17.3,1050910
2014-10-02,17.2,17.41,17.05,17.15,604500
2014-10-03,17.05,17.27,16.89,16.91,1450110
2014-10-06,16.97,17.24,16.96,17.1,1083050
2014-10-07,17.09,17.16,16.88,16.98,644660
2014-10-08,16.98,17.0,16.72,16.95,602740
2014-10-09,17.01,17.19,16.79,16.88,908140
2014-10-10,16.75,16.8,16.28,16.39,1505520
2014-10-13,16.4,16.59,16.07,16.18,2546800
2014-10-14,16.17,16.4,16.11,16.25,720200
2014-10-15,16.25,16.32,15.8,16.0,1579610
2014-10-16,16.0,16.11,15.47,15.61,1910120
2014-10-17,15.71,15.98,15.62,15.95,1348000
2014-10-20,15.94,16.55,15.91,16.08,1441000
2014-10-21,16.09,16.17,15.88,16.1,558330
2014-10-22,16.54,16.54,16.0,16.12,524700
2014-10-23,16.12,16.12,15.7,15.84,839050
2014-10-24,15.51,15.8,15.43,15.63,602800
2014-10-27,15.81,16.07,15.81,15.94,767210
2014-10-28,16.0,16.43,15.92,16.17,1117760
2014-10-29,16.19,17.71,16.19,17.71,3418300
2014-10-30,18.0,18.22,17.0,17.38,3266640
2014-10-31,17.81,17.94,17.27,17.4,1507030
2014-11-03,17.4,18.17,17.1,17.9,1537650
2014-11-05,17.71,19.09,17.52,18.96,4217230
2014-11-06,19.24,19.77,18.75,18.84,4016940
2014-11-07,18.83,18.97,18.21,18.94,3201520
2014-11-10,19.0,19.49,18.97,19.23,1438560
2014-11-11,19.3,19.35,18.75,18.87,1498020
2014-11-12,18.99,19.2,18.61,19.1,1577770
2014-11-13,19.1,19.75,18.65,18.8,2673320
2014-11-14,18.6,18.94,18.35,18.52,1488720
2014-11-17,18.61,18.88,18.07,18.49,1547220
2014-11-18,18.56,19.78,18.33,19.78,2322830
2014-11-19,19.86,21.95,19.62,21.79,4955510
2014-11-20,21.97,22.69,20.63,21.35,4799760
2014-11-21,21.48,23.98,21.26,23.85,4892890
2014-11-24,23.8,25.86,23.41,25.06,8251400
2014-11-25,25.04,25.64,24.25,25.06,3745490
2014-11-26,24.91,26.49,24.37,26.4,3717460
2014-11-27,26.4,27.28,26.02,26.14,4841600
2014-11-28,26.0,26.28,25.01,25.98,2714840
2014-12-01,25.94,26.78,25.3,26.07,3473850
2014-12-02,26.18,27.0,25.71,26.24,2613800
2014-12-03,26.27,27.22,26.1,27.01,2300380
2014-12-04,27.05,29.0,27.05,27.99,5006950
2014-12-05,27.99,28.75,25.0,25.01,4686750
2014-12-08,25.32,26.8,22.82,24.33,6209500
2014-12-09,24.0,24.0,22.24,23.14,4301910
2014-12-10,23.4,25.05,23.4,24.06,3141410
2014-12-11,23.6,24.88,22.85,23.38,2243680
2014-12-12,23.23,23.75,22.0,22.5,2331470
2014-12-15,22.54,23.58,20.03,21.4,2925370
2014-12-16,21.79,22.0,17.19,19.76,6759150
2014-12-17,20.22,23.47,18.5,23.46,3419450
2014-12-18,23.5,24.68,22.12,22.49,4431410
2014-12-19,22.91,26.79,21.58,25.49,6980010
2014-12-22,26.0,26.0,23.6,24.01,2117850
2014-12-23,23.88,25.0,23.3,23.8,1412220
2014-12-24,23.78,24.76,22.56,23.77,1243940
2014-12-25,23.76,24.47,22.8,24.05,1460790
2014-12-26,24.05,24.99,23.72,24.54,785310
2014-12-29,24.75,24.92,23.82,24.3,760360
2014-12-30,23.92,23.92,22.72,23.0,826040
2015-01-05,23.0,23.32,21.98,23.15,776230
2015-01-06,22.94,23.87,22.67,23.43,520620
2015-01-08,23.4,24.37,23.4,24.25,708740
2015-01-09,24.1,24.88,23.12,23.8,596580
2015-01-12,23.08,23.88,23.08,23.22,340190
2015-01-13,23.23,23.45,22.32,23.29,891670
2015-01-14,23.3,23.95,22.92,23.32,585930
2015-01-15,23.58,25.4,23.46,24.8,2042850
2015-01-16,24.91,25.93,24.62,24.67,2373830
