TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,5.939,5.939,5.689,5.818,800
2014-06-10,5.879,5.9,5.551,5.648,6500
2014-06-11,5.688,5.688,5.501,5.595,6600
2014-06-16,5.507,5.9,5.1,5.416,895700
2014-06-17,5.399,5.538,5.383,5.538,37900
2014-06-18,5.478,5.538,5.477,5.538,1600
2014-06-19,5.52,5.97,5.403,5.884,933900
2014-06-20,5.818,5.85,5.56,5.8,21300
2014-06-23,5.838,5.85,5.741,5.745,2100
2014-06-24,5.657,5.88,5.505,5.799,70600
2014-06-25,5.798,5.799,5.798,5.799,200
2014-06-26,5.783,5.87,5.783,5.866,40600
2014-06-27,5.656,5.995,5.5,5.887,29100
2014-06-30,5.899,5.899,4.999,4.999,305500
2014-07-01,4.999,5.076,4.452,4.735,165300
2014-07-02,4.702,5.0,4.348,4.83,447600
2014-07-03,4.869,4.919,4.804,4.808,5400
2014-07-04,4.867,4.939,4.7,4.898,50600
2014-07-07,4.772,4.95,4.501,4.935,53200
2014-07-08,4.947,4.95,4.773,4.898,22100
2014-07-09,5.02,5.02,4.756,4.8,9300
2014-07-10,5.048,5.048,4.771,4.913,24800
2014-07-11,5.214,5.214,4.81,4.81,21300
2014-07-14,5.054,5.054,4.855,4.92,29400
2014-07-15,4.917,4.92,4.863,4.915,5200
2014-07-16,4.813,4.871,4.813,4.867,700
2014-07-17,4.804,4.804,4.801,4.802,1100
2014-07-18,4.898,4.898,4.804,4.848,1800
2014-07-21,4.811,4.938,4.75,4.75,16400
2014-07-22,4.705,4.768,4.55,4.639,34100
2014-07-23,4.7,4.95,4.571,4.7,105700
2014-07-24,4.73,4.85,4.7,4.85,3100
2014-07-25,4.724,4.724,4.6,4.6,15400
2014-07-28,4.652,4.652,4.349,4.4,48000
2014-07-29,4.4,4.538,4.35,4.5,161900
2014-07-30,4.5,4.74,4.403,4.55,26600
2014-07-31,4.548,4.699,4.501,4.699,13800
2014-08-01,4.687,4.688,4.5,4.688,25300
2014-08-04,5.093,5.093,4.551,4.6,3200
2014-08-05,5.074,5.074,4.45,4.547,16200
2014-08-06,4.922,4.922,4.429,4.544,800
2014-08-07,4.549,4.549,4.4,4.45,6500
2014-08-08,4.449,4.45,4.202,4.25,259400
2014-08-11,4.253,4.274,4.102,4.149,33200
2014-08-12,4.25,4.25,3.9,3.949,36700
2014-08-13,4.0,4.05,3.756,3.756,113700
2014-08-14,3.768,3.84,3.58,3.61,631300
2014-08-15,3.61,3.699,3.571,3.599,147700
2014-08-18,3.647,3.669,3.5,3.519,306100
2014-08-19,3.577,3.811,3.499,3.599,274100
2014-08-20,3.59,3.869,3.571,3.817,262000
2014-08-21,3.8,4.8,3.7,4.031,618600
2014-08-22,3.962,4.455,3.961,4.45,164300
2014-08-25,4.499,4.736,4.451,4.5,98300
2014-08-26,4.569,4.739,4.5,4.572,22100
2014-08-27,4.45,4.601,4.35,4.56,87500
2014-08-28,4.56,4.599,4.201,4.261,40400
2014-08-29,4.264,4.519,4.264,4.454,6300
2014-09-01,4.415,4.788,4.414,4.652,203100
2014-09-03,4.602,4.602,4.569,4.598,22100
2014-09-04,4.699,4.778,4.598,4.598,12000
2014-09-05,4.572,4.616,4.545,4.616,3400
2014-09-08,4.616,4.616,4.552,4.598,2100
2014-09-09,4.562,4.562,4.401,4.479,18400
2014-09-10,4.419,4.798,4.3,4.7,211700
2014-09-11,4.677,4.677,4.461,4.461,25000
2014-09-12,4.426,4.426,4.26,4.399,24700
2014-09-15,4.45,4.508,4.252,4.258,25200
2014-09-16,4.224,4.23,4.201,4.217,18400
2014-09-17,4.16,4.21,3.756,4.07,52000
2014-09-18,4.08,4.097,4.05,4.05,9400
2014-09-19,3.923,4.044,3.923,4.044,1000
2014-09-22,4.004,4.004,3.898,3.898,22100
2014-09-23,3.802,3.855,3.502,3.763,17000
2014-09-24,3.897,4.086,3.801,3.947,10600
2014-09-25,3.939,3.999,3.939,3.999,400
2014-09-26,4.004,4.004,3.9,3.91,25800
2014-09-29,3.931,3.989,3.879,3.925,1900
2014-09-30,3.829,3.979,3.824,3.879,2000
2014-10-01,3.835,3.84,3.8,3.815,11800
2014-10-02,3.805,3.815,3.62,3.67,6000
2014-10-03,3.79,3.995,3.7,3.885,20200
2014-10-06,3.84,3.91,3.83,3.91,3500
2014-10-07,3.9,4.17,3.89,4.085,31400
2014-10-08,3.985,3.99,3.95,3.955,2800
2014-10-09,4.015,4.015,4.005,4.005,1000
2014-10-10,4.015,4.16,3.725,4.02,37800
2014-10-13,3.925,4.04,3.91,3.94,4700
2014-10-14,3.99,3.995,3.99,3.995,200
2014-10-15,3.92,3.93,3.805,3.885,18100
2014-10-16,3.86,3.99,3.86,3.99,15900
2014-10-17,3.95,4.12,3.51,3.99,12600
