TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-09-02,0.007239,0.007239,0.006832,0.006998,3339400000
2013-09-03,0.007116,0.007116,0.006812,0.006944,1271300000
2013-09-04,0.006858,0.006999,0.006823,0.00697,351800000
2013-09-05,0.00696,0.007213,0.00685,0.007199,1159500000
2013-09-06,0.007185,0.007251,0.00692,0.006977,5775100000
2013-09-09,0.007009,0.007079,0.006936,0.007025,1271200000
2013-09-10,0.007006,0.007053,0.006914,0.007053,279000000
2013-09-11,0.007053,0.007275,0.007031,0.00714,1470500000
2013-09-12,0.007119,0.007169,0.00699,0.007002,1677300000
2013-09-13,0.007013,0.007014,0.006844,0.00688,411200000
2013-09-16,0.00694,0.006997,0.006891,0.006997,1316600000
2013-09-17,0.006997,0.007029,0.006835,0.006996,520600000
2013-09-18,0.006924,0.007038,0.0068,0.006961,997200000
2013-09-19,0.006999,0.007049,0.006857,0.006919,794300000
2013-09-20,0.00689,0.006918,0.0067,0.006771,229700000
2013-09-23,0.006809,0.006814,0.006659,0.0067,527400000
2013-09-24,0.0067,0.006798,0.006588,0.0066,516100000
2013-09-25,0.006587,0.006662,0.006422,0.00653,2959300000
2013-09-26,0.00655,0.006701,0.0065,0.006529,1991500000
2013-09-27,0.006502,0.006573,0.00646,0.006489,620500000
2013-09-30,0.006475,0.006501,0.006211,0.006282,1833500000
2013-10-01,0.006358,0.006399,0.006216,0.006399,277500000
2013-10-02,0.006399,0.006414,0.006329,0.00637,289700000
2013-10-03,0.00633,0.006375,0.006325,0.006343,671600000
2013-10-04,0.006311,0.00637,0.00625,0.00637,601900000
2013-10-07,0.00637,0.006479,0.006303,0.00645,479500000
2013-10-08,0.006486,0.006684,0.006432,0.00661,1560700000
2013-10-09,0.00658,0.006767,0.00658,0.006719,1028700000
2013-10-10,0.006734,0.00685,0.006635,0.00677,2592400000
2013-10-11,0.006756,0.00688,0.006756,0.006836,1294700000
2013-10-14,0.006703,0.006848,0.006681,0.006833,230500000
2013-10-15,0.006726,0.006879,0.006726,0.006799,219500000
2013-10-16,0.006828,0.006829,0.0067,0.006794,602700000
2013-10-17,0.006731,0.006817,0.006723,0.006796,195400000
2013-10-18,0.00671,0.00685,0.006703,0.006827,267800000
2013-10-21,0.006858,0.006861,0.0068,0.00684,375900000
