TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,0.001648,0.001648,0.001648,0.001648,13000000
2014-06-10,0.0016,0.001648,0.001595,0.001648,11000000
2014-06-11,0.001646,0.001689,0.001646,0.00168,58000000
2014-06-16,0.001603,0.001603,0.00159,0.00159,125000000
2014-06-17,0.001536,0.001536,0.001536,0.001536,1000000
2014-06-18,0.001599,0.0016,0.001541,0.001541,4000000
2014-06-19,0.001534,0.001534,0.0015,0.0015,82000000
2014-06-20,0.001579,0.0016,0.001579,0.0016,7000000
2014-06-24,0.001522,0.001523,0.001521,0.001521,41000000
2014-06-25,0.001546,0.001546,0.001546,0.001546,1000000
2014-06-27,0.001539,0.00164,0.001539,0.00162,45000000
2014-06-30,0.00175,0.00175,0.001555,0.001737,763000000
2014-07-01,0.00175,0.00175,0.001445,0.001589,115000000
2014-07-04,0.001605,0.001615,0.001605,0.001615,10000000
2014-07-07,0.001465,0.001506,0.001445,0.0015,46000000
2014-07-08,0.001476,0.001529,0.001474,0.001529,83000000
2014-07-09,0.001501,0.001501,0.001499,0.001499,17000000
2014-07-10,0.001452,0.001497,0.001451,0.001487,4000000
2014-07-14,0.001461,0.001491,0.001452,0.001489,13000000
2014-07-15,0.001499,0.0015,0.001499,0.0015,295000000
2014-07-16,0.001519,0.00155,0.0015,0.00155,93000000
2014-07-18,0.001472,0.001472,0.001467,0.001467,14000000
2014-07-21,0.001528,0.001528,0.00143,0.001495,75000000
2014-07-22,0.001492,0.001544,0.001492,0.001539,10000000
2014-07-23,0.0015,0.001546,0.0015,0.001546,22000000
2014-07-24,0.001502,0.001539,0.0015,0.001539,67000000
2014-07-25,0.001502,0.001546,0.001502,0.001502,28000000
2014-07-28,0.001484,0.001484,0.001484,0.001484,1000000
2014-07-30,0.0015,0.0015,0.0015,0.0015,57000000
2014-07-31,0.001531,0.001531,0.0015,0.0015,25000000
2014-08-01,0.001497,0.001506,0.001497,0.001506,8000000
2014-08-04,0.00148,0.00148,0.00148,0.00148,2000000
2014-08-05,0.00148,0.00148,0.001472,0.001472,4000000
2014-08-06,0.001646,0.001646,0.001432,0.001432,16000000
2014-08-07,0.001421,0.001421,0.00135,0.00137,146000000
2014-08-08,0.001351,0.001376,0.001314,0.00133,27000000
2014-08-11,0.001366,0.001413,0.001366,0.001413,19000000
2014-08-12,0.001413,0.001413,0.001413,0.001413,10000000
2014-08-13,0.001335,0.00142,0.001335,0.00142,19000000
2014-08-14,0.001351,0.001413,0.001348,0.001413,46000000
2014-08-15,0.001413,0.001448,0.001413,0.001448,11000000
2014-08-18,0.001405,0.001405,0.001363,0.001363,3000000
2014-08-19,0.0016,0.0016,0.001388,0.001413,18000000
2014-08-21,0.001456,0.001456,0.001456,0.001456,1000000
2014-08-22,0.001414,0.001414,0.001413,0.001413,33000000
2014-08-25,0.001414,0.001414,0.001414,0.001414,1000000
2014-08-26,0.001454,0.001454,0.001454,0.001454,1000000
2014-08-27,0.00141,0.00141,0.00141,0.00141,1000000
2014-08-28,0.0014,0.001407,0.0014,0.001407,27000000
2014-08-29,0.001383,0.001388,0.001372,0.001379,15000000
2014-09-01,0.001415,0.001418,0.001415,0.001418,17000000
2014-09-02,0.001459,0.001459,0.001444,0.001445,40000000
2014-09-03,0.001419,0.001499,0.001418,0.001499,31000000
2014-09-04,0.001499,0.001499,0.001429,0.001429,43000000
2014-09-05,0.001499,0.00151,0.001429,0.001429,44000000
2014-09-08,0.001499,0.001499,0.001418,0.001499,92000000
2014-09-09,0.001499,0.00155,0.001499,0.00155,52000000
2014-09-11,0.001502,0.001502,0.001463,0.0015,23000000
2014-09-12,0.001597,0.001609,0.001531,0.001531,570000000
2014-09-15,0.001513,0.00159,0.001513,0.00159,3000000
2014-09-16,0.001523,0.001591,0.001418,0.001502,261000000
2014-09-17,0.001499,0.001499,0.001499,0.001499,2000000
2014-09-19,0.00155,0.001601,0.001491,0.001497,302000000
2014-09-23,0.001495,0.001583,0.001478,0.001583,176000000
2014-09-24,0.001481,0.001537,0.001481,0.001537,112000000
2014-09-25,0.00154,0.00154,0.00154,0.00154,4000000
2014-09-26,0.001482,0.001482,0.001482,0.001482,1000000
2014-09-29,0.001549,0.0016,0.001549,0.0016,220000000
2014-09-30,0.001603,0.0017,0.001603,0.0017,145000000
2014-10-01,0.00164,0.00164,0.001565,0.001565,64000000
2014-10-02,0.001555,0.001555,0.001555,0.001555,8000000
2014-10-03,0.00155,0.00155,0.00155,0.00155,4000000
2014-10-06,0.001545,0.001545,0.001525,0.001525,23000000
2014-10-07,0.00152,0.00155,0.001505,0.001505,33000000
2014-10-08,0.0015,0.0015,0.00149,0.00149,10000000
2014-10-09,0.00149,0.00152,0.001485,0.00152,30000000
2014-10-10,0.00149,0.001545,0.00149,0.001545,56000000
2014-10-15,0.001505,0.00151,0.001505,0.00151,71000000
2014-10-16,0.00155,0.0016,0.00151,0.0016,135000000
2014-10-17,0.00159,0.00163,0.00153,0.0016,225000000
2014-10-20,0.001605,0.001635,0.0016,0.00163,52000000
2014-10-21,0.00163,0.001665,0.001625,0.001635,167000000
2014-10-23,0.001605,0.001675,0.001605,0.001675,8000000
2014-10-24,0.001555,0.001565,0.0015,0.00153,189000000
2014-10-27,0.001505,0.001505,0.0015,0.0015,2000000
2014-10-28,0.00156,0.00156,0.001505,0.001505,9000000
2014-10-29,0.00154,0.001545,0.00154,0.00154,11000000
2014-10-30,0.001605,0.001605,0.001505,0.001585,12000000
2014-11-03,0.00152,0.00152,0.00152,0.00152,1000000
2014-11-05,0.001515,0.001515,0.001515,0.001515,7000000
2014-11-06,0.001515,0.001515,0.001505,0.001505,14000000
2014-11-07,0.00152,0.001535,0.00152,0.00153,18000000
2014-11-11,0.001505,0.001505,0.001505,0.001505,1000000
2014-11-12,0.001585,0.00159,0.00156,0.00156,9000000
2014-11-13,0.001615,0.001615,0.00156,0.00156,6000000
2014-11-14,0.001585,0.001585,0.001585,0.001585,1000000
2014-11-17,0.00157,0.001595,0.00157,0.00159,57000000
2014-11-18,0.00163,0.00165,0.0016,0.00165,248000000
2014-11-19,0.001555,0.00165,0.001555,0.00165,159000000
2014-11-20,0.00165,0.00165,0.0016,0.0016,138000000
2014-11-21,0.001545,0.001625,0.001545,0.001625,22000000
2014-11-25,0.001565,0.001565,0.001565,0.001565,1000000
2014-11-26,0.001545,0.001595,0.00153,0.00155,304000000
2014-11-27,0.00156,0.00156,0.00156,0.00156,1000000
2014-11-28,0.001525,0.00159,0.001515,0.001515,61000000
2014-12-01,0.001555,0.00183,0.00152,0.00155,167000000
2014-12-02,0.00155,0.00155,0.00151,0.00151,34000000
2014-12-03,0.00152,0.00152,0.00152,0.00152,4000000
2014-12-04,0.00152,0.00161,0.0015,0.001505,266000000
2014-12-05,0.001545,0.00158,0.0015,0.001505,262000000
2014-12-08,0.00151,0.00151,0.00151,0.00151,346000000
2014-12-09,0.00149,0.00151,0.00148,0.001505,38000000
