TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-08-28,84.0,84.0,84.0,84.0,20
2013-08-30,109.99,109.99,109.99,109.99,10
2013-09-02,80.5,84.68,80.5,84.0,201080
2013-09-03,84.41,84.48,80.1,81.6,128230
2013-09-04,80.82,83.4,80.16,82.52,41840
2013-09-05,82.98,84.53,81.03,84.5,80180
2013-09-06,83.13,86.68,83.13,84.55,103470
2013-09-09,84.9,86.25,83.26,84.03,145350
2013-09-10,84.84,85.8,84.05,85.0,215280
2013-09-11,85.17,86.37,83.93,85.0,51820
2013-09-12,84.54,85.15,84.03,84.76,47460
2013-09-13,85.48,85.89,82.27,83.0,30200
2013-09-16,84.24,88.63,84.0,87.99,335230
2013-09-17,89.0,89.0,85.85,87.33,107580
2013-09-18,86.52,87.45,85.98,85.98,75080
2013-09-19,86.47,89.98,86.0,86.0,95230
2013-09-20,86.45,87.8,85.56,85.84,51570
2013-09-23,84.93,86.97,84.23,84.26,31770
2013-09-24,84.5,85.03,84.0,85.03,30600
2013-09-25,80.6,84.51,80.6,84.4,91760
2013-09-26,83.86,85.45,83.86,85.0,33790
2013-09-27,84.79,85.08,81.22,83.0,501660
2013-09-30,82.56,83.81,81.51,83.66,74420
2013-10-01,86.87,86.87,82.94,83.2,78930
2013-10-02,84.18,84.49,83.56,83.56,32880
2013-10-03,83.52,84.9,83.1,84.7,261200
2013-10-04,84.23,85.5,84.04,84.89,82170
2013-10-07,84.93,85.89,84.11,85.48,132430
2013-10-08,86.55,86.59,84.71,86.0,40760
2013-10-09,85.99,86.0,84.75,85.4,53740
2013-10-10,85.78,86.37,84.71,85.44,158450
2013-10-11,84.7,86.0,83.3,84.35,177290
2013-10-14,85.13,85.13,83.5,84.1,414690
2013-10-15,84.45,86.5,83.43,85.0,557440
2013-10-16,84.55,87.04,84.4,86.69,559660
2013-10-17,86.5,87.63,85.18,87.49,76010
2013-10-18,87.99,89.43,85.36,87.6,298020
2013-10-21,87.52,89.0,87.25,88.1,24410
2013-10-22,88.59,89.9,87.43,89.25,85080
2013-10-23,89.09,90.32,87.31,88.55,429990
2013-10-24,88.11,90.83,88.11,90.83,99610
2013-10-25,89.53,89.53,88.77,88.8,4920
