TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-09,8200.0,8200.0,8018.1,8020.0,213
2014-06-10,8093.3,8097.7,8026.7,8096.4,408
2014-06-11,8019.1,8100.1,7955.0,8015.3,336
2014-06-16,7900.0,8335.0,7557.8,8000.0,1836
2014-06-17,7602.5,8137.8,7602.5,7927.4,53
2014-06-18,7779.6,7852.0,7733.8,7777.7,486
2014-06-19,7849.9,7890.0,7708.9,7710.1,81
2014-06-20,7792.8,7792.8,6830.1,7081.0,869
2014-06-23,7122.5,7391.8,7050.0,7297.7,929
2014-06-24,8294.4,8294.4,7100.0,7385.0,943
2014-06-25,7350.1,7427.2,7331.2,7331.2,170
2014-06-26,7351.0,7392.8,7300.0,7310.0,435
2014-06-27,7406.0,7469.3,7338.0,7469.3,814
2014-06-30,7399.2,7472.1,7329.1,7400.0,145
2014-07-01,7400.2,7480.1,7354.1,7400.0,509
2014-07-02,7451.0,7696.0,7451.0,7555.7,58
2014-07-03,7647.6,7850.0,7647.6,7710.0,84
2014-07-04,7798.9,7800.0,7701.4,7800.0,100
2014-07-07,7644.1,7924.0,7644.1,7900.0,125
2014-07-08,7727.6,7999.0,7727.4,7999.0,1994
2014-07-09,7805.3,8099.9,7805.1,8099.9,2749
2014-07-10,7925.2,8043.9,7925.2,7990.0,114
2014-07-11,7820.2,8009.8,7750.2,7999.0,147
2014-07-14,7919.7,8000.0,7919.7,8000.0,49
2014-07-15,7925.9,8005.0,7900.0,7999.0,285
2014-07-16,8000.0,8100.0,7931.9,7999.0,150
2014-07-17,7960.6,7960.6,7810.1,7915.5,415
2014-07-18,7874.2,7899.2,7750.0,7756.7,44
2014-07-21,7735.3,7980.1,7728.1,7736.9,57
2014-07-22,7767.7,7850.0,7767.7,7773.3,183
2014-07-23,7722.2,7781.3,7577.0,7713.1,160
2014-07-24,7664.9,7703.2,7125.0,7619.4,85
2014-07-25,7589.0,7688.7,7421.5,7421.5,92
2014-07-28,7477.4,7500.0,7379.2,7500.0,225
2014-07-29,7421.2,7559.3,7407.7,7490.0,128
2014-07-30,7540.8,7650.4,7489.9,7600.0,216
2014-07-31,7419.0,7557.3,7414.7,7501.0,84
2014-08-01,7541.8,7542.4,7391.0,7489.8,42
2014-08-04,7665.5,7665.5,7358.1,7600.0,143
2014-08-05,7567.7,7700.0,7550.0,7700.0,180
2014-08-06,7545.5,7660.0,7303.9,7399.6,89
2014-08-07,7404.7,7426.3,6900.7,7000.0,678
2014-08-08,7142.0,7142.0,6994.2,7006.3,174
2014-08-11,7088.0,7260.0,7088.0,7255.7,88
2014-08-12,7237.2,7287.9,7136.5,7150.0,31
2014-08-13,7101.9,7174.4,7036.0,7100.0,148
2014-08-14,7087.3,7349.5,7018.4,7300.0,192
2014-08-15,7373.0,7400.0,7333.0,7350.0,31
2014-08-18,7350.1,7488.5,7300.0,7300.0,110
2014-08-19,7310.0,7485.0,7200.0,7399.0,409
2014-08-20,7498.7,7549.9,7400.0,7411.0,63
2014-08-21,7599.9,7688.9,7462.0,7569.8,185
2014-08-22,7462.1,7599.0,7430.1,7582.5,202
2014-08-25,7530.4,7567.1,7530.0,7540.5,46
2014-08-26,7600.0,7631.4,7580.0,7580.1,40
2014-08-27,7643.9,7643.9,7554.4,7629.9,5
2014-08-28,7532.1,7592.1,7438.6,7500.0,109
2014-08-29,7583.0,7583.9,7400.4,7550.0,127
2014-09-01,7400.5,7499.7,7400.0,7450.0,43
2014-09-02,7320.1,7500.0,7214.0,7400.9,52
2014-09-03,7473.9,7560.0,7468.8,7559.7,14
2014-09-04,7500.2,7519.9,7345.5,7500.3,71
2014-09-05,7500.9,7588.2,7430.0,7430.0,55
2014-09-08,7430.1,7435.0,7350.0,7435.0,16
2014-09-09,7499.7,7599.0,7400.2,7456.8,116
2014-09-10,7421.4,7554.4,7151.2,7470.0,110
2014-09-11,7517.7,7900.0,7517.7,7700.0,583
2014-09-12,7700.1,7748.9,7546.4,7546.5,28
2014-09-15,7502.0,7502.0,7111.0,7160.4,563
2014-09-16,7199.9,7411.0,7199.9,7399.9,361
2014-09-17,7420.4,7420.4,7214.4,7240.0,42
2014-09-18,7299.8,7343.0,7110.9,7300.0,227
2014-09-19,7300.0,7300.0,6953.0,7079.6,289
2014-09-22,7045.0,7129.9,7032.0,7032.0,27
2014-09-23,7059.7,7096.0,7059.7,7080.0,17
2014-09-24,7170.0,7299.9,7079.8,7297.8,177
2014-09-25,7299.9,7339.9,7150.9,7329.8,104
2014-09-26,7270.7,7270.7,7200.0,7200.0,38
2014-09-29,7290.0,7295.0,6900.0,6977.4,336
2014-09-30,6998.9,7076.9,6998.9,7000.0,82
2014-10-01,7030.0,7060.0,6900.0,7000.0,70
2014-10-02,6920.0,6920.0,6510.0,6680.0,389
2014-10-03,6750.0,6780.0,6680.0,6710.0,53
2014-10-06,6760.0,6850.0,6730.0,6850.0,88
2014-10-07,6810.0,6850.0,6810.0,6850.0,16
2014-10-08,6820.0,6990.0,6700.0,6830.0,128
2014-10-09,6880.0,6880.0,6450.0,6450.0,1113
2014-10-10,6470.0,6490.0,5850.0,5850.0,1469
2014-10-13,5850.0,6100.0,5800.0,5910.0,1197
2014-10-14,5920.0,5940.0,5850.0,5860.0,144
2014-10-15,5880.0,6340.0,5850.0,6000.0,6675
2014-10-16,6080.0,6500.0,6080.0,6390.0,6751
2014-10-17,6220.0,6590.0,6210.0,6500.0,329
