TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2014-12-01,320.0,320.0,320.0,320.0,400,,320.0,0.0,0.0,0.0,,,,,,
2014-12-02,305.0,305.0,305.0,305.0,10000,,317.0,-1.196581196581235,-0.23931623931624701,-0.957264957264988,,,,,,
2014-12-04,330.0,330.0,330.0,330.0,10000,,319.6,-0.1261353398105598,-0.2166800594151096,0.0905447196045498,,,,,,
2014-12-10,350.0,350.0,350.0,350.0,30,,325.68000000000006,2.309412101702776,0.2885383728084675,2.0208737288943084,,,,,,
2014-12-11,212.2,212.2,212.2,212.2,1,,302.98400000000004,-6.8013061375868915,-1.1294305292706044,-5.671875608316287,,,,,,
2014-12-19,330.0,447.0,330.0,350.0,6324,,312.3872,-2.8692328932971236,-1.4773910020759082,-1.3918418912212154,,,,,,
2014-12-22,300.0,380.0,290.0,290.0,7764,,307.90976,-4.542175703117948,-2.0903479422843163,-2.451827760833632,,,,,,
2014-12-23,290.0,290.0,290.0,290.0,1046,,304.327808,-5.801123195677064,-2.832502992962866,-2.9686202027141984,,,,,,
2014-12-25,285.0,285.0,280.0,280.0,1351,303.0222222222222,299.4622464,-7.519089200437918,-3.7698202344578764,-3.7492689659800416,,,,,28.875638841567294,
2014-12-26,280.0,285.0,270.55,271.0,21007,297.5777777777778,293.76979712,-9.49733505373564,-4.91532319831343,-4.58201185542221,,,,,25.042589437819423,
2014-12-29,280.0,280.0,280.0,280.0,1,294.79999999999995,291.01583769600006,-10.221062317102962,-5.976471022071337,-4.244591295031626,,,,,28.875638841567294,27.597955706984674
2014-12-30,290.0,310.0,280.0,280.0,4602,289.2444444444444,288.8126701568001,-10.67160575914744,-6.915497969486557,-3.7561077896608825,,,,,28.875638841567294,27.597955706984674
2015-01-05,321.0,350.0,280.0,280.0,12,281.46666666666664,287.0501361254401,-10.902981894548077,-7.712994754498862,-3.1899871400492152,,,,,28.875638841567294,28.875638841567294
2015-01-06,320.0,340.0,295.0,310.0,381,292.3333333333333,291.64010890035206,-8.566846594425556,-7.883765122484201,-0.6830814719413549,,,,,22.35760838764522,26.702962023593273
2015-01-08,300.0,360.0,285.0,335.0,579,290.6666666666667,300.31208712028166,-4.644611284136715,-7.235934354814704,2.591323070677989,51.567070622649396,,,,58.88533576975788,36.70619433299013
2015-01-09,300.0,345.0,300.0,306.0,30,292.44444444444446,301.4496696962253,-3.832095171698029,-6.55516651819137,2.7230713464933407,50.10150223304913,,,,39.631078814980434,40.29134099079451
2015-01-12,290.1,303.0,290.1,303.0,9,293.8888888888889,301.75973575698026,-3.391154112987408,-5.922364037150578,2.5312099241631696,47.131321716957075,,,,36.27724986025712,44.93122148166515
2015-01-13,290.15,324.9,290.15,319.95,26,298.3277777777778,305.3977886055842,-1.6549050884934218,-5.068872247419147,3.4139671589257254,46.7864399529462,,,33.239204023676976,55.22638345444381,43.711570709893785
2015-01-14,324.95,334.95,295.0,315.0,67,303.2166666666667,307.31823088446737,-0.6706085013429401,-4.189219498203906,3.518610996860966,65.35703615177772,,,39.707416558170664,43.75,45.08454443823364
2015-01-15,300.05,320.0,300.05,305.0,304,305.99444444444447,306.8545847075739,-0.6895144971499576,-3.4892784979931166,2.799764000843159,39.12518124697922,364.25297091622656,238.9620290837734,45.77829729779179,31.25,43.4087944848146
2015-01-16,305.1,314.95,305.1,308.0,571,309.1055555555556,307.08366776605914,-0.457152932643794,-2.8828533849232523,2.4257004522794583,56.004002668445644,363.1390097193042,238.87599028069573,50.917698745130984,35.0,36.666666666666664
2015-01-20,315.0,315.0,300.05,310.0,1032,312.4388888888889,307.6669342128473,-0.11034939426838264,-2.3283525867922785,2.218003192523896,56.583278472679396,363.4967943658417,239.01820563415828,52.44331290619129,33.333333333333336,33.19444444444445
2015-01-21,295.0,320.0,295.0,320.0,5101,313.55,310.1335473702778,0.9603411203479482,-1.6706138453642332,2.6309549657121813,63.166556945358785,362.17987955766864,239.33512044233132,48.40741275971911,46.666666666666664,38.333333333333336
2015-01-22,320.0,330.0,317.5,320.0,4484,311.8833333333334,312.10683789622226,1.7882571517955057,-0.9788396459322855,2.767096797727791,67.1448565430371,356.9697013460804,241.5452986539196,51.453018846563026,54.46265938069215,44.820886460230724
2015-01-23,324.95,324.95,324.95,324.95,1,313.9888888888889,314.6754703169778,2.8114021091769814,-0.22079129491043215,3.0321934040874137,66.18653222902412,346.6115485275644,263.17845147243565,50.29833461459048,77.70345596432551,59.61092733722811
2015-01-26,320.0,320.0,312.0,320.0,14980,315.8777777777778,315.7403762535822,3.1861008409239844,0.46058713225645115,2.7255137086675334,63.90820584144645,340.1444632971909,266.6455367028092,49.74639453632497,66.62946428571432,66.26519321024399
2015-01-27,340.0,344.95,312.0,330.0,48,316.9944444444444,318.5923010028658,4.241080179575647,1.2166857417202903,3.0243944378553564,66.25487646293888,343.4071434890428,267.38285651095725,47.35675305168694,70.07007007007009,71.46766344003663
2015-01-28,340.0,340.0,340.0,340.0,1,319.7722222222222,322.87384080229265,5.817020343139518,2.136752662004136,3.680267681135382,61.21076233183857,348.1543813846374,267.63561861536266,42.35022342898443,90.09009009009011,75.59654148195818
2015-01-30,335.0,335.0,335.0,335.0,2,323.10555555555555,325.29907264183413,6.58658006851698,3.026718143306705,3.5598619252102752,50.0,350.3920541775045,270.89794582249556,36.3078261774755,80.0800800800801,80.0800800800801
2015-02-05,369.0,369.0,369.0,369.0,1,329.8833333333333,334.0392581134673,9.826701448017673,4.386714804248899,5.439986643768774,76.51515151515153,358.72775606133354,272.3622439386665,34.15341708417816,100.0,90.05672339005673
2015-02-06,369.0,377.0,330.0,377.0,32219,337.3277777777778,342.6314064907739,12.891449520868434,6.087661747572806,6.803787773295628,79.88691437802909,368.299256485971,272.4907435140291,31.787448445942843,100.0,93.36002669336004
2015-02-09,379.95,379.95,360.25,379.9,17,343.98333333333335,350.08512519261916,15.37703334408917,7.9455360668760795,7.431497277213091,77.31207289293852,376.2985309777821,274.4814690222179,30.202526621140958,99.92641648270786,99.97547216090261
2015-02-10,370.0,380.0,370.0,380.0,129,350.65,356.06810015409536,17.157168438132885,9.787862541127442,7.369305897005443,80.98188751191611,382.1637446161561,278.61625538384385,26.863168774179282,100.0,99.97547216090261
2015-02-11,380.0,389.95,380.0,380.0,83,356.76666666666665,360.8544801232763,18.35633788858729,11.501557610619411,6.85478027796788,89.51527924130664,389.20321913002647,278.5767808699735,24.248910871147856,87.23540731237975,95.72060793169588
2015-02-12,389.9,394.95,389.9,389.95,43,364.5388888888889,366.67358409862106,19.880401271267033,13.177326342748936,6.703074928518097,90.23073146784488,397.3757466429775,275.8992533570225,23.975595192400288,93.97227245328511,93.73589325522163
2015-02-13,389.95,395.0,389.95,395.0,121,371.7611111111111,372.3388672788969,21.250759747483244,14.792013023695798,6.458746723787446,90.51477597712108,405.3154892668544,276.85951073314556,21.581029733539342,100.0,93.73589325522163
2015-02-16,404.45,410.0,376.0,405.0,622,378.98333333333335,378.8710938231175,22.879949325744008,16.40960028410544,6.470349041638567,90.51477597712108,413.79132171539067,278.58367828460933,20.018912423698875,93.75,95.90742415109503
2015-02-17,405.0,405.0,405.0,405.0,1,386.7611111111111,384.09687505849405,23.895639743746074,17.906808176033568,5.988831567712506,90.51477597712108,421.69586660981537,279.1841333901846,19.982543208402024,93.75,95.83333333333333
2015-02-18,390.0,390.0,376.0,385.0,2867,388.5388888888889,384.27750004679524,22.82365201148275,18.890176943123404,3.9334750683593462,75.03126302626094,424.7414912123661,283.1385087876339,18.680240371375582,68.75,85.41666666666667
2015-02-19,380.05,385.0,380.0,380.0,574,388.8722222222222,383.4220000374362,21.324816585789506,19.377104871656627,1.947711714132879,75.0,425.4570825230379,289.9229174769621,18.59598985454719,39.698492462311556,67.39949748743719
2015-02-20,384.95,384.95,384.95,384.95,10,389.43333333333334,383.727600029949,20.302369268385462,19.562157751002395,0.7402115173830666,73.90169638973467,426.0873410043296,296.9876589956705,18.696106136914814,37.37499999999997,48.60783082077051
2015-02-25,380.15,380.15,370.0,370.0,81,388.32222222222225,380.9820800239592,18.077347931178508,19.26519578703762,-1.1878478558591112,62.51042535446205,424.40971370288753,304.6652862971125,21.08458696963031,0.0,25.69116415410384
2015-02-26,379.95,380.0,379.95,380.0,97,388.32222222222225,380.78566401916737,16.92580873044733,18.797318375719563,-1.8715096452722335,68.01441152922338,423.92476876651676,311.1502312334833,24.616429283300434,25.0,20.791666666666657
2015-03-02,375.0,375.0,375.0,375.0,103,386.66111111111115,379.6285312153339,15.431858544912131,18.124226409558077,-2.692367864645945,53.128258602711156,422.09151198647425,318.4834880135258,27.90872879402164,12.5,12.5
2015-03-03,381.0,385.05,379.95,380.0,5608,384.99444444444447,379.70282497226714,14.484383515847071,17.396257830815877,-2.9118743149688058,51.61463939720129,420.35681129977985,325.7231887002201,30.97748408120696,25.0,20.833333333333332
2015-03-04,380.0,380.0,380.0,380.0,19,382.2166666666667,379.7622599778137,13.57699557551581,16.632405379755866,-3.055409804240057,50.05555555555557,416.2758389603365,335.8041610396634,36.87514383944105,28.571428571428573,22.023809523809522
2015-03-05,370.05,370.05,370.0,370.0,10,378.3277777777778,377.80980798225096,11.913634704025355,15.688651244609765,-3.77501654058441,44.99499499499499,412.1502947880306,343.92970521196935,42.832382355400355,0.0,17.857142857142858
2015-03-06,379.9,379.95,379.9,379.95,93,377.76666666666665,378.23784638580076,11.268396018908561,14.804600199469526,-3.536204180560965,49.97724169321802,409.0692045386778,351.00579546132224,41.34945542178218,66.1129568106311,31.56146179401989
2015-03-10,389.9,389.9,365.1,379.5,1051,377.7111111111111,378.4902771086406,10.598554929214231,13.963391145418468,-3.364836216204237,44.79322371699053,402.13784508141424,362.38715491858574,42.09816852517338,58.06451612903227,41.39249097988779
2015-03-11,360.2,374.9,355.1,374.9,37,376.59444444444443,377.77222168691253,9.586017836955477,13.08791648372587,-3.5018986467703925,39.939939939939926,401.7680309661143,363.3469690338857,43.39185607262562,56.89655172413787,60.358008221267085
2015-03-12,360.0,369.95,355.05,369.95,28,376.58888888888885,376.20777734953003,8.288605381915659,12.128054263363827,-3.8394488814481686,31.523458091723768,402.09172924339333,362.31827075660664,41.44331339908405,42.75466284074603,52.57191023130539
2015-03-13,355.1,369.95,355.1,369.95,2,375.47222222222223,374.956221879624,7.177657100822728,11.137974830855608,-3.9603177300328802,31.523458091723768,402.3215543523621,361.09344564763785,37.6263093006576,42.75466284074603,47.46862580187664
2015-03-16,356.05,374.95,355.05,369.95,40,374.9111111111111,373.95497750369924,6.225459363774746,10.155471737439436,-3.93001237366469,39.946559786239135,402.47387768300837,359.9361223169916,30.808451648396872,42.75466284074603,42.75466284074603
2015-03-17,370.0,370.0,370.0,370.0,50,373.79999999999995,373.1639820029594,5.412478693850858,9.206873128721721,-3.7943944348708634,42.846924177396275,402.5553739580195,358.85462604198045,27.89919283869967,42.898134863701586,42.80248684839788
2015-03-18,370.0,370.0,370.0,370.0,31,372.68888888888887,372.53118560236754,4.713847357655766,8.308267974508531,-3.5944206168527657,38.49114703618169,401.60227887774386,357.8127211222561,22.44550126025164,42.898134863701586,42.85031085604974
2015-03-20,370.0,370.0,370.0,370.0,1,372.68888888888887,372.02494848189406,4.112767565962656,7.469167892799357,-3.3564003268367006,50.0,399.5147471585146,357.4002528414854,14.584619217291703,42.898134863701586,42.898134863701586
2015-03-25,354.95,354.95,354.95,354.95,100,369.9111111111111,368.6099587855153,2.394397158613799,6.454213745962246,-4.059816587348447,27.24795640326974,395.5779430702145,356.3320569297856,17.426559326224048,0.0,28.59875657580106
2015-03-26,349.95,349.95,331.05,349.95,130,366.6277777777778,364.87796702841223,0.6219485812480343,5.287760713019404,-4.66581213177137,27.24795640326974,391.03303191638116,355.3719680836188,24.27761158231037,43.05239179954439,28.650175554415323
2015-03-30,350.05,354.95,349.95,354.95,1100,364.4111111111111,362.8923736227298,-0.3749492908333423,4.155218712248854,-4.5301680030821965,27.24795640326974,390.38847097459967,353.0115290254003,27.60104041813429,54.44191343963551,32.4981017463933
2015-03-31,350.0,350.0,349.95,349.95,122,362.18888888888887,360.30389889818383,-1.5505821046768347,3.0140585488637166,-4.564640653540551,24.979184013322225,390.809210391503,349.585789608497,32.598811884444395,43.05239179954439,46.8488990129081
2015-04-01,359.95,359.95,350.0,350.0,577,359.97222222222223,358.2431191185471,-2.4500028892587693,1.9212462612392196,-4.371249150497989,30.039920159680648,389.71143036234076,347.1885696376592,34.611233146211276,43.16628701594533,46.88686408504174
2015-04-02,340.15,354.9,340.15,354.9,11,358.29999999999995,357.57449529483773,-2.735873841404043,0.9898222407105671,-3.7256960821146103,22.197558268590456,389.7810970796237,345.6089029203764,40.51101528128753,61.232349165596844,49.150342660362185
2015-04-06,338.05,379.95,338.0,379.95,101,359.4055555555555,362.0495962358702,-0.9303781618437483,0.6057821601997041,-1.5361603220434525,50.32304379038047,389.7727430144911,345.6122569855089,39.97984844862164,100.00000000000001,68.13287872718074
2015-04-07,365.0,365.0,348.9,349.85,2471,357.1666666666667,359.6096769886962,-1.9063530207426993,0.10335512401122343,-2.009708144753923,36.836573830793505,389.6009028019979,343.2690971980021,39.44868161595575,38.44580777096119,66.55938564551936
2015-04-09,364.95,375.0,340.0,375.0,2671,357.72222222222223,362.687741590957,-0.6430130609542744,-0.04591851298187612,-0.5970945479723982,52.18899003034244,388.8367363108167,343.5332636891833,40.43382276701524,89.87730061349696,76.10770279481939
2015-04-10,370.0,384.95,360.05,377.15,355,360.18888888888887,365.5801932727656,0.5256209595176529,0.06838938151802967,0.4572315779996232,53.06382978723404,388.3617217134642,343.72327828653584,36.98111904930377,85.52875695732835,71.28395511392883
