TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2015-07-01,3.627,3.74,3.624,3.68,22000500,,3.68,0.0,0.0,0.0,,,,,,
2015-07-02,3.8,3.8,3.624,3.6455,27706400,,3.6731000000000007,-0.0027521367521363693,-0.0005504273504272739,-0.0022017094017090953,,,,,,
2015-07-03,3.725,3.725,3.6315,3.637,38211300,,3.6658800000000005,-0.005555068546521547,-0.0015513555896461285,-0.004003712956875418,,,,,,
2015-07-06,3.6405,3.67,3.64,3.67,8407400,,3.6667040000000006,-0.005055313473215861,-0.0022521471663600754,-0.0028031663068557857,,,,,,
2015-07-07,3.8,3.8,3.631,3.631,30483800,,3.6595632000000005,-0.007717268176771874,-0.0033451713684424355,-0.004372096808329439,,,,,,
2015-07-08,3.6205,3.66,3.6205,3.649,40402100,,3.6574505600000005,-0.008279001711731127,-0.004331937437100174,-0.003947064274630953,,,,,,
2015-07-09,3.625,3.65,3.625,3.65,34680400,,3.6559604480000005,-0.008544986655511622,-0.005174547280782464,-0.0033704393747291577,,,,,,
2015-07-10,3.8,3.8,3.632,3.65,26880300,,3.6547683584000006,-0.008656000652427664,-0.005870837955111504,-0.0027851626973161604,,,,,,
2015-07-13,3.698,3.698,3.642,3.6545,35973700,3.6518888888888887,3.6547146867200007,-0.008285359189585062,-0.0063537422020062155,-0.0019316169875788465,,,,,18.94150417827312,
2015-07-14,3.645,3.6585,3.6415,3.6525,53277400,3.6488333333333336,3.654271749376001,-0.008060094690895525,-0.006695012699784078,-0.001365081991111447,,,,,17.82729805013929,
2015-07-15,3.626,3.656,3.62,3.656,39678800,3.6500000000000004,3.6546173995008013,-0.007512550201142165,-0.006858520200055696,-0.0006540300010864693,,,,,20.00000000000005,18.922934076137487
2015-07-16,3.6395,3.683,3.639,3.676,29569700,3.6543333333333328,3.658893919600641,-0.005402507649898691,-0.006567317690024295,0.0011648100401256039,,,,,31.11111111111119,22.979469720416844
2015-07-17,3.671,3.6745,3.669,3.669,1965400,3.654222222222222,3.6609151356805127,-0.004246177928555195,-0.006103089737730476,0.0018569118091752808,,,,,27.22222222222223,26.111111111111157
2015-07-20,3.6625,3.664,3.656,3.6625,21393200,3.657722222222222,3.6612321085444104,-0.003810350620624625,-0.005644541914309306,0.0018341912936846805,,,,,23.61111111111114,27.314814814814852
2015-07-21,3.671,3.677,3.66,3.677,24115300,3.660833333333333,3.6643856868355282,-0.002268772523292384,-0.004969388036105922,0.002700615512813538,49.21874999999997,,,,31.666666666666682,27.500000000000018
2015-07-22,3.673,3.6745,3.67,3.67,20346500,3.6630555555555557,3.6655085494684227,-0.001593533016570614,-0.00429421703219886,0.002700684015628246,57.446808510638164,,,,27.77777777777772,27.68518518518518
2015-07-23,3.673,3.677,3.673,3.677,18397000,3.666055555555556,3.6678068395747383,-0.0004879347361868014,-0.003532960572996449,0.0030450258368096474,62.26993865030667,,,,73.07692307692314,44.17378917378918
2015-07-24,3.6685,3.6765,3.6685,3.67,7360700,3.6677777777777774,3.668245471659791,-0.000174569305843697,-0.0028612823195658986,0.0026867130137222016,50.0,,,58.40606103951526,79.36507936507944,60.073260073260094
2015-07-27,3.621,3.687,3.621,3.6745,4616200,3.670222222222222,3.669496377327833,0.00043190867298159574,-0.0022026441210564,0.0026345527940379956,71.21951219512182,,,51.197777487145736,81.34328358208987,77.92842867469749
2015-07-28,3.6655,3.6655,3.6605,3.6605,18695500,3.6707222222222224,3.6676971018622666,-0.00021466167036621187,-0.0018050476309183624,0.0015903859605521506,55.83756345177648,3.6889893975761523,3.632210602423848,44.08510823724904,59.848484848484794,73.51894926521803
2015-07-29,3.6635,3.6645,3.655,3.655,9490200,3.6683888888888885,3.6651576814898132,-0.0011575340285974178,-0.0016755449104541736,0.0005180108818567558,52.427184466019334,3.6863082523250497,3.63239174767495,40.744035509240476,51.51515151515135,64.23563998190868
2015-07-30,3.6655,3.672,3.655,3.672,8562700,3.6687222222222227,3.6665261451918507,-0.0005269350610732637,-0.0014458229405779916,0.0009188878795047279,59.16666666666662,3.687370702394127,3.633979297605873,36.23217760785603,77.2727272727277,62.87878787878795
2015-07-31,3.675,3.675,3.67,3.6745,16101500,3.670055555555556,3.6681209161534807,0.00017255911645763788,-0.0011221465291708658,0.0012947056456285037,58.47457627118633,3.68745170148488,3.637648298515119,32.14765560079043,81.06060606060642,69.94949494949516
2015-08-03,3.67,3.67,3.6565,3.6595,574500,3.668111111111111,3.666396732922785,-0.0004779518170030528,-0.0009933075867373032,0.0005153557697342504,52.67175572519085,3.6867071371590234,3.6373428628409763,30.07828464253059,58.33333333333344,72.22222222222253
2015-08-04,3.647,3.6695,3.639,3.639,178300,3.6646666666666667,3.6609173863382285,-0.002617492271230315,-0.0013181445236359057,-0.0012993477475944093,44.2567567567567,3.685173684172474,3.6396763158275265,28.872376353288985,27.27272727272703,55.55555555555563
2015-08-05,3.635,3.6555,3.635,3.635,138000,3.6599999999999997,3.655733909070583,-0.004583029752220913,-0.001971121569352907,-0.002611908182868006,34.469696969697,3.6869408575837554,3.6365091424162457,34.79661805982432,21.212121212120948,35.606060606060474
2015-08-06,3.635,3.6355,3.63,3.63,43800,3.6555555555555554,3.6505871272564665,-0.006469612909666633,-0.0028708198374156526,-0.0035987930722509807,35.000000000000085,3.6892657833772917,3.6321842166227087,41.40765785443285,13.636363636363514,20.707070707070496
2015-08-07,3.6645,3.69,3.655,3.655,3886600,3.653388888888889,3.651469701805173,-0.005879675350290103,-0.003472590939990543,-0.0024070844102995603,47.474747474747396,3.689206141819293,3.632743858180706,40.7001825106513,41.66666666666648,25.50505050505031
2015-08-10,3.655,3.67,3.655,3.655,20200,3.6527777777777777,3.6521757614441386,-0.0053504687114593885,-0.0038481664942843124,-0.0015023022171750762,41.79104477611939,3.6892078749736013,3.632792125026399,41.53102332155187,41.66666666666648,32.323232323232155
2015-08-11,3.656,3.6915,3.656,3.66,16117700,3.653333333333333,3.653740609155311,-0.004476013724210137,-0.003973735940269478,-0.0005022777839406595,46.21212121212133,3.689305128987586,3.633444871012415,40.49156817081036,48.78048780487837,44.03794037940378
2015-08-12,3.6795,3.6875,3.665,3.68,13190600,3.654222222222222,3.6589924873242494,-0.0021444491191093817,-0.0036078785760374583,0.0014634294569280766,51.03448275862072,3.6915745916486675,3.6335754083513314,40.180033300451946,81.30081300813036,57.249322493225066
2015-08-13,3.6895,3.6905,3.6895,3.6905,5002100,3.6559999999999997,3.6652939898594,0.0005443202908028688,-0.002777438802669393,0.0033217590934722617,56.9023569023569,3.694364279706509,3.6322357202934903,41.33922037953886,98.37398373983758,76.15176151761544
