TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-09-02,0.3444,0.3444,0.3281,0.33,8034000,,0.33,0.0,0.0,0.0,,,,,,
2013-09-03,0.3297,0.3349,0.3273,0.3296,3556000,,0.32992,-3.190883190890004e-05,-6.381766381780008e-06,-2.552706552712003e-05,,,,,,
2013-09-04,0.3202,0.331,0.3202,0.325,3318000,,0.328936,-0.00042349656252799184,-8.980472561102238e-05,-0.00033369183691696943,,,,,,
2013-09-05,0.3247,0.3251,0.3231,0.324,6001000,,0.32794880000000004,-0.0008052419746936157,-0.00023289217542754104,-0.0005723497992660746,,,,,,
2013-09-06,0.324,0.324,0.32,0.3201,3689000,,0.32637904000000006,-0.001406264824969361,-0.000467566705335905,-0.000938698119633456,,,,,,
2013-09-09,0.3129,0.3216,0.3129,0.316,7914000,,0.3243032320000001,-0.00218819139057036,-0.0008116916423827961,-0.0013764997481875638,,,,,,
2013-09-10,0.3155,0.318,0.313,0.314,10274000,,0.32224258560000013,-0.002935419424695662,-0.0012364371988453694,-0.0016989822258502928,,,,,,
2013-09-11,0.3174,0.3267,0.3099,0.31,23220000,,0.31979406848000014,-0.00380649074003947,-0.0017504479070841895,-0.0020560428329552804,,,,,,
2013-09-12,0.2947,0.3128,0.2947,0.3058,5554000,0.31938888888888894,0.3169952547840001,-0.004780617944482202,-0.002356481914563792,-0.0024241360299184097,,,,,22.334004024144882,
2013-09-13,0.31,0.31,0.2999,0.3,5354000,0.31605555555555553,0.3135962038272001,-0.00595202110529075,-0.0030755897527091837,-0.0028764313525815664,,,,,13.184079601989993,
2013-09-16,0.3046,0.3078,0.2968,0.3,7378000,0.31276666666666664,0.3108769630617601,-0.0068019578141260695,-0.003820863364992561,-0.0029810944491335083,,,,,14.60055096418725,16.706211530107375
2013-09-17,0.2955,0.2996,0.2822,0.2875,14268000,0.3086,0.3062015704494081,-0.008387498451371711,-0.0047341903822683915,-0.0036533080691033195,,,,,11.910112359550501,13.231580975242581
2013-09-18,0.2826,0.2896,0.2727,0.2789,15335000,0.3035888888888889,0.3007412563595265,-0.010220187002474401,-0.0058313897063095935,-0.004388797296164808,,,,,11.481481481481453,12.664048268406402
2013-09-19,0.2799,0.284,0.2674,0.2697,28839000,0.2979888888888889,0.2945330050876212,-0.012273487867270227,-0.007119809338501721,-0.0051536785287685065,,,,,3.87858347386167,9.09005910496454
2013-09-20,0.2699,0.275,0.2658,0.2735,20654000,0.2932666666666666,0.29032640407009697,-0.013439196660289587,-0.008383686802859294,-0.005055509857430293,5.928237129485211,,,,12.643678160919604,9.334581038754242
2013-09-23,0.27,0.2799,0.268,0.2689,4491000,0.2882555555555555,0.28604112325607756,-0.014566299598862686,-0.009620209362059973,-0.004946090236802713,5.563689604685251,,,,5.090311986863696,7.20419120721499
