TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-07-08,96.3,96.7,96.3,96.7,3000,,96.7,0.0,0.0,0.0,,,,,,
2013-07-11,95.1,95.1,95.1,95.1,1236,,96.38000000000001,-0.1276353276353177,-0.025527065527063544,-0.10210826210825416,,,,,,
2013-07-16,96.3,96.5,96.3,96.5,900,,96.40400000000001,-0.11449907062443287,-0.043321466546537415,-0.07117760407789546,,,,,,
2013-07-17,96.6,97.5,94.0,97.5,321,,96.62320000000001,-0.023130218885114573,-0.03928321701425285,0.016152998129138278,,,,,,
2013-07-19,97.8,97.8,97.6,97.6,5136,,96.81856,0.05669586403183757,-0.020087400805034766,0.07678326483687234,,,,,,
2013-07-23,120.0,122.7,91.0,91.0,296,,95.65484800000002,-0.4079041663213445,-0.09765075390829672,-0.3102534124130478,,,,,,
2013-08-05,98.0,98.0,98.0,98.0,777,,96.12387840000002,-0.20885400017273525,-0.11989140316118443,-0.08896259701155082,,,,,,
2013-08-07,94.0,94.5,94.0,94.5,3777,,95.79910272000004,-0.32972519193468486,-0.16185816091588454,-0.16786703101880032,,,,,,
2013-08-09,95.1,97.2,95.1,97.2,810,96.01111111111112,96.07928217600004,-0.20528267617056883,-0.1705430639668214,-0.03473961220374744,,,,,19.55835962145111,
2013-08-12,101.7,101.7,100.3,100.3,4600,96.4111111111111,96.92342574080004,0.14184787237590513,-0.1080648766982761,0.2499127490741812,,,,,29.337539432176648,
2013-08-13,105.0,105.0,105.0,105.0,3001,97.51111111111112,98.53874059264004,0.787128525825409,0.07097380380646093,0.7161547220189481,,,,,44.164037854889585,31.019978969505782
2013-08-14,103.1,103.1,95.0,95.0,51,97.34444444444445,97.83099247411204,0.4859993679772856,0.15397891664062585,0.33202045133665975,,,,,12.618296529968454,28.70662460567823
2013-08-16,102.9,103.9,101.1,101.1,302,97.74444444444445,98.48479397928963,0.7311431973785858,0.2694117727882178,0.461731424590368,,,,,31.861198738170327,29.547844374342787
2013-08-19,102.9,128.6,99.3,101.8,9400,98.21111111111111,99.14783518343171,0.9707157908140402,0.4096725763933823,0.561043214420658,,,,,28.723404255319146,24.40096650781931
2013-08-20,98.0,98.5,98.0,98.5,270,99.04444444444444,99.01826814674537,0.884104964692952,0.5045590540532963,0.3795459106396557,51.73745173745174,,,,13.005780346820812,24.530127780103427
2013-08-21,100.7,100.7,97.1,97.7,1749,99.01111111111112,98.7546145173963,0.7423545457696576,0.5521181523965686,0.19023639337308906,52.54901960784314,,,,10.69364161849712,17.474275406879027
2013-08-22,97.7,101.7,97.0,101.7,1050,99.8111111111111,99.34369161391706,0.9419249634705693,0.6300795146113688,0.3118454488592005,54.85074626865672,,,,19.9404761904762,14.546632718598042
2013-08-23,100.3,102.8,100.3,100.3,135,100.15555555555555,99.53495329113366,0.9758684535385669,0.6992373023968085,0.2766311511417584,52.592592592592595,,,39.22717178037238,15.77380952380952,15.469309110927613
2013-08-26,100.3,106.8,100.1,105.0,593,100.67777777777778,100.62796263290693,1.3662701229247318,0.8326438665023932,0.5336262564223386,56.313993174061444,,,39.45235937038774,29.761904761904766,21.825396825396826
2013-08-27,102.1,102.2,100.4,101.7,10261,100.3111111111111,100.84237010632555,1.3933224835785865,0.9447795899176319,0.44854289366095457,59.6745027124774,105.66703083531071,91.55296916468929,38.46666779646086,19.9404761904762,21.825396825396826
2013-08-28,100.3,103.7,95.2,100.9,2888,100.96666666666667,100.85389608506046,1.3348213703178828,1.022787945997682,0.31203342432020076,52.953156822810605,105.8876728843375,91.75232711566248,42.29277038514734,17.065868263473064,22.25608307195134
2013-08-29,100.0,103.6,99.2,99.2,1223,100.75555555555555,100.52311686804838,1.1381629896114163,1.045862954720429,0.09230003489098726,54.96828752642707,105.87278104667182,92.1772189533282,45.51191454124421,11.97604790419162,16.327464119380295
2013-08-30,97.7,106.0,92.5,96.1,44571,100.12222222222222,99.6384934944387,0.7238219450167804,0.9814547527796993,-0.25763280776291886,48.846960167714876,105.88608773531136,92.12391226468866,41.295491129774355,25.17482517482514,18.072247114163275
2013-09-02,97.7,98.8,96.6,97.5,204064,100.01111111111112,99.21079479555097,0.5026279990236304,0.8856894020284856,-0.38306140300485514,46.95652173913044,105.88608773531136,92.12391226468866,37.735945786883406,34.965034965034974,24.038636014683913
2013-09-03,97.6,99.3,96.5,98.4,408841,100.08888888888889,99.04863583644078,0.39539481627659256,0.7876304848781069,-0.3922356686015144,42.18009478672987,105.9009540009511,92.18904599904887,34.61946538064836,41.25874125874131,33.79953379953381
2013-09-04,98.1,98.5,97.0,97.6,235615,99.63333333333333,98.75890866915263,0.24305662675938322,0.6787157132543622,-0.435659086494979,53.93939393939393,105.15076606903449,93.59923393096551,30.769516920157017,35.66433566433563,37.296037296037305
2013-09-05,98.1,99.2,96.4,99.0,841675,99.48888888888888,98.8071269353221,0.2326143799665772,0.5894954465968052,-0.356881066630228,46.289752650176695,105.1678674297592,93.6821325702408,27.59623155509082,45.45454545454546,40.7925407925408
2013-09-06,100.2,102.1,99.5,100.0,1634383,98.93333333333334,99.04570154825768,0.30155433612644345,0.5319072245027329,-0.23035288837628942,46.85314685314686,104.95597404463668,94.44402595536333,25.148689381055497,55.55555555555556,45.558145558145554
2013-09-09,105.0,107.5,101.8,106.0,3510584,99.41111111111111,100.43656123860616,0.8307630842730589,0.5916783964567981,0.2390846878162608,61.9808306709265,105.95808432932675,94.32191567067328,20.98606521843134,90.0,63.67003367003368
2013-09-10,108.9,113.2,108.4,113.1,2700378,100.76666666666667,102.96924899088494,1.8022997036554784,0.8338026578965343,0.9684970457589441,70.47872340425529,108.99464673936932,92.56535326063069,19.12058902795516,99.51690821256035,81.69082125603863
2013-09-11,113.4,113.8,110.6,111.5,1391403,102.13333333333334,104.67539919270796,2.4153007621042946,1.1501022787380863,1.2651984833662082,63.920454545454525,110.4580687336746,91.75193126632539,17.494957714823855,89.20187793427232,92.90626204894421
2013-09-12,114.5,117.0,113.4,114.8,2220416,104.21111111111111,106.70031935416637,3.1312953148820952,1.5463408859668881,1.584954428915207,69.54177897574122,112.81840774587116,91.37159225412884,26.8974826396571,89.32038834951454,92.67972483211572
2013-09-13,111.9,113.9,108.4,109.9,1967331,105.58888888888889,107.34025548333311,3.2656922401082227,1.890211156795155,1.3754810833130677,56.568364611260066,113.79522809902642,91.27477190097358,32.48513170556704,65.5339805825243,81.35208228877038
2013-09-16,111.4,114.0,111.3,112.4,1659385,107.14444444444445,108.3522043866665,3.5332033098425626,2.2188095874046367,1.3143937224379258,64.65753424657534,115.14739693891377,90.98260306108625,37.57671741916233,77.66990291262138,77.50809061488674
2013-09-17,111.0,111.2,110.0,110.7,726953,108.6,108.82176350933321,3.5669147939951813,2.488430628722746,1.0784841652724353,63.10160427807485,116.01609523417376,91.33390476582623,41.29226815558594,69.41747572815535,70.87378640776701
2013-09-18,111.2,113.4,110.2,110.9,1110529,109.92222222222223,109.23741080746657,3.5686327397672386,2.7044710509316445,0.8641616888355941,66.29526462395543,116.74234502326402,91.92765497673597,45.22312927822789,65.14285714285717,70.74341192787797
2013-09-19,114.5,116.0,112.8,113.5,1847473,111.42222222222223,110.08992864597327,3.7367179367138164,2.9109204280880787,0.8257975086257376,74.57627118644068,117.9133956304322,91.93660436956779,48.489133816411865,76.97368421052632,70.5113390271796
2013-09-20,111.1,112.0,110.3,110.9,1382887,111.96666666666667,110.25194291677863,3.6184175304843222,3.052419848567328,0.5659976819169943,68.30601092896175,118.51364907980425,92.39635092019574,50.829245811696275,29.069767441860485,57.06210293174798
2013-09-23,110.2,112.3,106.0,106.7,1445500,111.25555555555555,109.54155433342291,3.1494537645725273,3.071826631768368,0.07762713280415934,60.40100250626567,118.6083063776048,92.47169362239521,48.35724983381794,6.363636363636389,37.469029338674396
2013-09-24,105.1,107.3,104.3,105.5,988687,110.58888888888889,108.73324346673834,2.650414303934241,2.987544166201543,-0.337129862267302,59.80148883374691,118.67313067147767,92.78686932852231,46.7348839334348,9.448818897637816,14.960740901044895
2013-09-25,106.0,107.7,105.0,107.1,812175,109.73333333333333,108.40659477339068,2.3568601475488578,2.861407362471006,-0.5045472149221482,60.0,118.79161909224406,93.28838090775595,41.4242881779301,23.9316239316239,13.248026397632701
2013-09-26,107.1,109.3,105.8,107.0,1219514,109.41111111111111,108.12527581871255,2.092031561804774,2.70753220233776,-0.6155006405329861,58.83838383838384,118.77130420472986,94.08869579527013,37.14072860025288,23.076923076923094,18.819121968728272
2013-09-27,106.5,107.6,104.2,105.0,568657,108.58888888888889,107.50022065497005,1.7011598030388342,2.506257722477975,-0.8050979194391408,48.59550561797753,118.25214699229159,95.49785300770841,33.75453248678403,6.77966101694913,17.929402675165374
2013-09-30,103.3,105.6,100.3,102.8,1706630,107.71111111111112,106.56017652397605,1.2000362336006845,2.2450134247025173,-1.0449771911018328,33.22475570032573,117.82346484304742,96.45653515695255,32.28998458231419,15.923566878980889,15.260050324284371
2013-10-01,103.8,104.4,102.2,102.9,691192,106.82222222222222,105.82814121918085,0.8017196338004311,1.9563546665221003,-1.1546350327216692,35.27397260273973,117.44599305885241,97.28400694114761,31.831698012916515,16.56050955414018,13.087912483356732
2013-10-02,103.0,103.0,100.3,100.9,608286,105.42222222222222,104.84251297534469,0.3209676580731724,1.6292772648323148,-1.3083096067591424,25.089605734767034,117.02927421050234,98.0307257894977,34.387379878943214,5.000000000000071,12.494692144373715
2013-10-03,102.0,102.9,100.5,100.9,758418,104.3111111111111,104.05401038027577,-0.059347623856425,1.291552287094567,-1.350899910950992,30.434782608695656,116.79747025213571,98.45252974786429,39.56101386874238,5.000000000000071,8.85350318471344
2013-10-04,101.0,103.4,100.2,103.3,733226,103.93333333333334,103.90320830422061,-0.16518611968324137,1.0002046057390053,-1.1653907254222466,30.131004366812206,116.49157880411418,99.08842119588583,43.94225354409969,34.06593406593402,14.688644688644722
2013-10-07,102.3,102.8,101.6,102.7,534481,103.62222222222222,103.66256664337651,-0.2940888030839375,0.7413459239744168,-1.0354347270583544,31.651376146788976,116.59063615026542,98.65936384973458,46.54160746191203,27.47252747252749,22.179487179487193
2013-10-08,103.5,104.4,103.1,104.0,1272632,103.27777777777777,103.73005331470121,-0.28802579089834524,0.5354715809998644,-0.8234973718982096,34.93449781659385,115.88588990534554,98.45411009465447,45.42934969330751,41.75824175824175,34.432234432234424
2013-10-09,103.0,103.8,102.1,102.4,847544,102.76666666666668,103.46404265176098,-0.40762855011591625,0.34685155477670826,-0.7544801048926245,24.657534246575338,115.42924121768493,98.00075878231507,50.520126744868854,29.7297297297298,32.986832986833015
2013-10-10,102.8,104.8,102.6,104.3,896951,102.6888888888889,103.63123412140878,-0.34512212443036105,0.2084568189352944,-0.5535789433656555,34.43396226415091,114.0794733330992,98.30052666690082,52.294842637231795,75.92592592592594,49.13796580463249
2013-10-11,105.0,105.1,103.6,103.9,447620,102.8111111111111,103.68498729712704,-0.32412566983991553,0.10194032118025244,-0.42606599102016796,41.95402298850574,113.64055855372607,98.13944144627396,48.9980516627157,75.51020408163284,60.388619912429526
2013-10-14,104.5,104.9,103.0,104.7,402604,103.01111111111112,103.88798983770164,-0.24016405248455897,0.03351944644729016,-0.2736834989318491,47.64705882352942,112.63402887016024,98.37597112983975,44.26554137464983,91.83673469387772,81.09095490047883
2013-10-15,105.5,107.6,104.9,107.4,1300238,103.73333333333333,104.59039187016133,0.04373936911848375,0.03556343098152888,0.008175938136954872,50.828729281768,112.10629417348261,98.5737058265174,41.79606640517488,97.29729729729743,88.21474535760267
2013-10-16,106.9,107.9,105.3,107.5,657388,104.46666666666667,105.17231349612906,0.2736495784186417,0.08318066046895145,0.19046891794969023,51.38121546961325,111.5052314791755,98.8347685208245,39.96453646375315,94.80519480519474,94.6464089321233
2013-10-17,107.9,107.9,104.3,105.3,1147249,104.6888888888889,105.19785079690325,0.2751615705664392,0.121576842488449,0.1535847280779902,50.81967213114754,109.74224215008712,99.77775784991286,37.835684923136924,58.73015873015867,83.61088361088362
2013-10-18,106.5,107.8,106.0,106.3,512908,105.0888888888889,105.41828063752261,0.3529825151771888,0.16785797702619698,0.18512453815099184,60.233918128655,108.67276795340858,100.38723204659142,36.484922395903816,72.41379310344819,75.31638221293386
2013-10-21,106.5,106.8,105.1,105.7,286297,105.27777777777777,105.4746245100181,0.36206750009812083,0.20669988164058178,0.15536761845753905,57.95454545454547,108.53571721219106,100.42428278780892,33.725888057922106,62.0689655172414,64.40430578361608
2013-10-22,105.6,105.7,102.9,104.3,1100988,105.48888888888888,105.23969960801449,0.2533783287387763,0.2160355710602207,0.037342757678555605,60.0,108.44758906595624,100.39241093404377,27.429591761625815,32.07547169811319,55.51941010626759
2013-10-23,103.4,103.9,102.0,103.4,686013,105.38888888888889,104.87175968641161,0.0935406209359968,0.19153658103537594,-0.09799596009937914,56.98324022346371,108.08003781378979,100.38996218621018,25.94370402325956,23.728813559322106,39.2910835915589
2013-10-24,104.0,105.0,103.0,103.9,618669,105.38888888888889,104.67740774912929,0.007131697490081024,0.15465560432631698,-0.14752390683623595,51.875000000000036,107.69901411407783,100.46098588592217,27.325216744978466,32.20338983050854,29.335891695981278
