TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2014-06-09,259.5,262.7,245.11,254.45,63820,,254.45,0.0,0.0,0.0,,,,,,
2014-06-10,255.99,260.0,251.51,256.0,72120,,254.76,0.12364672364671492,0.024729344729342986,0.09891737891737193,,,,,,
2014-06-11,258.42,258.83,253.0,258.64,80100,,255.536,0.4297101484565644,0.10572550547478728,0.32398464298177715,,,,,,
2014-06-16,259.99,272.12,253.0,265.0,295000,,257.4288,1.171956875604394,0.31897177950070865,0.8529850961036854,,,,,,
2014-06-17,265.99,270.0,260.0,263.2,57790,,258.58304000000004,1.5965438341891058,0.5744861904383881,1.0220576437507178,,,,,,
2014-06-18,260.77,285.0,260.61,270.0,193370,,260.86643200000003,2.4534533449413516,0.9502796213389808,1.5031737236023708,,,,,,
2014-06-19,274.89,278.0,269.5,274.6,69640,,263.61314560000005,3.4638131799188727,1.4529863330549593,2.0108268468639134,,,,,,
2014-06-20,276.41,278.0,272.17,273.8,146170,,265.6505164800001,4.152114324930665,1.9928119314301005,2.159302393500564,,,,,,
2014-06-23,275.09,275.3,269.3,270.4,22690,265.12111111111113,266.60041318400005,4.372838990396474,2.4688173432233755,1.9040216471730984,,,,,63.39934820757075,
2014-06-24,263.64,278.89,263.64,269.99,70180,266.84777777777776,267.2783305472,4.463231944930726,2.8677002635648456,1.5955316813658804,,,,,55.18065094057932,
2014-06-25,271.81,272.96,265.01,268.0,49350,268.18111111111114,267.42266443776003,4.3244431549512115,3.159048841842119,1.1653943131090925,,,,,46.875,55.15166638271669
2014-06-26,268.62,270.9,268.19,269.13,46950,269.34666666666664,267.76413155020805,4.256566545651651,3.378552382604026,0.8780141630476255,,,,,50.406249999999986,50.82063364685977
2014-06-27,270.74,270.74,266.0,266.84,70250,269.55111111111114,267.57930524016643,3.972200922460786,3.497282090575378,0.47491883188540784,,,,,27.3599999999999,41.5470833333333
2014-06-30,266.84,272.46,261.71,269.92,87810,270.29777777777775,268.0474441921332,3.949838101756143,3.587793292811531,0.3620448089446118,,,,,38.17138171381717,38.645877237939025
2014-07-01,265.01,268.8,263.03,267.0,128320,269.96444444444444,267.83795535370655,3.654370500329321,3.6011087343150896,0.053261766014231604,65.77822479255715,,,,30.79161816065203,32.10766662482303
2014-07-02,264.02,273.45,264.02,268.98,134900,269.34,268.06636428296525,3.5391822598914473,3.5887234394303613,-0.049541179538914015,66.14427860696514,,,,42.31664726426098,37.09321571291006
2014-07-03,253.69,256.36,252.0,255.5,221270,267.3066666666666,265.55309142637225,2.333274866273257,3.3376337247989403,-1.0043588585256833,46.9239811912226,,,,13.015991074748984,28.708085499887332
