TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2015-03-30,37.0,37.34,37.0,37.34,539200,,37.34,0.0,0.0,0.0,,,,,,
2015-03-31,36.85,37.0,36.35,36.79,484000,,37.230000000000004,-0.0438746438746449,-0.008774928774928982,-0.03509971509971592,,,,,,
2015-04-01,36.0,36.45,35.805,35.825,319000,,36.949000000000005,-0.15472942589752137,-0.03796582819944746,-0.1167635976980739,,,,,,
2015-04-02,36.005,36.56,35.8,36.45,233600,,36.8492,-0.18996061493655247,-0.06836478554686846,-0.12159582938968401,,,,,,
2015-04-03,36.0,36.72,35.95,36.72,265200,,36.82336,-0.19386014350061487,-0.09346385713761775,-0.10039628636299712,,,,,,
2015-04-06,36.4,36.81,36.1,36.8,408400,,36.818688,-0.18832433091120038,-0.11243595189233428,-0.0758883790188661,,,,,,
2015-04-07,36.29,36.66,35.9,36.66,443200,,36.7869504,-0.19300910075241262,-0.12855058166434996,-0.06445851908806266,,,,,,
2015-04-08,36.7,37.49,36.7,37.49,437300,,36.927560320000005,-0.12826914435163417,-0.1284942942018068,0.00022514985017263456,,,,,,
2015-04-09,36.9,36.9,35.39,36.55,490700,36.736111111111114,36.852048256,-0.1510709546433091,-0.13300962629010726,-0.018061328353201844,,,,,55.23809523809504,
2015-04-10,35.9,36.2,34.0,35.38,559000,36.51833333333333,36.557638604800005,-0.2605473478388589,-0.1585171705998576,-0.10203017723900132,,,,,39.54154727793701,
2015-04-13,34.5,34.79,34.25,34.79,470600,36.29611111111112,36.20411088384,-0.39041577729020105,-0.20489689193792632,-0.18551888535227473,,,,,22.636103151862425,39.13858188929816
2015-04-14,33.0,34.49,33.0,34.49,509500,36.14777777777778,35.861288707072006,-0.5116469880878043,-0.26624691116790195,-0.24540007691990234,,,,,33.184855233853035,31.787501887884158
2015-04-15,33.15,34.7,33.1,34.7,458400,35.95333333333333,35.629030965657606,-0.5840458342900519,-0.3298066957923319,-0.25423913849771995,,,,,37.86191536748334,31.227624584399603
2015-04-16,33.1,34.6,33.1,34.6,452800,35.71777777777778,35.42322477252608,-0.6420899920349399,-0.3922633550408535,-0.24982663699408636,,,,,35.63474387527841,35.56050482553826
2015-04-17,33.6,34.66,33.4,34.54,379200,35.46666666666667,35.24657981802087,-0.6850352439201401,-0.4508177328167109,-0.23421751110342925,29.502196193264993,,,,34.29844097995542,35.93170007423905
2015-04-20,34.0,34.0,31.0,32.845,653100,35.042777777777786,34.7662638544167,-0.8460888145547543,-0.5298719491643196,-0.3162168653904347,25.266457680250795,,,,28.428351309707217,32.78717872164702
2015-04-21,31.2,32.5,30.8,31.98,681000,34.43055555555556,34.20901108353336,-1.0316311982194293,-0.6302237989753415,-0.40140739924408775,25.58730158730158,,,,19.34426229508197,27.357018194914872
2015-04-22,31.5,32.195,31.5,31.99,394200,33.92388888888889,33.76520886682669,-1.16444496093996,-0.7370680313682654,-0.4273769295716947,19.2837465564738,,,64.42289297619949,22.037037037036985,23.269883547275388
2015-04-23,31.205,31.205,30.41,31.0,470500,33.437222222222225,33.21216709346135,-1.3342056586732554,-0.8564955568292634,-0.477710101843992,14.16040100250629,,,68.27021129873454,13.470319634703197,18.28387298894072
2015-04-24,31.985,31.985,29.8,30.2,859500,32.92722222222222,32.60973367476908,-1.5158220952600487,-0.9883608645154205,-0.5274612307446283,12.06896551724141,39.24322652833785,30.47077347166215,70.43409147985612,8.163265306122417,14.556873992620865
2015-04-27,30.795,30.8,30.15,30.325,679300,32.46444444444444,32.152786939815265,-1.6308683393635448,-1.1168623594850455,-0.5140059798784993,13.529073114565392,39.16962112646612,29.842878873533888,71.02023141712341,10.71428571428568,10.782623551703765
2015-04-28,30.75,31.9,30.7,31.77,448900,32.138888888888886,32.076229551852215,-1.5871482361470441,-1.2109195348174453,-0.37622870132959885,19.247311827956977,38.941398092769624,29.569101907230383,69.38100735142878,40.53497942386832,19.804176814758808
2015-04-29,31.595,31.8,31.13,31.13,384700,31.75333333333333,31.886983641481773,-1.5858615656936905,-1.2859079409926943,-0.2999536247009962,19.888888888888886,38.84392627730864,29.197073722691357,67.22806769848917,27.36625514403291,26.205173427395636
2015-04-30,31.1,31.41,31.005,31.41,466700,31.40555555555555,31.79158691318542,-1.5444448117408527,-1.337615315142326,-0.20682949659852667,25.524044389642413,38.584110689807616,28.952889310192386,65.25801789338783,38.33333333333333,35.41152263374485
2015-05-05,31.0,31.94,30.41,31.21,930900,31.223888888888887,31.675269530548338,-1.5103496932679334,-1.3721621907674477,-0.13818750250048573,26.813471502590687,38.227410873148784,28.758589126851223,57.891923631220344,52.222222222222236,39.30727023319616
