TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-03-25,96.0,101.14,96.0,98.79,593680,,98.79,0.0,0.0,0.0,,,,,,
2013-03-26,98.58,99.31,97.08,97.2,1283550,,98.47200000000001,-0.12683760683761136,-0.025367521367522274,-0.1014700854700891,,,,,,
2013-03-27,97.9,98.0,95.39,96.75,1261950,,98.1276,-0.26066379331336975,-0.07242677575669176,-0.188237017556678,,,,,,
2013-03-28,96.38,98.66,95.72,98.59,1971410,,98.22008000000001,-0.21576221527229222,-0.10109386365981186,-0.11466835161248036,,,,,,
2013-03-29,98.6,99.09,98.32,98.76,782000,,98.32806400000001,-0.1645628340119174,-0.11378765773023299,-0.05077517628168442,,,,,,
2013-04-01,98.37,99.43,97.55,98.07,2279650,,98.27645120000003,-0.17761673377646048,-0.1265534729394785,-0.05106326083698198,,,,,,
2013-04-02,98.12,99.45,98.04,98.93,3555020,,98.40716096000003,-0.11721603719566076,-0.12468598579071495,0.0074699485950541905,,,,,,
2013-04-03,98.9,99.71,98.69,99.59,3757240,,98.64372876800003,-0.015908186174286243,-0.10293042586742922,0.08702223969314297,,,,,,
2013-04-04,98.86,101.13,98.5,99.91,5172930,98.51,98.89698301440004,0.08917241717492175,-0.06450985725895902,0.15368227443388077,,,,,78.60869565217385,
2013-04-05,99.88,100.84,98.4,99.38,5229210,98.57555555555557,98.99358641152004,0.1282051130505124,-0.02596686319706474,0.15417197624757714,,,,,69.5121951219512,
2013-04-08,99.97,100.78,99.83,100.43,5080400,98.93444444444444,99.28086912921604,0.24108594186415644,0.027443697815179496,0.21364224404897694,,,,,87.80487804878068,78.64192294096857
2013-04-09,101.24,102.62,100.7,102.53,6539720,99.57666666666667,99.93069530337284,0.49429928703877124,0.12081481565989785,0.3734844713788734,,,,,98.69565217391299,85.33757511488163
2013-04-10,102.79,102.79,99.81,100.56,6477440,99.79555555555555,100.05655624269829,0.5299017735768672,0.20263220724329173,0.32726956633357546,,,,,57.44274809160305,81.31442610476557
2013-04-11,100.78,100.79,99.45,100.31,9738330,99.96777777777778,100.10724499415863,0.5318136730174956,0.2684685003981325,0.2633451726193631,,,,,52.67175572519085,69.60338533023564
2013-04-12,99.67,100.14,98.2,98.34,8770130,99.99777777777778,99.75379599532693,0.37010004810042574,0.2887948099385912,0.08130523816183455,48.442906574394456,,,,6.315789473684151,38.810097763492685
2013-04-15,97.68,97.69,95.05,95.48,9476270,99.61444444444444,98.89903679626156,0.011035526605837731,0.2332429532720405,-0.22220742666620277,44.52926208651401,,,,5.555555555555637,21.514366918143548
2013-04-16,94.73,96.88,94.73,95.92,8746220,99.20666666666666,98.30322943700925,-0.23530887657774713,0.13953258730208298,-0.3748414638798301,47.35837046467219,,,,14.764267990074408,8.878537673104733
2013-04-17,96.62,96.62,93.72,94.58,12318170,98.61444444444444,97.5585835496074,-0.5325267551223902,0.005120718817188341,-0.5376474739395786,36.817882971729134,,,29.663578099814927,9.481808158765146,9.933877234798397
2013-04-18,94.7,96.49,94.26,95.35,11438210,98.16666666666667,97.11686683968594,-0.6978965829836028,-0.1354827415429699,-0.5624138414406329,39.215686274509785,,,35.088140706961326,17.971334068357155,14.072470072398902
2013-04-19,96.3,96.86,95.67,96.22,10456040,97.6988888888889,96.93749347174875,-0.7501048916157913,-0.25840717155753423,-0.49169772005825707,44.215134459036925,102.44139902134803,94.12760097865198,39.83066449710413,27.563395810363815,18.33884601249537
2013-04-22,97.21,97.95,94.79,95.1,8487550,96.87333333333332,96.569994777399,-0.8718053625770068,-0.3810868097614287,-0.4907185528155781,38.21538461538457,102.48379311843786,93.71620688156213,39.920175184311205,15.214994487320775,20.249908122013913
2013-04-23,94.44,96.5,94.05,96.46,9918070,96.41777777777777,96.54799582191922,-0.8487296020756645,-0.4746153682242759,-0.3741142338513886,40.76696165191738,102.49104507180027,93.63495492819973,43.12131096056595,38.75530410183864,27.17789813317441
2013-04-24,97.14,98.75,96.51,97.89,10809260,96.14888888888888,96.81639665753538,-0.7069040962461202,-0.5210731138286449,-0.1858309824174753,44.4075304540421,102.50603045565062,93.73396954434939,43.738300053790994,64.95327102803739,39.64118987239893
2013-04-25,98.17,99.35,93.0,96.11,17508370,95.9011111111111,96.6751173260283,-0.729725661807052,-0.5628036234243263,-0.16692203838272568,41.53288451579494,102.4655149860501,93.52648501394992,46.39617410821676,48.97637795275594,50.894984360877324
2013-04-26,95.87,96.94,95.01,95.6,12505810,95.91444444444444,96.46009386082265,-0.7799736044908911,-0.6062376196376393,-0.1737359848532518,37.13372402770376,102.41589931139416,93.26010068860583,46.018215643152374,40.94488188976373,51.62484362351902
2013-04-29,95.69,96.8,94.7,94.83,9543700,95.79333333333332,96.13407508865814,-0.8718775640923013,-0.6593656085285717,-0.2125119555637296,27.92431192660551,102.44466703211262,92.90733296788738,44.983005585303744,28.818897637795274,39.58005249343831
2013-04-30,94.8,99.3,94.65,99.3,9242730,96.31777777777778,96.76726007092651,-0.5773649676080197,-0.6429654803444613,0.06560051273644163,46.84052156469407,102.48646465587528,92.90253534412473,39.97813111411679,99.2125984251969,56.325459317585306
2013-05-02,98.75,101.29,98.75,100.84,8247370,96.92777777777778,97.58180805674122,-0.21719281973447835,-0.5578109482224648,0.34061812848798645,51.24823363165332,102.68376941231321,92.83023058768677,36.4091758459327,94.57177322074786,74.20108976124668
2013-05-03,101.64,103.0,100.33,102.92,6583590,97.67222222222222,98.64944644539298,0.23339439378163718,-0.39956987982164444,0.6329642736032817,60.73102155576381,103.27534137737243,92.53965862262757,34.25419592383826,99.20000000000002,97.66145721531494
2013-05-06,103.29,103.29,102.03,102.28,5184770,98.47,99.3755571563144,0.5327046676899272,-0.21311497031933013,0.7458196380092573,67.78242677824265,103.73525646606745,92.36974353393254,30.72739141898103,90.18464528668606,94.65213950247797
2013-05-07,102.14,105.66,101.68,105.14,7598890,99.43444444444444,100.52844572505153,0.9892844587270133,0.02736491548993855,0.9619195432370747,71.40204271123488,104.7258178715593,91.8501821284407,28.378632623362655,95.8925750394945,95.09240677539354
2013-05-08,105.37,105.83,104.23,105.81,7983670,100.31444444444445,101.58475658004123,1.3891770647107649,0.29972734533410383,1.089449719376661,76.90464781983707,105.48446786061098,91.41953213938902,29.06196367181732,99.8441153546376,95.30711189360606
2013-05-10,105.26,105.86,103.59,103.78,7276960,101.16666666666667,102.02380526403299,1.5247148378921906,0.5447248438457213,0.9799899940464694,69.04654315408946,105.98777378778853,91.23822621221147,33.06070677544963,81.44513826940232,92.3939428878448
2013-05-13,103.55,103.86,101.95,103.34,8107650,102.02666666666667,102.2870442112264,1.5784300181580875,0.7514658787081946,0.8269641394498929,66.40552995391704,106.40573570882974,91.12326429117026,36.43966057408004,77.52007136485284,86.26977499629758
2013-05-14,103.79,104.78,102.86,103.84,13107770,103.02777777777779,102.59763536898113,1.642412794512751,0.9296552618691059,0.712757532643645,70.73055028463,107.00539169687336,91.07360830312665,40.63671074005143,81.98037466547727,80.31519476657748
2013-05-15,104.33,104.39,102.4,103.22,8940580,103.46333333333332,102.72210829518491,1.6243661059642562,1.068597430688136,0.5557686752761202,66.61750245821042,107.41628894392218,91.43671105607783,44.059036543252724,62.86919831223628,74.12321478085546
2013-05-16,103.27,103.91,102.35,102.45,4241390,103.64222222222222,102.66768663614795,1.5302911664352337,1.1609361778375558,0.3693549885976779,61.58536585365854,107.67284077458234,91.83315922541766,44.51098541848457,38.33634719710677,61.06197339160678
2013-05-17,101.9,105.28,101.8,105.17,5862860,103.89222222222222,103.16814930891837,1.6561265708904216,1.259974256448129,0.3961523144422925,71.96896217264792,108.16205348721581,92.40294651278418,43.04046955822051,83.4928229665072,61.56612282528342
2013-05-20,105.66,107.13,105.23,106.49,5986790,104.36,103.8325194471347,1.8411414710089957,1.3762076993603025,0.4649337716486932,75.40830611292581,108.82519108501346,92.85380891498654,42.49954194740044,88.25688073394493,70.02868363251963
2013-05-21,106.21,109.42,105.89,108.9,7682260,104.77777777777777,104.84601555770777,2.1573652078995167,1.5324392010681454,0.6249260068313713,80.49414824447335,109.91532887393734,93.03167112606266,40.941852208028166,93.17585301837276,88.30851890627497
2013-05-22,109.18,111.42,108.93,110.73,12471940,105.32444444444444,106.02281244616623,2.526516395401785,1.7312546399348734,0.7952617554669117,77.97356828193833,111.09691810578869,93.41308189421133,41.42279205995254,92.82744282744285,91.42005885992018
2013-05-23,108.6,108.6,105.61,105.61,10928200,105.52777777777777,105.94024995693299,2.378512153183877,1.8607061425846743,0.5178060105992026,59.93336109954185,111.23294692428007,94.19205307571994,35.04665873947172,39.60498960498961,75.20276181693508
2013-05-24,106.25,106.57,102.47,102.97,17144980,105.48666666666666,105.34619996554639,2.0248505713529426,1.893535028338328,0.13131554301461446,50.10175010175009,111.17894312645531,94.75405687354468,30.0835348694942,12.162162162162174,48.198198198198206
2013-05-27,103.62,103.83,102.15,102.86,9630270,105.37777777777778,104.84895997243711,1.7159151374813604,1.8580110501669347,-0.1420959126855743,51.20632279534109,110.85845745030184,95.74954254969816,23.91552484764716,11.018711018711038,20.928620928620937
2013-05-28,103.5,104.97,103.41,104.0,8500810,105.46444444444445,104.67916797794969,1.545257288864235,1.795460297906395,-0.25020300904215986,47.446236559139784,110.35227245890462,97.09572754109539,20.181081013720956,22.86902286902289,15.34996534996536
2013-05-29,103.29,103.42,99.9,99.9,13256870,105.18111111111111,103.72333438235977,1.066875700473446,1.6497433784198052,-0.5828676779463593,38.524271844660205,109.46281004737101,98.492189952629,18.403963301818965,0.0,11.295911295911303
2013-05-30,99.67,100.92,98.83,99.98,16543730,104.60444444444445,102.97466750588782,0.6862989494496503,1.4570544926257745,-0.7707555431761242,42.01680672268908,109.38196219710427,98.64103780289572,19.000916069940626,9.134233518665651,10.667752129229507
2013-05-31,100.55,100.61,97.75,99.0,17383700,103.77222222222223,102.17973400471026,0.3021285724429532,1.2260693085892103,-0.923940736146257,41.08463434675431,109.57423802269062,98.2647619773094,20.133059900741415,9.144111192392097,6.092781570352578
2013-06-03,97.85,100.68,96.79,98.8,16609480,102.64999999999999,101.50378720376821,-0.01825709127957964,0.9772040286154523,-0.9954611198950319,39.51747088186356,109.80487189629292,97.62212810370707,23.28301414503828,13.73889268626105,10.672412465772927
2013-06-04,100.0,101.52,98.71,98.71,7214140,101.31444444444445,100.94502976301457,-0.27624292933822403,0.7265146370247171,-1.002757566362941,40.40833687792428,110.00095456379431,97.06904543620568,26.624453329821222,16.25740897544445,13.046804284699192
2013-06-05,98.32,99.28,97.3,97.5,11474200,100.41333333333334,100.25602381041166,-0.571744734890288,0.46686276264171606,-1.038607497532004,39.665970772442584,110.10421980965249,96.20178019034749,32.517914372244974,7.259713701431439,12.418671787712308
2013-06-06,97.29,98.17,96.26,96.91,9679300,99.74,99.58681904832935,-0.8438131610648014,0.20472757790041257,-1.048540738965214,31.072410632447287,110.07038405323769,95.34561594676231,39.01297103971544,7.462686567164087,10.326603081346653
2013-06-07,97.96,99.52,96.95,98.92,12679660,99.30222222222223,99.4534552386635,-0.8870141996794132,-0.013620777615552582,-0.8733934220638606,33.18525099955579,109.99726183965036,94.93273816034964,43.826225347339296,30.53960964408724,15.087336637560917
2013-06-10,99.73,100.63,97.3,97.9,10230620,98.62444444444445,99.1427641909308,-0.9921202646945204,-0.20932067503134616,-0.7827995896631743,23.958333333333343,109.98077746823428,94.40522253176574,48.037035419647005,22.905027932960913,20.302441381404076
