TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2014-06-09,647.6,649.6,625.0,648.0,52410,,648.0,0.0,0.0,0.0,,,,,,
2014-06-10,590.0,598.0,587.1,593.0,39190,,637.0,-4.38746438746432,-0.877492877492864,-3.509971509971456,,,,,,
2014-06-11,593.0,594.3,575.0,584.0,42330,,626.4000000000001,-8.492885609694781,-2.4005714239332474,-6.092314185761534,,,,,,
2014-06-16,580.2,589.9,560.0,575.4,38610,,616.2000000000002,-12.298638583126717,-4.380184855771942,-7.918453727354775,,,,,,
2014-06-17,572.1,572.2,560.0,569.5,18200,,606.8600000000001,-15.61085372090804,-6.626318628799162,-8.984535092108878,,,,,,
2014-06-18,566.4,569.7,565.0,565.0,6020,,598.488,-18.386966963091027,-8.978448295657534,-9.408518667433492,,,,,,
2014-06-19,568.7,570.0,561.2,567.6,7200,,592.3104000000001,-20.14503896807105,-11.211766430140237,-8.933272537930812,,,,,,
2014-06-20,564.2,572.9,561.8,571.0,3100,,588.0483200000001,-21.02164764470126,-13.173742673052441,-7.84790497164882,,,,,,
2014-06-23,567.3,579.4,562.0,575.8,6930,583.2555555555556,585.5986560000001,-21.08598039539777,-14.756190217521507,-6.329790177876262,,,,,17.633928571428516,
2014-06-24,579.4,588.6,576.3,585.5,22310,576.3111111111111,585.5789248000001,-20.122298300981697,-15.829411834213545,-4.292886466768152,,,,,67.10526315789474,
2014-06-25,581.6,589.9,569.9,580.1,11830,574.8777777777777,584.4831398400001,-19.568732007054678,-16.577275868781772,-2.9914561382729055,,,,,58.60058309037915,47.7799249399008
2014-06-26,581.8,588.9,580.0,588.4,12160,575.3666666666667,585.2665118720001,-18.249912466148317,-16.91180318825508,-1.3381092778932349,,,,,94.98327759197323,73.56304128008237
2014-06-27,589.0,596.8,585.1,595.0,15850,577.5444444444445,587.2132094976001,-16.4821773561373,-16.825878021831528,0.34370066569422875,,,,,95.10869565217403,82.89751877817547
2014-06-30,597.0,597.0,575.0,595.0,16560,580.3777777777779,588.7705675980801,-14.909368624862168,-16.442576142437655,1.5332075175754873,,,,,94.41340782122904,94.8351270217921
2014-07-01,597.8,597.9,593.5,597.3,8460,583.9666666666667,590.4764540784641,-13.323727953636876,-15.8188065046775,2.495078551040624,29.89690721649481,,,,98.36512261580376,95.96240869640228
2014-07-02,598.0,598.0,594.9,597.0,2350,587.2333333333333,591.7811632627713,-11.953511154772173,-15.045747434696436,3.092236279924263,52.80112044817928,,,,97.23756906077348,96.67203316593542
2014-07-03,598.9,599.0,596.1,597.6,3620,590.1888888888889,592.944930610217,-10.695893877544563,-14.175776723266063,3.4798828457215,60.79365079365083,,,,96.21621621621628,97.27296929759784
2014-07-04,597.3,598.0,592.0,597.0,22720,592.5444444444444,593.7559444881737,-9.63655391530017,-13.267932161672885,3.631378246372716,69.6363636363637,,,25.623590422613866,93.12714776632303,95.52697768110427
2014-07-07,617.1,617.1,582.5,595.9,5020,593.6999999999999,594.184755590539,-8.784517717925837,-12.371249272923476,3.5867315549976393,76.29482071713149,,,19.374873570693012,55.08474576271181,81.47603658175036
2014-07-08,598.5,618.0,588.1,618.0,15990,597.9111111111112,598.9478044724312,-6.25389656365337,-11.147778731069456,4.893882167416086,89.08554572271389,628.0004240852571,551.609575914743,17.39229360912483,100.0,82.7372978430116
2014-07-09,617.0,617.0,611.0,616.0,7590,600.9777777777776,602.358243577945,-4.359490855164722,-9.79012115588851,5.430630300723788,86.01190476190479,617.8628719469394,558.5471280530606,17.490370822640195,95.34883720930233,83.47786099067137
2014-07-10,617.5,618.0,602.3,615.1,12430,603.2111111111111,604.9065948623561,-2.897383922814015,-8.411573709273611,5.514189786459596,84.08037094281303,621.2770158955002,557.3429841044999,14.135978618387915,93.25581395348843,96.20155038759691
2014-07-11,617.9,620.0,600.0,600.0,7870,603.7666666666667,603.9252758898849,-2.9233983328207387,-7.313938633983037,4.390540301162298,66.13333333333337,622.3174133342654,557.9025866657346,12.39659486984446,46.666666666666664,78.42377260981912
2014-07-14,602.4,612.0,602.3,611.0,4540,605.2888888888889,605.3402207119079,-2.03297203487341,-6.257745314161111,4.224773279287701,66.71035386631718,624.6053529063877,559.1746470936125,10.512916654886304,76.0,71.97416020671835
2014-07-15,609.9,642.0,609.9,617.4,13040,607.5555555555555,607.7521765695263,-0.8016355104432478,-5.1665233534175385,4.364887842974291,74.12677878395858,627.1119000732793,561.4580999267208,11.616478063791217,58.65546218487391,60.440709617180175
2014-07-16,623.3,623.4,610.1,621.0,4490,610.1555555555556,610.4017412556211,0.45940177234888324,-4.0413383282642545,4.500740100613138,72.45179063360882,628.9330124142285,565.2369875857715,12.98159045699402,64.70588235294117,66.45378151260502
2014-07-17,620.0,621.0,605.2,609.0,7040,611.4888888888888,610.1213930044969,0.48489364037868654,-3.136091934535666,3.6209855749143527,58.97435897435897,628.19149065355,570.11850934645,16.893155082844363,44.53781512605042,55.96638655462183
2014-07-18,606.4,607.5,595.0,597.0,2980,611.6111111111111,607.4971144035975,-0.457924909060921,-2.600458529440717,2.142533620379796,51.11111111111111,626.3411861149718,574.5688138850282,18.26425885988873,16.51205936920219,41.91858561606458
2014-07-21,596.0,598.5,575.0,580.0,10300,607.3888888888889,601.9976915228781,-2.5475072494018605,-2.589868273432946,0.04236102403108566,41.73829990448905,625.7652432363977,575.5647567636024,18.782637083303644,7.462686567164179,22.83752035413892
2014-07-22,584.4,585.3,576.0,582.9,21060,603.7111111111112,598.1781532183026,-3.9242739576529857,-2.8567494102769544,-1.0675245473760313,43.4296365330848,625.9903706462283,575.0796293537719,19.301015306718554,11.791044776119369,11.921930237495237
2014-07-23,578.2,585.8,577.1,583.3,1900,600.1777777777778,595.2025225746421,-4.926307430412066,-3.270661014303977,-1.6556464161080893,43.3239962651727,625.6447579357524,575.7452420642475,18.241376608521172,12.38805970149247,10.547263681591996
2014-07-24,584.6,585.5,572.2,574.8,3250,597.3777777777777,591.1220180597137,-6.333298812996418,-3.8831885740424656,-2.450110238953952,40.3478260869565,627.0314296990596,572.9985703009406,19.64901279652799,3.72492836676205,9.301344281457952
2014-07-25,572.5,573.4,536.0,536.0,19810,589.0444444444444,580.097614447771,-10.458624838519768,-5.198275826937927,-5.260349011581841,30.386378519973803,636.4435554785719,557.6864445214283,24.29386518159503,0.0,5.3709960227514975
2014-07-28,536.0,536.0,500.0,500.0,24050,576.0,564.0780915582168,-16.443326142408296,-7.447285890032001,-8.996040252376295,14.585834333733473,650.9517685976894,533.6782314023108,31.150321670596213,0.0,1.2416427889206738
2014-07-29,503.3,503.5,486.5,493.5,14170,561.8333333333334,549.9624732465735,-21.463324871752093,-10.25049368637602,-11.212831185376073,14.20222092343657,660.4413548925944,513.8086451074056,38.10695154045496,5.204460966542751,1.7348203221809075
2014-07-30,493.5,518.5,493.5,515.0,15980,551.3888888888889,542.9699785972589,-23.436676299337705,-12.887730208968357,-10.548946090369348,23.891497130933743,662.8945218861098,503.15547811389007,42.77939278401034,23.553719008264462,9.586059991602395
2014-07-31,516.0,557.9,510.0,535.4,16170,544.5444444444445,541.4559828778072,-23.08831429759607,-14.9278470266939,-8.16046727090217,33.60406091370557,662.2022830233713,497.6277169766286,45.0744582422178,43.66071428571427,24.139631420173817
2014-08-01,496.6,541.9,496.6,535.0,13440,539.5444444444444,540.1647863022458,-22.58417524440722,-16.459112670236564,-6.125062574170656,29.61373390557938,661.0408186443788,492.5891813556212,46.66763849509943,48.84189325276941,38.68544218224937
2014-08-04,539.9,540.1,531.0,536.0,4320,534.3333333333334,539.3318290417967,-21.852052906502422,-17.537700717489734,-4.314352189012688,27.513812154696126,659.4368601202011,488.20313987979875,48.26081874798106,49.848942598187335,47.45051671222367
2014-08-05,543.4,543.4,522.0,522.7,4190,527.5999999999999,536.0054632334375,-22.09039520123224,-18.448239614238236,-3.6421555869940043,24.226533822758242,654.9263229504654,483.1836770495344,51.08148564763603,36.56565656565661,45.085497472204445
2014-08-06,519.7,529.8,517.4,521.5,4780,521.6777777777778,533.1043705867501,-22.12111471760204,-19.182814634910997,-2.9383000826910433,25.680933852140058,649.7233092411687,478.93669075883116,53.170576536547124,40.27617951668586,42.23025956017659
2014-08-07,523.0,523.0,508.1,516.0,5450,519.4555555555556,529.6834964694001,-22.33183667808987,-19.812619043546775,-2.5192176345430966,26.64359861591693,643.8601123602632,474.8898876397368,50.58741165013859,41.316526610644274,39.38612089766224
2014-08-08,525.0,525.0,505.3,511.0,7950,520.6777777777778,525.9467971755201,-22.6412987647617,-20.37835498778976,-2.262943776971941,28.624535315985113,639.7752550937454,470.0747449062545,40.27737412705703,34.31372549019609,38.635477205842065
2014-08-11,511.0,540.0,509.9,527.9,21290,524.5,526.3374377404161,-21.277586168681182,-20.558201223968048,-0.7193849447131342,34.32155074116305,632.1251046501175,469.4148953498825,32.73019030208723,53.416149068322966,43.01546705638776
2014-08-12,526.2,527.9,513.2,515.8,6310,524.588888888889,524.2299501923329,-20.93191292481538,-20.632943564137516,-0.2989693606778623,31.961517904863697,622.0627948256031,469.3172051743968,26.462873591475923,31.32137030995097,39.683748289490005
2014-08-13,526.8,531.9,507.3,517.6,6360,522.6111111111111,522.9039601538664,-20.278956247429846,-20.562146100795985,0.2831898533661388,34.14634146341466,609.020775254929,472.0192247450709,26.042267007727354,44.87179487179492,43.20310475002294
2014-08-14,512.7,545.5,512.7,530.0,25900,522.0555555555555,524.3231681230932,-18.54710749737069,-20.159138380110928,1.612030882740239,48.051948051948045,597.090204542737,476.049795457263,23.616134911516337,61.44278606965174,45.87865041713254
2014-08-15,525.9,531.9,521.4,529.5,10370,521.3333333333334,525.3585344984746,-17.018768932539388,-19.53106449059662,2.5122955580572324,62.447257383966246,586.6408693199802,479.74913068001973,21.190002815305313,60.199004975124375,55.504528638857
2014-08-18,534.0,536.5,525.0,527.9,3110,521.911111111111,525.8668275987797,-15.755041920975941,-18.775859976672486,3.0208180556965445,65.14084507042253,579.2992296452279,481.8807703547719,20.574983373183304,56.21890547263674,59.28689883913761
2014-08-19,525.0,540.0,522.1,538.7,12530,523.8222222222222,528.4334620790237,-13.723859311677302,-17.76545984367345,4.041600531996149,61.516034985422756,570.686032915562,486.07396708443804,20.797176068137095,83.08457711442797,66.50082918739635
2014-08-20,542.1,553.6,536.6,544.0,18020,526.9333333333333,531.546769663219,-11.553287645569526,-16.523025404052667,4.9697377584831415,54.8974943052392,560.9101728125604,491.91982718743975,25.936089902047158,80.12422360248443,73.1425687298497
2014-08-21,544.4,557.3,544.3,557.2,9990,532.0666666666667,536.6774157305753,-8.668044458213558,-14.952029214884847,6.283984756671289,61.03379721669981,555.4233025877838,495.6466974122161,33.417239209250496,99.80000000000018,87.66960023897086
2014-08-22,559.0,563.9,555.0,562.9,7180,535.9555555555556,541.9219325844603,-5.8540443033539304,-13.132432232578664,7.278387929224733,62.77302943969609,560.8882714396918,492.8717285603079,37.703912670394914,98.23321554770318,92.71914638339592
2014-08-25,512.5,570.8,512.5,569.0,5310,541.8666666666667,547.3375460675682,-3.096020885120879,-11.125149963087107,8.029129077966228,73.598369011213,566.7693714198483,493.89062858015154,35.92319547614388,97.16535433070874,98.39952329280402
