TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2014-06-09,8200.0,8200.0,8018.1,8020.0,213,,8020.0,0.0,0.0,0.0,,,,,,
2014-06-10,8093.3,8097.7,8026.7,8096.4,408,,8035.28,6.094586894586428,1.2189173789172856,4.875669515669142,,,,,,
2014-06-11,8019.1,8100.1,7955.0,8015.3,336,,8031.284000000001,4.33057848556291,1.8412496002464107,2.489328885316499,,,,,,
2014-06-16,7900.0,8335.0,7557.8,8000.0,1836,,8025.0272,1.6786564729609381,1.808730974789316,-0.130074501828378,,,,,,
2014-06-17,7602.5,8137.8,7602.5,7927.4,53,,8005.501760000001,-6.209643183328808,0.20505614316569143,-6.4146993264945,,,,,,
2014-06-18,7779.6,7852.0,7733.8,7777.7,486,,7959.9414080000015,-24.261050114229874,-4.688165108313422,-19.572885005916454,,,,,,
2014-06-19,7849.9,7890.0,7708.9,7710.1,81,,7909.973126400002,-43.52000369126927,-12.454532824904591,-31.065470866364677,,,,,,
2014-06-20,7792.8,7792.8,6830.1,7081.0,869,,7744.178501120002,-108.29758836055953,-31.623143932035582,-76.67444442852394,,,,,,
2014-06-23,7122.5,7391.8,7050.0,7297.7,929,7769.511111111112,7654.882800896002,-140.52848702327265,-53.404212550283,-87.12427447298964,,,,,31.071832015416277,
2014-06-24,8294.4,8294.4,7100.0,7385.0,943,7698.955555555556,7600.906240716802,-157.21504880148677,-74.16637980052376,-83.04866900096302,,,,,36.872881919064376,
2014-06-25,7350.1,7427.2,7331.2,7331.2,170,7613.9333333333325,7546.964992573442,-172.788679268162,-93.89083969405141,-78.8978395741106,,,,,33.297893547744,33.74753582740822
2014-06-26,7351.0,7392.8,7300.0,7310.0,435,7535.5666666666675,7499.571994058754,-184.71230793272935,-112.05513334178698,-72.65717459094236,,,,,31.889162070569455,34.01997917912595
2014-06-27,7406.0,7469.3,7338.0,7469.3,814,7476.600000000001,7493.517595247004,-179.24150636869763,-125.49240794716911,-53.749098421528515,,,,,43.652257051150734,36.2797708898214
2014-06-30,7399.2,7472.1,7329.1,7400.0,145,7418.0,7474.814076197603,-178.44083270606643,-136.0820928989486,-42.35873980711784,,,,,38.91962029638735,38.153679806035846
2014-07-01,7400.2,7480.1,7354.1,7400.0,509,7376.033333333334,7459.851260958083,-175.7800105178958,-144.02167642273804,-31.75833409515775,31.758267623867255,,,,38.91962029638735,40.49716588130848
