TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-09-27,35.401,37.347,35.399,36.8,1252700,35.14,35.17409006382081,0.73378051697064,0.4515769502375614,0.28220356673307856,76.68851959140103,36.378310624318885,31.65348937568112,63.27560802156496,86.86989918386934,95.4856060962869
2013-09-30,36.987,37.55,35.671,36.0,665100,35.39022222222222,35.33927205105665,0.7681051988779117,0.5148825999656315,0.2532225989122803,71.14568599717111,36.63526061615787,31.69653938384213,69.9214594615543,57.68495768495772,81.51828562294236
2013-10-01,35.559,36.95,35.559,36.255,492600,35.51855555555555,35.522417640845326,0.806586300669899,0.573223340106485,0.233362960563414,73.29080571349323,36.911229802489466,31.726270197510537,70.11026024850955,60.018524235875404,68.19112703490082
2013-10-02,36.3,39.5,36.3,38.502,2876100,35.89666666666667,36.118334112676266,1.0067913086189506,0.6599369338089782,0.3468543748099724,79.41207910208439,37.726484832241056,31.428515167758945,71.93893098723109,80.76700713046834,66.15682968376716
2013-10-03,38.799,40.989,38.6,39.0,1938800,36.39555555555555,36.69466729014101,1.1919001745776825,0.766329581962719,0.42557059261496344,83.1619806966009,38.517557229378205,31.203442770621795,77.09509238321861,69.34812760055482,70.04455298896617
2013-10-04,38.941,38.942,37.751,38.7,725600,36.79388888888889,37.09573383211281,1.2994139564589915,0.8729464568619736,0.4264674995970179,79.42764578833693,39.074516952099046,31.210383047900944,79.62684398572705,62.943176299174446,71.01943701006586
2013-10-07,38.7,38.7,37.6,37.652,905600,37.09966666666667,37.20698706569026,1.2852391250958206,0.9554049905087431,0.32983413458707755,69.8980632008155,39.34408287356286,31.376117126437144,79.91274972701936,45.49166938908859,59.26099109627262
2013-10-08,37.621,37.85,37.518,37.777,714400,37.354000000000006,37.32098965255221,1.2694583982432377,1.018215672055642,0.2512427261875958,65.59478037982056,39.56076694446837,31.63613305553163,78.77073369358934,46.15255658005032,51.52913408943778
2013-10-09,37.6,37.776,36.997,37.0,868400,37.52066666666667,37.25679172204177,1.1806449125525376,1.050701520155021,0.12994339239751662,60.155999572603925,39.59820994397521,32.00909005602478,76.38836948253143,28.64042933810376,40.094885102414224
2013-10-10,37.0,37.097,36.75,36.88,1944900,37.52955555555556,37.18143337763342,1.0880344048170656,1.0581680970874299,0.02986630772963572,63.32958380202477,39.579323101626606,32.41607689837338,70.95195873503785,24.327808471454976,33.04026479653635
2013-10-11,36.997,36.997,34.75,34.75,2621700,37.39066666666667,36.69514670210674,0.8331625323198466,1.0131669841339133,-0.18000445181406666,48.247719635141614,39.38618731521865,32.816412684781355,61.65679375639844,0.0,17.656079269852906
2013-10-14,34.771,35.49,34.752,34.823,929400,37.23155555555556,36.320717361685396,0.6298052244394654,0.9364946321950237,-0.3066894077555583,49.62523118855252,39.24538462875301,33.114515371247,54.23650766610541,1.1700593043757082,8.499289258610224
2013-10-15,35.393,35.398,34.777,35.0,1490900,36.842444444444446,36.056573889348314,0.4774220889270282,0.8446801235414246,-0.36725803461439643,47.525856824173594,39.14571527622056,33.339384723779446,49.887710109021846,4.007052412245554,1.725703905540416
2013-10-16,34.999,35.01,34.855,34.999,530500,36.39788888888889,35.845059111478655,0.3525131127970411,0.746246721392548,-0.3937336085955069,47.45711095320273,39.1493717799996,33.3256282200004,50.2658457651885,5.939885496183262,3.705665737601503
2013-10-17,34.126,35.469,34.126,35.1,468400,35.997888888888895,35.69604728918293,0.25868969146674203,0.6487353154073868,-0.3900456239406448,40.17568192325476,39.14933950041671,33.32576049958329,50.70474388803559,21.2942719720158,10.413736626814867
2013-10-18,35.1,35.398,35.003,35.244,1079000,35.730333333333334,35.60563783134634,0.1937204617467927,0.557732344675268,-0.3640118829284753,45.27263631815908,39.11191901189212,33.436580988107885,51.43792201770645,30.0214822771214,19.08521324844015
2013-10-21,35.418,35.48,35.0,35.003,366500,35.42211111111111,35.485110265077076,0.1213859317753645,0.4704630620952873,-0.3490771303199228,42.15735404660484,39.11637576111649,33.420924238883515,52.10604817045827,24.027397260274004,25.114383836470395
2013-10-22,35.39,35.39,34.96,34.96,270000,35.19544444444445,35.380088212061665,0.059900064341618986,0.3883504625445537,-0.3284503982029347,19.34925579785387,39.11342507721386,33.42987492278614,53.6125549652068,28.07135644564127,27.373411994345556
2013-10-23,34.951,34.981,34.58,34.85,790600,34.96988888888889,35.27407056964933,0.0022698255904884945,0.31113433515374067,-0.3088645095632522,11.502782931354332,39.13243171880626,33.34706828119374,57.38487088471324,25.217694183211535,25.7721492963756
2013-10-24,34.656,35.0,34.656,34.9,1112900,34.986555555555555,35.199256455719464,-0.03891933383663826,0.2411236013556649,-0.28004293519230317,13.035019455252822,39.14683899028311,33.27266100971689,61.120099723579884,56.7448680351905,36.67797288801443
2013-10-25,34.946,35.0,34.58,34.95,1977500,35.00066666666667,35.149405164575576,-0.06675791362898309,0.1795472983587353,-0.2463052119877184,17.38290680830515,39.092349671041575,33.14215032895842,65.00503728645323,60.856720827179146,47.60642768186039
2013-10-28,34.95,35.799,34.95,35.25,37784000,35.028444444444446,35.16952413166047,-0.0638763688665378,0.1308625649136807,-0.1947389337802185,20.731989807736795,39.079874058838435,33.079625941161574,60.654150182599146,67.1846981470413,61.59542900313698
2013-10-29,35.224,36.153,35.011,36.153,31713200,35.156666666666666,35.36621930532838,0.011143375535574762,0.10691872703805952,-0.09577535150248476,40.468152149448535,39.07386633799655,33.07543366200346,51.37537123363996,100.0,76.01380632474014
2013-10-30,36.157,38.081,36.053,37.4,29626300,35.41222222222222,35.772975444262705,0.16926832199835218,0.11938864603011806,0.049879675968234116,54.667863554757595,38.86768782006864,33.17141217993135,50.79785348959203,80.54841473864599,82.57770429522908
2013-10-31,37.4,37.635,36.032,36.219,5338300,35.52055555555555,35.86218035541017,0.19701557837804273,0.13491403249970302,0.062101545878339715,65.89482795931622,38.36419304824384,33.396806951756155,50.2024206008644,46.81519565838334,75.7878701323431
2013-11-01,36.511,36.8,35.7,35.951,4123000,35.625888888888895,35.87994428432813,0.19513077265412448,0.14695738053058732,0.04817339212353716,61.71096345514954,37.84462900286027,33.64147099713972,48.399900957191505,39.16023993144817,55.50795010949249
2013-11-05,36.005,36.36,35.192,35.2,4857100,35.65255555555555,35.74395542746251,0.1315215285951652,0.1438702101435029,-0.012348681548337709,51.85528756957332,37.53049055895212,33.71040944104788,45.15101464601774,17.709225935447122,34.56155384175953
2013-11-06,35.257,36.043,35.257,36.0,4257500,35.78033333333334,35.79516434197001,0.14400406924874432,0.1438969819645512,0.00010708728419311919,58.08692842139279,37.16446476057138,33.89873523942863,43.248577290691024,40.55984004570122,32.47643530419882
2013-11-07,35.75,36.1,35.695,36.1,3862900,35.91366666666667,35.856131473576006,0.16011997353005114,0.1471415802776512,0.012978393252399939,58.08015513897868,36.99384948516373,33.97935051483628,45.407780700281414,43.41616680948304,33.895077596877115
2013-11-08,36.0,36.116,35.828,36.1,1820100,36.041444444444444,35.90490517886081,0.1709216652201917,0.1518975972661593,0.019024067954032386,57.08140304434153,36.83895154284943,34.05624845715059,47.602297966969296,36.72947939955281,40.235162084912346
