TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2014-07-08,14.19,14.19,13.64,13.7,335830,14.027777777777779,13.946172799255546,-0.09840261948730067,-0.04352924783887051,-0.05487337164843016,36.7741935483871,14.51098159149348,13.699018408506522,53.38447174521505,28.915662650602282,24.843033466290464
2014-07-09,13.79,13.99,13.48,13.55,199920,13.95,13.866938239404439,-0.1263924242677188,-0.06010188312464017,-0.06629054114307863,33.52941176470591,14.541650166203482,13.600349833796514,56.432895981390615,11.11111111111111,27.199935823192845
2014-07-10,13.55,13.75,12.91,12.91,427280,13.806666666666667,13.675550591523553,-0.19793552004419546,-0.08766861050855124,-0.11026690953564422,24.56896551724138,14.693997753062078,13.312002246937922,56.778658059701,0.0,13.342257920571136
2014-07-11,13.0,13.13,12.23,12.61,238320,13.626666666666667,13.462440473218843,-0.2756637515494802,-0.12526763871673705,-0.15039611283274315,21.839080459770116,14.84611128269026,13.000888717309742,58.09335715710516,19.095477386934622,10.068862832681916
2014-07-14,12.65,12.8,12.5,12.8,52650,13.47111111111111,13.329952378575076,-0.3182637762154492,-0.1638668662164795,-0.1543969099989697,22.13740458015272,14.905705675662997,12.813294324337004,59.707585565591884,28.787878787878796,15.96111872493781
2014-07-15,13.23,13.3,12.71,13.2,84080,13.360000000000001,13.303961902860062,-0.3161040943871871,-0.19431431185062104,-0.12178978253656608,31.77257525083614,14.890777440163927,12.735222559836071,59.58633336100627,48.98989898989892,32.291085054904116
2014-07-16,13.25,13.44,13.02,13.1,91890,13.244444444444445,13.263169522288049,-0.31878691808997495,-0.21920883309849182,-0.09957808499148313,31.14754098360656,14.875747974456532,12.649252025543467,61.83747194265883,44.38775510204079,40.721844293272845
2014-07-17,13.03,13.03,12.65,12.86,18100,13.173333333333334,13.182535617830439,-0.336401245286293,-0.24264731553605207,-0.09375392975024094,29.320987654321,14.870011246009824,12.529988753990175,60.58254347583446,32.14285714285711,41.84017041159894
2014-07-18,12.79,12.79,12.25,12.61,130270,13.037777777777778,13.068028494264352,-0.3663110316049316,-0.267380058749828,-0.0989309728551036,26.58959537572254,14.876589755612164,12.375410244387835,54.03813498967841,19.387755102040774,31.972789115646233
2014-07-21,12.66,12.72,12.27,12.32,128940,12.884444444444446,12.918422795411482,-0.40870404331776733,-0.2956448556634159,-0.11305918765435141,24.731182795698928,14.897064693863117,12.178935306136884,54.65517113461502,5.113636363636356,18.88141620284475
2014-07-22,12.42,12.6,12.32,12.54,12360,12.772222222222222,12.842738236329186,-0.4197104878982785,-0.32045798211038845,-0.09925250578789002,28.934010152284245,14.836144805323936,12.06785519467606,54.226503837958084,20.394736842105186,14.965376102594112
2014-07-23,12.54,12.55,12.31,12.41,68920,12.716666666666665,12.756190589063351,-0.433921115556533,-0.3431506087996174,-0.09077050675691561,28.428927680797983,14.757783441897534,11.958216558102468,50.90229292754029,14.876033057851227,13.461468754530927
2014-07-24,12.43,12.43,12.2,12.33,32970,12.685555555555554,12.670952471250683,-0.4464915945986814,-0.3638188059594302,-0.08267278863925115,33.04347826086955,14.667546906105638,11.856453093894363,44.08606169063169,10.483870967741996,15.251546955899473
2014-07-25,12.34,12.48,12.1,12.25,52050,12.624444444444443,12.586761977000545,-0.45763380359638894,-0.38258180548682197,-0.07505199810956698,25.312499999999986,14.566610814751128,11.762389185248873,37.43841640662278,11.194029850746297,12.184644625446511
2014-07-28,12.23,12.28,12.0,12.12,34970,12.504444444444443,12.493409581600437,-0.4715186248499066,-0.4003691693594389,-0.0711494554904677,25.312499999999986,14.440926953664022,11.67707304633598,40.08116332020303,8.333333333333282,10.003744717273863
2014-07-29,12.11,12.44,12.07,12.21,56740,12.405555555555557,12.436727665280351,-0.46984412725821834,-0.4142641609391948,-0.05557996631902351,28.662420382165607,14.280751002090923,11.638248997909077,43.46459980708778,20.388349514563203,13.305237566214265
2014-07-30,12.3,12.48,12.21,12.36,25340,12.350000000000001,12.42138213222428,-0.45121203795124565,-0.421653736341605,-0.029558301609640625,39.62264150943395,14.0765339771465,11.658466022853496,45.2547776751409,45.56962025316454,24.76376770035368
2014-07-31,12.4,12.44,12.24,12.4,11410,12.326666666666666,12.417105705779425,-0.42828134646628335,-0.4229792583665407,-0.005302088099742641,45.606694560669474,13.845868233844127,11.715131766155872,42.0525974673398,55.55555555555556,40.50450844109444
2014-08-01,12.31,12.39,12.13,12.3,7650,12.324444444444445,12.393684564623541,-0.41341221386163873,-0.42106584946556036,0.007653635603921627,39.130434782608674,13.749806869489799,11.6911931305102,38.92600404037086,50.00000000000015,50.375058602906755
2014-08-04,12.35,12.35,11.77,12.08,69090,12.273333333333333,12.330947651698834,-0.4146012157940504,-0.4197729227312584,0.005171706937207976,23.58490566037736,13.55736265382663,11.708637346173369,38.930823782032675,39.74358974358975,48.4330484330485
