TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-05-02,44.5,44.59,44.29,44.42,1180540,44.26888888888889,44.51935220519461,-0.8173390790406359,-0.9348154351047891,0.1174763560641533,40.09077155824511,48.43154258088246,41.834457419117534,62.429214590739065,23.128119800332797,48.43988028741055
2013-05-03,44.36,44.8,44.26,44.55,910300,44.39,44.525481764155685,-0.7640549098805707,-0.9006633300599456,0.1366084201793749,41.867469879518026,47.94165459851035,41.966345401489654,62.03646588472561,18.511796733212275,25.76989948833641
2013-05-06,45.0,46.8,45.0,46.1,1484670,44.66222222222222,44.84038541132455,-0.589954151594128,-0.8385214943667821,0.24856734277265413,53.12883435582821,47.631313377796914,42.11768662220308,63.27240809322651,45.353159851301186,28.997692128282086
2013-05-07,46.2,47.2,46.2,47.2,838770,45.02333333333333,45.31230832905965,-0.3590780116079557,-0.7426327978150169,0.3835547862070612,76.58674188998593,47.548513309439215,42.16648669056079,65.1523658525035,63.49206349206356,42.45234002552568
2013-05-08,47.6,48.7,47.2,48.7,354300,45.48777777777778,45.98984666324772,-0.05444197017596508,-0.6049946322872066,0.5505526621112415,80.67520372526197,47.899501421281826,41.93749857871818,69.9520061838137,93.25396825396832,67.36639719911102
2013-05-10,47.8,49.13,47.8,48.6,444110,45.974444444444444,46.511877330598175,0.17687620439526341,-0.4486204649507126,0.625496669345976,87.83269961977186,48.29200405549932,41.708995944500685,75.55407310702728,89.66861598440543,82.13821591014577
2013-05-13,48.84,49.1,48.74,48.74,168070,46.425555555555555,46.957501864478544,0.3672608003767692,-0.2854442118852163,0.6527050122619855,86.66666666666666,48.83482467152365,41.467175328476344,80.96575338732025,92.39766081871345,91.77341501902907
2013-05-14,48.76,49.25,48.76,48.87,349280,46.89888888888889,47.34000149158284,0.5226075829790702,-0.12383385291235899,0.6464414358914292,86.55462184873949,49.35324022214417,41.27275977785583,86.36341541478798,92.76190476190472,91.60939385500787
2013-05-15,50.08,50.26,49.53,50.26,325170,47.49333333333333,47.92400119326627,0.7492455741007689,0.05078203249026658,0.6984635416105023,88.33535844471444,50.15410138535397,40.938898614646035,89.66082218919135,100.0,95.05318852687272
2013-05-16,49.97,50.27,49.95,50.27,192490,48.14333333333333,48.39320095461302,0.9190702614570725,0.22443967828362776,0.6946305831734447,87.48370273794002,50.83739791027415,40.93960208972587,91.12940714593694,99.99999999999999,97.58730158730157
2013-05-17,50.12,50.12,49.3,49.3,63000,48.67111111111112,48.57456076369042,0.964271138884861,0.37240597040387446,0.5918651684809866,80.4556354916067,51.212565940747666,41.15143405925234,90.41011550164242,81.59392789373804,93.86464263124601
2013-05-20,49.2,49.21,48.47,48.72,111000,48.96222222222222,48.60364861095234,0.9424282805860074,0.4864104324403011,0.4560178481457063,73.87706855791961,51.34614380327785,41.62685619672215,85.10659895864742,61.91646191646181,81.17012993673329
2013-05-21,50.74,51.53,50.26,51.4,1516310,49.42888888888889,49.16291888876188,1.1283641804306654,0.614801182038374,0.5135629983922915,80.66847335140018,51.99298045561539,41.77401954438461,81.59694584296699,96.99769053117777,80.16936011379255
2013-05-22,51.44,54.2,51.44,53.75,364310,49.989999999999995,50.080335111009504,1.4486459916430832,0.7815701439593159,0.6670758476837673,83.6890243902439,53.11195230746176,41.66504769253824,78.65062405649648,92.96874999999996,83.96096748254651
2013-05-23,53.6,53.94,53.55,53.85,883050,50.57333333333334,50.83426808880761,1.6910474563634281,0.9634656064401383,0.7275818499232898,87.03849175176745,54.05008661873128,41.71691338126873,75.43716917306506,93.891797556719,94.61941269596558
2013-05-24,53.93,53.94,53.25,53.32,192550,51.08222222222222,51.331414471046095,1.8194127354877594,1.1346550322496627,0.6847577032380967,83.39680121858336,54.730694229515485,41.916305770484506,71.57962860071238,84.6422338568935,90.50092713787082
2013-05-27,53.44,53.44,52.97,53.29,50000,51.57333333333333,51.72313157683688,1.8968566124599562,1.2870953482917216,0.6097612641682346,80.96468561584837,55.24492604846567,42.30907395153433,67.01344452866856,84.11867364746941,87.5509016870273
