TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-08-21,297.0,298.4,297.0,298.4,540,288.3666666666667,288.41406088626456,6.720549883231229,5.2848102715230265,1.4357396117082022,68.696454461579,299.44500705498496,260.01599294501506,29.439493682035213,43.822899309688104,45.61238166262544
2013-08-22,303.3,338.0,295.65,303.27,2570,290.73,291.38524870901165,7.574854662630798,5.742819149744582,1.8320355128862165,68.88510415301975,302.7354868084237,260.5395131915763,37.0987619163442,38.31261101243337,39.00174993369312
2013-08-23,297.75,297.75,296.01,296.01,200,291.78777777777776,292.3101989672093,7.578713339794206,6.109997987754507,1.4687153520396983,58.66986538717845,303.1292488521269,263.5967511478731,44.39432974434483,24.856836077308497,35.66411546647666
2013-08-26,303.32,303.33,298.0,300.0,300,293.77444444444444,293.8481591737675,7.813660014611173,6.45073039312584,1.3629296214853328,65.74010680542241,304.910663310484,264.815336689516,50.75051172820046,31.40794223826712,31.525796442669662
2013-08-27,299.0,299.57,293.51,293.51,2940,294.6977777777778,293.78052733901404,7.390969688446603,6.638778252189994,0.7521914362566093,59.56627742846141,305.272088086082,266.70491191391795,55.43256598356223,19.693140794223776,25.31930636993313
2013-08-28,288.12,290.3,285.0,289.99,1070,294.65222222222224,293.02242187121124,6.694776758392379,6.649977953430471,0.04479880496190791,59.627488760436734,305.24951563585194,268.36648436414816,57.31809298426245,13.339350180505397,21.480144404332094
2013-08-29,287.0,294.98,285.02,286.01,3610,293.59888888888895,291.619937496969,5.755539827342545,6.471090328212886,-0.7155505008703411,52.67940665508485,304.2884906566025,270.92550934339744,59.826904394005915,6.1552346570396566,13.062575210589612
2013-08-30,289.9,289.9,288.0,288.0,110,293.8544444444444,290.8959499975752,5.112826678202737,6.199437598210857,-1.0866109200081207,51.04382690446563,303.7727438810925,272.79725611890746,65.86676066959876,9.747292418772526,9.747292418772526
2013-09-02,290.4,293.89,282.7,283.01,858920,293.1333333333333,289.31875999806016,4.152947980976933,5.790139674764072,-1.6371916937871394,50.61000685400959,303.77252611525984,272.7984738847402,65.08881783340794,0.5605786618444887,5.487701912552224
2013-09-03,284.02,288.35,283.2,286.0,1262180,291.75555555555553,288.6550079984481,3.5920977426265495,5.350531288336567,-1.7584335457100178,50.548998078506735,303.340863999021,274.12913600097903,62.84283503733346,5.967450271247759,5.425107117288259
2013-09-04,285.0,289.0,282.81,282.96,1144650,289.49888888888887,287.5160063987585,2.869242453404695,4.854273521350193,-1.9850310679454983,44.738330975954746,303.0429771767774,274.86302282322254,55.64556102932512,1.260300533204028,2.5961098220987586
2013-09-05,283.38,296.51,282.61,295.0,2610880,289.38666666666666,289.0128051190068,3.230660760100875,4.52955096910033,-1.2988902089994552,49.6844816484224,302.64270092136485,277.2632990786351,48.258683409492185,59.79729729729732,22.341682700583036
2013-09-06,295.03,300.89,293.97,297.1,1961150,289.06444444444446,290.63024409520546,3.6445279717847257,4.35254636963721,-0.7080183978524843,58.14751286449401,303.20064474127014,278.2153552587298,40.42361906704387,79.26695842450782,46.774852085003054
2013-09-09,297.55,300.78,297.01,300.55,1211130,289.84666666666664,292.61419527616437,4.202463502627893,4.322529796235347,-0.12006629360745436,57.937078006033616,304.47363115270366,278.34836884729623,34.9518376552735,98.14004376367629,79.06809982849381
2013-09-10,301.0,301.39,297.77,299.04,2209760,290.8522222222222,293.8993562209315,4.471245317361081,4.352272900460495,0.11897241690058635,50.51430408228869,304.97307536276764,279.54092463723225,35.322883320085964,87.48668796592136,88.29789671803515
2013-09-11,299.75,301.0,296.31,298.53,1033210,292.2433333333333,294.8254849767452,4.590191236968394,4.3998565677620745,0.1903346692063197,45.90390597995161,305.47849946550997,280.36850053449,33.766730288233106,84.77103301384442,90.13258824781401
2013-09-12,297.71,300.31,295.0,298.4,1167800,293.39888888888885,295.5403879813962,4.620702242507264,4.444025702711112,0.1766765397961514,52.35560812142714,306.04858550276344,280.5984144972365,29.789857033890257,84.07880724174646,85.44550940717075
2013-09-13,298.52,303.35,295.11,299.98,1263890,295.28444444444443,296.42831038511696,4.717989187103171,4.498818399589524,0.21917078751364727,49.97930463576161,306.58853857460645,280.50746142539356,31.911633280620876,83.75120540019284,84.20034855192792
2013-09-16,297.11,311.81,297.11,308.2,3527720,297.75111111111113,298.7826483080936,5.396171389426456,4.67828899755691,0.717882391869546,64.67532467532465,308.70710747541824,280.63889252458176,35.186961738792235,87.6369863013698,85.15566631443637
2013-09-17,308.54,308.54,305.55,307.95,1078420,300.52777777777777,300.6161186464749,5.846072871139199,4.911845772273368,0.934227098865831,69.19623770842233,310.5905201909277,280.60047980907234,42.597229337532966,86.78082191780815,86.0563378731236
2013-09-18,305.95,309.77,305.71,308.36,1689590,302.01222222222225,302.16489491717994,6.164644426656196,5.162405503149934,1.0022389235062619,75.86206896551718,312.1076230760461,280.07937692395393,49.757164701056695,80.66143497757851,85.02641439891882
2013-09-19,310.47,314.88,310.14,313.5,3059660,303.83444444444444,304.43191593374394,6.754013657597909,5.480727134039529,1.2732865235583803,77.502157031924,314.16331846642595,279.046681533574,57.324611149340654,93.05835010060365,86.8335356653301
2013-09-20,313.11,313.32,310.1,311.8,1413830,305.08444444444444,305.90553274699516,7.003188825343102,5.785219472300244,1.2179693530428581,83.42233573252838,316.2147964068614,278.5742035931386,63.37367108041344,84.5070422535212,86.07560911056778
2013-09-23,311.3,311.55,306.0,307.13,1652000,305.98333333333335,306.1504261975961,6.746067502917356,5.977389078423666,0.7686784244936895,73.60893854748596,317.0433021463297,278.45869785367023,61.89293161146275,61.01609657947685,79.52716297786723
2013-09-24,305.6,311.0,305.14,311.0,1541980,307.3688888888889,307.1203409580769,6.776458859958041,6.1372030347305415,0.6392558252274991,80.75910487055722,318.6789616778045,278.57203832219545,62.75601728005907,80.48289738430586,75.33534540576797
2013-09-25,310.85,316.46,308.9,316.32,1983000,309.36,308.9602727664615,7.147432614221088,6.339248950628651,0.8081836635924375,77.43180648481723,321.03842683639044,278.84557316360946,66.28891660225905,99.34426229508205,80.28108541962159
2013-09-26,317.9,321.3,314.62,319.5,2053420,311.5288888888889,311.0682182131692,7.61030455714257,6.5934600719314345,1.0168444852111351,78.04206309464189,323.36320963617305,279.8697903638269,66.41678439919241,92.5589086399338,90.79535610644058
2013-09-27,319.94,321.99,317.01,321.05,1417270,312.95666666666665,313.06457457053534,8.009873121458384,6.876742681836825,1.1331304396215582,76.94532071503674,325.6720250776899,280.8659749223101,64.10663198008871,94.42136498516322,95.44151197339302
2013-09-30,319.45,323.49,319.0,323.0,1174590,314.62888888888887,315.0516596564283,8.387200365620856,7.178834218593632,1.208366147027224,81.13305613305604,327.19147067365463,283.3455293263454,61.89113871327109,97.32970027247951,94.76999129919217
2013-10-01,324.62,328.48,322.0,327.96,1629450,316.8066666666666,317.63332772514264,8.982916008590053,7.5396505765929165,1.443265431997136,84.27672955974843,329.5548139228033,285.17818607719664,60.86809015735126,97.77206512425005,96.50771012729759
2013-10-02,328.0,329.21,323.51,324.0,2074890,317.9733333333333,318.9066621801141,9.031377939593426,7.837996049193019,1.1933818904004072,77.37382378100943,329.60347646114235,289.23352353885764,58.981708890433865,78.35479850436235,91.15218796703063
2013-10-03,325.5,325.69,321.01,324.24,1246790,319.3555555555556,319.9733297440913,8.985570302179042,8.067510899790223,0.9180594023888187,76.70629678555704,330.90334429556003,290.85765570443994,55.46085302670374,79.3518903199004,85.15958464950427
2013-10-04,324.04,328.75,323.34,327.92,1028910,321.66555555555556,321.56266379527307,9.140842719564546,8.282177263745087,0.8586654558194589,74.11937377690806,332.7207955802083,292.1222044197917,58.63358453723466,94.64063149148332,84.11577343858202
2013-10-07,327.91,330.91,326.6,330.06,1288290,323.78333333333336,323.2621310362185,9.329038001338802,8.491549411263831,0.8374885900749707,75.84755669862056,334.84271339137723,292.95128660862287,62.29736727377181,96.13811903680137,90.04354694939502
2013-10-08,330.03,332.5,328.0,329.97,1572640,325.29999999999995,324.6037048289748,9.362991136616813,8.665837756334428,0.6971533802823853,75.45347467608957,336.33777750920365,294.5492224907963,63.70517074084825,85.85011185682342,92.20962079503603
2013-10-09,328.84,330.5,327.5,328.9,1719110,326.34444444444443,325.4629638631799,9.19753571683043,8.772177348433628,0.4253583683968021,70.06253256904635,337.08062462600617,296.8433753739938,63.6343425425593,76.75919948353763,86.24914345905415
2013-10-10,328.74,334.44,328.74,333.73,1168470,327.75333333333333,327.1163710905439,9.348389325637868,8.887419743874476,0.46096958176339164,76.41532160925075,338.1778298761581,299.2791701238419,65.43106477734575,95.40155440414522,86.00362191483542
2013-10-11,333.77,336.51,331.0,336.21,953520,329.22111111111116,328.93509687243517,9.557879881533893,9.02151177140636,0.5363681101275333,86.97863682604272,339.3760181287715,301.70398187122845,66.99870453658643,98.06451612903219,90.07509000557168
2013-10-14,336.21,338.0,334.06,336.8,1419020,330.2033333333333,330.50807749794814,9.66015447795911,9.149240312716909,0.5109141652422018,85.7935627081021,341.19987259448277,302.74012740551717,67.3304370706899,92.93702177751625,95.46769743689788
2013-10-15,337.5,346.0,337.5,344.8,2094080,332.51444444444445,333.36646199835855,10.26837355518171,9.37306696120987,0.8953065939718403,86.77685950413223,344.3999022542668,303.2250977457332,69.48364064475817,95.19807923169272,95.39987237941371
2013-10-16,345.0,353.77,341.51,351.5,1607710,335.5433333333333,336.99316959868685,11.162352905653165,9.730924150098529,1.4314287555546361,87.87878787878788,348.67127500595706,303.267724994043,75.578330710604,92.54025632599415,93.5584524450677
2013-10-17,353.47,353.5,339.0,343.0,1641740,337.21888888888884,338.19453567894953,11.057495098693153,9.996238339817454,1.0612567588756985,72.3114454157349,350.56454049805325,304.32445950194676,76.3824618436024,60.36069193963932,82.69967583244207
2013-10-18,344.08,349.51,337.59,348.5,1759270,339.2677777777778,340.2556285431596,11.288076644821956,10.254606000818356,1.0334706440036001,74.17519908987485,352.98953116604406,305.5694688339559,75.17039821238377,79.93909402360111,77.61334742974486
2013-10-21,349.04,349.8,340.35,341.0,1213640,340.49333333333334,340.4045028345277,10.741802053956235,10.352045211445931,0.3897568425103035,61.79450072358901,352.78413872844845,309.1618612715516,74.17833844916446,51.38941758660072,63.89640118328038
2013-10-22,339.01,348.88,338.6,345.39,1440030,342.3255555555555,341.40160226762214,10.54159487246369,10.389955143649484,0.15163972881420662,69.1976305869682,353.2607073266395,312.1242926733605,73.62992593401192,66.52017578905311,65.94956246641831
