TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-09-25,950.2,959.8,940.4,955.2,3863,958.1444444444446,951.372286843912,59.90464504870988,70.05299583647442,-10.148350787764542,52.654867256637196,1199.0037380484187,707.3062619515813,50.56440898019478,83.39787028073575,82.09099709583738
2013-09-26,957.4,979.0,948.2,976.3,9472,961.1777777777778,956.3578294751296,58.111173808972694,67.66463143097408,-9.553457622001389,58.85005636978579,1161.626365424014,779.923634575986,46.461774213980995,76.51245551601417,81.47381947339228
2013-09-27,966.2,979.6,958.9,976.7,17451,961.1555555555556,960.4262635801038,56.07570575722457,65.34684629622419,-9.271140538999617,63.55366889023651,981.5383706538933,920.5016293461065,40.86270312436857,85.60157790927032,81.83730123534008
2013-09-30,972.9,978.8,968.8,969.3,3953,961.9666666666667,962.2010108640831,53.25161305847928,62.927799648675204,-9.676186590195925,55.968688845401154,982.8475495169631,923.1324504830371,36.820963962899214,71.00591715976326,77.70665019501591
2013-10-01,967.0,997.8,966.7,988.9,3622,965.7333333333333,967.5408086912664,51.99568159298394,60.74137603753695,-8.74569444455301,65.71072319201991,987.5380006924989,924.5319993075012,36.026632402906415,86.20155038759692,80.93634848554349
2013-10-02,986.0,993.6,954.7,966.0,9962,966.6333333333334,967.2326469530133,48.592365697305354,58.31157396949064,-9.719208272185284,58.523042754025546,988.0137211842992,926.8862788157008,32.51649730216627,50.69767441860472,69.30171398865497
2013-10-03,966.7,978.6,959.8,964.0,8087,966.5222222222224,966.5861175624107,45.212646796733225,55.69178853493916,-10.479141738205932,54.45368171021377,988.5784758714236,928.0415241285765,28.77084813278829,47.59689922480627,61.498708010335974
2013-10-04,969.7,977.7,960.2,977.6,4240,970.1666666666666,968.7888940499286,43.134375329940326,53.1803058939394,-10.045930563999072,50.22712524334848,990.6924243679558,929.1975756320443,28.261529966040598,64.80836236933808,54.36764533758302
2013-10-07,979.8,981.8,967.0,967.1,2162,971.2333333333333,968.451115239943,40.17693329379267,50.579631373910054,-10.402698080117382,51.70340681362726,989.6071392488128,933.7928607511873,28.183819753669347,46.515679442508805,52.973647012217725
2013-10-08,971.5,1005.7,968.2,983.6,26794,974.3888888888889,971.4808921919545,38.718231604004245,48.2073514199289,-9.489119815924653,58.982412060301506,992.3900901943757,934.2699098056241,29.946073493451497,61.56521739130431,57.62975306771707
2013-10-09,980.4,1003.0,979.0,998.5,3321,976.8555555555556,976.8847137535637,38.32274473475127,46.23043008289338,-7.90768534814211,61.85747663551402,996.9437980587012,935.7162019412987,32.23966027990025,85.88235294117638,64.65441659166316
2013-10-10,997.1,1039.3,997.0,1023.0,23668,982.0,986.107771002851,39.530579868701125,44.89046004005493,-5.359880171353808,65.37645811240719,1007.1792160567255,934.2507839432743,39.40304910511374,80.73286052009459,76.0601436175251
2013-10-11,1029.0,1070.0,1000.0,1020.0,10852,987.6333333333334,992.8862168022808,39.78708226859112,43.869784485762175,-4.082702217171054,71.93698949824972,1015.3584890476003,933.1715109523997,47.3374068805132,56.63486556808324,74.41669300978474
2013-10-14,1015.0,1040.8,1015.0,1038.3,7213,993.1222222222223,1001.9689734418247,40.99446070419049,43.29471972944784,-2.300259025257354,72.82485875706213,1027.4427691213225,927.2272308786775,51.5792017765137,72.50650477016474,69.95807695278086
2013-10-15,1035.0,1060.0,1027.2,1037.8,10244,1001.1000000000001,1009.1351787534597,41.43335308872918,42.92244640130411,-1.48909331257493,73.57305936073057,1037.4320856530226,924.8179143469774,61.66349296425316,70.78039927404716,66.64058987076506
2013-10-16,1040.6,1044.5,1023.6,1033.9,20603,1008.8666666666668,1014.0881430027678,40.99392856848192,42.53674283473967,-1.54281426625775,68.22784810126586,1044.6319836366856,925.5080163633143,70.89890573107508,67.12204007285982,70.13631470569057
2013-10-17,1025.1,1030.0,1008.8,1011.1,7389,1012.588888888889,1013.4905144022143,38.36367940226569,41.702130148244876,-3.3384507459791877,59.53436807095343,1046.933630756372,928.5263692436283,73.68062401683882,42.81553398058254,60.2393244424965
2013-10-18,1011.2,1015.3,1005.3,1013.9,19731,1017.7888888888889,1013.5724115217715,36.08911177172854,40.57952647294161,-4.490414701213069,62.68486916951083,1049.465076386312,930.8849236136881,75.44376492505741,44.89194499017677,51.60983968120638
2013-10-21,1010.6,1017.6,1006.0,1006.1,4212,1020.2888888888889,1012.0779292174172,33.27354896408008,39.1183309711693,-5.844782007089222,55.24390243902441,1048.8790018450704,937.6009981549297,74.9086467198419,29.780219780219806,39.16256625032638
2013-10-22,1004.5,1010.0,1000.0,1000.0,8587,1020.4555555555556,1009.6623433739338,30.20182825764232,37.33503042846391,-7.1332021708215905,61.54891304347827,1048.4440978783448,942.2859021216555,74.66052227331812,4.109589041095891,26.260584603830825
2013-10-23,998.1,1000.2,971.0,983.0,49074,1016.0111111111112,1004.3298746991471,26.094903735417347,35.0870050898546,-8.992101354437253,55.8569667077682,1046.7731640690865,946.7368359309137,67.24504965213966,12.121212121212121,15.337006980842611
2013-10-24,977.2,989.4,964.9,970.7,5729,1010.5333333333334,997.6038997593178,21.598653426147848,32.389334757113254,-10.790681330965405,47.85581106277191,1047.035058086242,945.9149419137583,64.03688049188976,6.098843322818157,7.443214828375393
2013-10-25,972.4,975.0,960.0,964.1,4081,1002.2888888888889,990.9031198074543,17.303315965311185,29.372130998752844,-12.068815033441659,49.044585987261144,1047.7389596931234,943.9510403068765,61.18482188495438,4.100000000000023,7.440018481343439
2013-10-28,970.8,974.4,958.8,960.2,5931,993.6666666666666,984.7624958459635,13.429723185848843,26.183649436172047,-12.753926250323204,41.89750692520775,1048.4112628649057,942.3687371350944,60.468979992641884,1.6336056009335942,3.9441496412505956
2013-10-29,957.7,970.0,951.1,960.0,7721,985.4555555555556,979.8099966767709,10.22585735366772,22.992091019671182,-12.766233666003462,35.15805705474169,1049.2375796867989,938.6524203132012,60.47112878126227,11.28010139416981,5.67123566503448
2013-10-30,961.0,964.1,950.0,964.1,6905,980.2333333333333,976.6679973414168,7.92623760077754,19.978920335892454,-12.052682735114914,23.05580969807866,1049.35087718605,938.3491228139501,62.72771476143477,20.8579881656805,11.257231720261307
2013-10-31,954.0,979.9,954.0,970.0,5532,975.3555555555556,975.3343978731335,6.504868989814781,17.28411006667692,-10.779241076862139,27.718360071301205,1049.0329376227733,939.2670623772268,60.986483283361196,29.585798816568037,20.57462945880612
2013-11-01,971.0,995.9,971.0,986.5,3936,973.1777777777778,977.5675182985069,6.6333708588347235,15.153962225108481,-8.520591366273758,26.53985507246375,1049.055627013805,940.134372986195,57.346100551416626,60.833333333333336,37.0923734385273
2013-11-05,973.8,985.6,963.1,969.8,3824,969.8222222222222,976.0140146388056,5.326261259248213,13.188422031936428,-7.862160772688215,23.143759873617668,1048.9163490286305,940.5436509713693,54.79444880657799,39.44223107569709,43.2871210751995
2013-11-06,976.6,980.1,951.1,951.5,12129,966.3222222222222,971.1112117110445,2.781645347785684,11.10706669510628,-8.325421347320596,20.78014184397159,1050.506819053553,935.7431809464471,55.70658431905114,3.267973856209152,34.51451275507986
2013-11-07,859.0,960.0,859.0,959.8,2976,965.1111111111111,968.8489693688357,1.4184090029331173,9.169335156671648,-7.750926153738531,29.723320158102723,1050.3898897580764,931.9901102419238,56.907913163247535,73.63038714390065,38.7801973586023
2013-11-08,957.5,963.8,945.4,953.1,4775,963.8888888888889,965.6991754950686,-0.2002908000475827,7.295409965327802,-7.495700765375385,26.687116564417167,1047.2400285166832,928.1499714833169,57.23244305545367,68.73630387143903,48.54488829051629
2013-11-11,952.1,967.9,945.6,963.3,1742,964.2333333333333,965.2193403960549,-0.6525451664847424,5.705818938965294,-6.358364105450036,33.88554216867465,1043.318096553271,926.4019034467289,52.45157328283022,76.18699780861941,72.85122960798637
2013-11-12,958.0,977.2,958.0,977.0,3454,966.1222222222223,967.575472316844,0.09343839447171831,4.583342830066578,-4.48990443559486,41.8091168091168,1034.6114039510055,928.9785960489945,46.41115182767419,86.19430241051865,77.0392013635257
2013-11-13,968.1,993.0,950.1,960.1,20895,965.6777777777778,966.0803778534752,-0.6713145238043126,3.5324113592924005,-4.203725883096713,41.83891660727013,1024.4372257591417,931.3827742408586,39.44176582274908,73.84952520087658,78.74360847333823
2013-11-14,970.5,996.0,962.1,991.9,3003,968.1111111111111,971.2443022827802,1.27392252909965,3.0807135932538503,-1.8067910641542002,56.63329161451814,1014.8925253722647,936.7274746277354,38.14761144693769,97.00729927007298,85.68370896048941
2013-11-15,996.4,998.7,922.0,977.3,12795,967.0888888888888,972.4554418262242,1.6187786528380457,2.7883266051706896,-1.169547952332644,53.93325387365911,1009.5276173784833,938.7123826215164,41.868073875655256,84.68146027201139,85.17942824765366
2013-11-18,988.6,996.9,985.9,988.1,6262,969.1222222222223,975.5843534609794,2.732055916133504,2.7770724673632525,-0.04501655122974846,57.985117344018306,1003.7280735219603,941.93192647804,45.2388485753881,92.41231209735145,91.36702387981194
2013-11-19,997.0,997.7,970.0,996.1,6876,974.0777777777779,979.6874827687836,4.211323790041433,3.063922731898889,1.1474010581425444,59.89041095890412,1001.219561035816,943.4404389641838,50.4692484521819,98.13886900501072,91.74421379145787
2013-11-20,975.1,985.0,970.3,978.5,9088,976.1555555555556,979.449986215027,3.918313448629874,3.234800875245086,0.683512573384788,53.6734693877551,997.2659673225097,945.24403267749,46.43294770591049,73.66362451108209,88.07160187114808
2013-11-21,972.0,980.5,965.5,980.5,6885,979.1999999999999,979.6599889720217,3.8036379566563028,3.3485682915273296,0.4550696651289732,52.73295158771473,996.9264583452444,945.3335416547553,43.85370997001247,76.27118644067792,82.69122665225692
2013-11-22,979.9,980.5,954.0,962.5,24624,979.1111111111111,976.2279911776174,2.2345487483391935,3.1257643828897024,-0.8912156345505089,43.80165289256198,996.8042844398094,944.6357155601904,43.06936419110026,52.803129074315486,67.57931334202517
2013-11-25,975.9,985.0,970.8,974.0,2258,978.7777777777778,975.782392942094,1.8971193258873882,2.8800353714892397,-0.9829160456018515,51.114649681528675,997.1456179519204,945.2843820480795,44.22081423379661,67.79661016949149,65.62364189482831
2013-11-26,974.0,981.7,955.1,967.7,2818,979.6222222222223,974.1659143536754,1.1085678487426094,2.5257418669399136,-1.4171740181973043,54.5918367346939,997.0627842381264,946.1172157618735,49.548105069118456,59.58279009126469,60.06084311169056
2013-11-27,971.5,979.7,956.3,956.3,2342,975.6666666666666,970.5927314829403,-0.43127809886357227,1.9343378737792167,-2.365615972642789,49.02506963788301,997.2827266552173,945.5272733447827,54.41850775802024,44.719687092568364,57.36636245110819
2013-11-28,956.3,970.7,956.3,966.0,600,974.4111111111112,969.6741851863524,-0.8590060851776116,1.3756690819878512,-2.234675167165463,53.53424657534246,997.2785712723212,945.7214287276788,56.532772618292014,27.459954233409583,43.920810472414225
2013-11-29,959.3,967.4,944.1,963.8,3769,971.7111111111111,968.4993481490819,-1.359829936732126,0.8285692782438556,-2.1883992149759814,50.143266475644694,997.1926638311506,945.1873361688492,59.23922669223785,36.75373134328344,36.31112422308714
