,ticker,name,lot
0,AFKS,Система ао,100
1,AFLT,Аэрофлот,10
2,AGRO,AGRO-гдр,1
3,AKRN,Акрон,1
4,ALRS,АЛРОСА ао,10
5,APTK,Аптеки36и6,10
6,AQUA,ИНАРКТИКА,1
7,BSPB,БСП ао,10
8,CBOM,МКБ ао,100
9,CHMF,СевСт-ао,1
10,FEES,Россети,10000
11,FESH,ДВМП ао,10
12,GAZP,ГАЗПРОМ ао,10
13,GMKN,ГМКНорНик,10
14,HYDR,РусГидро,1000
15,IRAO,ИнтерРАОао,100
16,KMAZ,КАМАЗ,10
17,LKOH,ЛУКОЙЛ,1
18,LSRG,ЛСР ао,1
19,MAGN,ММК,10
20,MOEX,МосБиржа,10
21,MRKC,РоссЦентр,1000
22,MRKP,РСетиЦП ао,10000
23,MRKS,РсетСиб ао,10000
24,MRKU,Россети Ур,10000
25,MRKV,РсетВол ао,10000
26,MRKZ,РСетиСЗ ао,10000
27,MSNG,+МосЭнерго,1000
28,MSRS,РСетиМР ао,1000
29,MTLR,Мечел ао,1
30,MTSS,МТС-ао,10
31,MVID,М.видео,1
32,NLMK,НЛМК ао,10
33,NVTK,Новатэк ао,1
34,OGKB,ОГК-2 ао,1000
35,PHOR,ФосАгро ао,1
36,PIKK,ПИК ао,1
37,PLZL,Полюс,1
38,RASP,Распадская,10
39,ROSN,Роснефть,1
40,RTKM,Ростел -ао,10
41,RUAL,РУСАЛ ао,10
42,SBER,Сбербанк,10
43,SELG,Селигдар,10
44,SNGS,Сургнфгз,100
45,SVAV,СОЛЛЕРС,1
46,TATN,Татнфт 3ао,1
47,TGKA,ТГК-1,100000
48,TGKN,ТГК-14,100000
49,TRMK,ТМК ао,10
50,TRNFP,Транснф ап,1
51,VSMO,ВСМПО-АВСМ,1
52,VTBR,ВТБ ао,10000
53,YNDX,Yandex clA,1
